mode,channel,apa_side,meas_sum,pred_sum,n_bundles
mc,6,0,16480.9,7935.41,56
mc,7,1,7884.18,6358.11,47
mc,8,0,9341.14,6294.45,56
mc,9,1,10919.2,9547.48,47
mc,10,0,10080.2,7237.37,56
mc,11,1,14231.5,10047.2,47
mc,12,0,12084.9,9686.75,56
mc,13,1,11295.2,8384.56,47
mc,14,0,14619.1,12393.7,56
mc,15,1,8547.28,7428.38,47
mc,16,0,23684.9,14807,56
mc,17,1,6468.13,5688.23,47
mc,36,0,4782.18,8673.52,56
mc,37,1,3865.69,10078.4,47
mc,38,0,4927.49,10115.6,56
mc,40,0,4878.64,13901.3,56
mc,41,1,3830.58,8257.55,47
mc,60,0,12855.9,8706.94,56
mc,61,1,9448.21,7545.75,47
mc,62,0,12275.4,8469.18,56
mc,63,1,13967.9,12850.7,47
mc,65,1,19572.9,14070.8,47
mc,68,0,16183.1,12878,56
mc,69,1,11300.6,11065.4,47
mc,70,0,15257.2,10602.7,56
mc,84,0,11998.7,8416.15,56
mc,88,0,21192.6,14098.7,56
mc,89,1,15639.5,15266.9,47
mc,90,0,22576.8,16201.5,56
mc,91,1,15555.4,14781.4,47
mc,93,1,14226.8,13635.7,47
mc,94,0,17097.9,10600.4,56
mc,95,1,12424.5,9379.72,47
mc,114,0,6378.22,11821.1,56
mc,116,0,6927.97,18024.7,56
mc,117,1,5195.51,15507.7,47
mc,118,0,5626.59,14958.1,56
mc,119,1,4786.69,14248.7,47
mc,139,1,12033.1,10554.2,47
mc,140,0,17432.1,14433.2,56
mc,142,0,23444.2,18862.3,56
mc,143,1,17939.4,15749.6,47
mc,144,0,24232.1,17037.9,56
mc,145,1,30018.5,20705.3,47
mc,146,0,22635.2,15593.2,56
mc,147,1,19373.7,17488.9,47
mc,148,0,16538.8,10576.7,56
mc,149,1,17297.5,12521,47
mc,162,0,16347.2,12752.4,56
mc,163,1,17501.6,10250.6,47
mc,164,0,17994.9,15624.9,56
mc,165,1,13168,12313.3,47
mc,166,0,20189.2,16334.7,56
mc,167,1,14577.7,12443.8,47
mc,168,0,19565.3,16310.6,56
mc,169,1,17543.7,12956.2,47
mc,171,1,20535.6,14876.5,47
mc,172,0,13822.3,10283.7,56
mc,173,1,21602.9,14321.2,47
mc,192,0,7294.36,15623.5,56
mc,193,1,4670.89,11907.3,47
mc,194,0,7595.25,17807.1,56
mc,195,1,5480.35,11752.5,47
mc,196,0,6040.65,13530.9,56
mc,216,0,16552.4,12769.4,56
mc,219,1,13363,11914.1,47
