mode,event_idx,event_id,apa,flash_t_us,n_active_ch,meas_pe,pred_pe,ratio,cos_sim
mc,0,2,0,-1235.39,49,21007.4,15275.7,1.37522,0.951465
mc,0,2,0,-393.932,49,25562,15853.2,1.61242,0.686678
mc,0,2,0,-393.932,49,25562,13978.3,1.82869,0.588987
mc,0,2,0,-725.624,49,9752.31,2814.7,3.46478,0.711832
mc,0,2,0,-725.624,49,9752.31,5054.16,1.92956,0.905025
mc,0,2,0,-725.624,49,9752.31,3338.22,2.92141,0.882364
mc,0,2,0,1.43561,49,10465.4,10371.6,1.00905,0.920068
mc,0,2,0,-1099.8,53,1932.91,257.133,7.51718,0.328497
mc,0,2,0,-515.342,53,686.185,121.117,5.66547,0.479845
mc,0,2,0,348.725,53,485.952,420.522,1.15559,0.980796
mc,0,2,0,-1187.76,53,127.366,105.889,1.20284,0.671574
mc,0,2,0,-1187.76,53,127.366,100.494,1.2674,0.650842
mc,0,2,1,702.99,47,31773.7,19659.5,1.6162,0.837816
mc,0,2,1,-725.617,47,22981.3,11764.5,1.95345,0.467757
mc,0,2,1,-13.8738,47,14464.4,8902.9,1.62469,0.72382
mc,0,2,1,-13.8738,47,14464.4,1933.63,7.48046,0.522227
mc,0,2,1,-995.713,45,5606.48,3064.78,1.82933,0.774116
mc,1,9,0,-460.959,49,23087.8,371.015,62.2288,0.0765059
mc,1,9,0,0.655579,49,14086.7,9298.69,1.51492,0.836811
mc,1,9,0,-1419.6,49,7167.65,1251.42,5.7276,0.929217
mc,1,9,0,-856.89,53,2563.07,143.32,17.8836,0.880379
mc,1,9,0,204.645,53,681.095,103.223,6.59827,0.193898
mc,1,9,0,-1045.44,53,175.435,103.784,1.69039,0.345611
mc,1,9,0,832.956,53,415.708,164.39,2.52879,0.432083
mc,1,9,0,-1288.8,53,110.389,123.518,0.893706,0.622856
mc,1,9,1,-842.502,47,22054.9,5644.7,3.90718,0.622951
mc,1,9,1,-1419.61,47,13267,1217.85,10.8938,0.857452
mc,2,11,0,-1026.39,49,13264.3,2672.94,4.96243,0.252942
mc,2,11,0,530.353,49,18835.5,11507,1.63687,0.93248
mc,2,11,0,96.4932,49,16355.2,106.298,153.862,0.907179
mc,2,11,0,96.4932,49,16355.2,1806.67,9.05271,0.197901
mc,2,11,0,96.4932,49,16355.2,19576.5,0.835451,0.953985
mc,2,11,0,0.777188,49,7514.67,134.174,56.0069,0.967964
mc,2,11,0,0.777188,49,7514.67,2235.28,3.36185,0.5278
mc,2,11,0,0.777188,49,7514.67,3680.81,2.04158,0.968798
mc,2,11,0,1018.3,53,3081.86,1516.93,2.03165,0.228049
mc,2,11,0,973.706,53,181.586,154.194,1.17764,0.856121
mc,2,11,0,118.115,53,173.576,117.396,1.47856,0.221626
mc,2,11,1,354.778,47,35308.7,39004.9,0.905237,0.948323
mc,2,11,1,354.778,47,35308.7,301.696,117.034,0.718786
mc,2,11,1,-221.448,47,22504.3,11770.2,1.91198,0.682304
mc,2,11,1,-221.448,47,22504.3,4239.95,5.30769,0.638353
mc,2,11,1,1009.4,47,5905.32,2490.43,2.3712,0.14647
mc,2,11,1,1009.4,47,5905.32,1988.27,2.97008,0.201454
mc,2,11,1,1009.4,47,5905.32,923.602,6.3938,0.231857
mc,2,11,1,1009.4,47,5905.32,720.522,8.1959,0.138054
mc,2,11,1,511.156,48,2699.3,319.785,8.441,0.315738
mc,2,11,1,-1173.57,48,2785.33,283.797,9.81451,0.335529
mc,2,11,1,0.795181,48,284.908,112.766,2.52654,0.716351
mc,2,11,1,0.795181,48,284.908,273.016,1.04356,0.878929
mc,2,11,1,775.276,48,212.82,220.043,0.967175,0.325061
mc,3,12,0,484.106,49,30910.1,24142.4,1.28033,0.821101
mc,3,12,0,818.033,49,21942.2,17407.3,1.26051,0.89225
mc,3,12,0,1224.11,49,15277.8,3114.05,4.90607,0.893072
mc,3,12,0,-1350.66,49,11980.8,1030.18,11.6298,0.910239
mc,3,12,0,-557.879,49,13457.4,5313.11,2.53287,0.770064
mc,3,12,0,-289.453,49,7234.75,6998.65,1.03373,0.951148
mc,3,12,0,1.25665,53,365.443,109.618,3.33378,0.356763
mc,3,12,0,-648.655,53,176.55,122.37,1.44275,0.137447
mc,3,12,1,671.932,47,12759.8,8707.22,1.46543,0.472602
mc,3,12,1,671.932,47,12759.8,16477.5,0.774377,0.881304
mc,3,12,1,-1350.66,47,9291.5,2922.4,3.17941,0.93121
mc,3,12,1,1200.19,47,6827.56,5364.29,1.27278,0.255548
mc,3,12,1,968.298,48,1143.23,319.922,3.57345,0.89237
mc,3,12,1,837.637,48,1047.82,491.666,2.13117,0.574981
mc,4,14,0,-837.323,49,22378.9,610.954,36.6295,0.94757
mc,4,14,0,-837.323,49,22378.9,5070.85,4.41325,0.676707
mc,4,14,0,-837.323,49,22378.9,117.072,191.155,0.934079
mc,4,14,0,-837.323,49,22378.9,25134.7,0.890358,0.96486
mc,4,14,0,139.641,49,7734.83,6139.48,1.25985,0.980195
mc,4,14,1,1168.29,42,17461.8,1328.98,13.1392,0.869119
mc,4,14,1,-115.655,47,31530.9,35224.7,0.895134,0.940579
mc,4,14,1,381.019,47,20286.8,17914.9,1.1324,0.962602
mc,4,14,1,-606.499,47,8988.76,9286.67,0.967921,0.932847
mc,4,14,1,-78.7681,38,5090.45,320.108,15.9023,0.894622
mc,4,14,1,270.451,47,6693,823.824,8.1243,0.195391
mc,4,14,1,270.451,47,6693,5976.88,1.11982,0.974765
mc,4,14,1,116.912,48,3931.13,330.643,11.8893,0.958203
mc,4,14,1,116.912,48,3931.13,2718.73,1.44594,0.977839
mc,4,14,1,-423.704,47,6599.09,7035.49,0.937972,0.960099
mc,4,14,1,-423.704,47,6599.09,234.667,28.121,0.948667
mc,4,14,1,-871.088,47,5077.69,5002.53,1.01502,0.942437
mc,4,14,1,1.30035,48,2542.04,154.473,16.4562,0.133773
mc,5,18,0,-188.835,49,44924.2,218.8,205.321,0.601506
mc,5,18,0,-188.835,49,44924.2,109.036,412.011,0.649527
mc,5,18,0,-188.835,49,44924.2,50543.2,0.888829,0.900787
mc,5,18,0,-188.835,49,44924.2,143.946,312.092,0.592664
mc,5,18,0,-188.835,49,44924.2,188.429,238.415,0.783503
mc,5,18,0,717.27,49,28345.8,1625.11,17.4424,0.528687
mc,5,18,0,717.27,49,28345.8,1502.03,18.8716,0.0511532
mc,5,18,0,717.27,49,28345.8,114.417,247.741,0.684396
mc,5,18,0,1.18712,49,24474.2,351.068,69.7134,0.525251
mc,5,18,0,1.18712,49,24474.2,1524.05,16.0587,0.135909
mc,5,18,0,1.18712,49,24474.2,1051.34,23.2791,0.548126
mc,5,18,0,1.18712,49,24474.2,630.591,38.8115,0.595984
mc,5,18,0,1.18712,49,24474.2,782.691,31.2692,0.934306
mc,5,18,0,1.18712,49,24474.2,754.315,32.4455,0.620396
mc,5,18,0,1.18712,49,24474.2,18969.3,1.2902,0.942694
mc,5,18,0,1.18712,49,24474.2,1167.73,20.9587,0.467984
mc,5,18,0,-1204.62,48,9676.01,1594.57,6.06812,0.22003
mc,5,18,0,-1204.62,48,9676.01,2933.35,3.29862,0.210827
mc,5,18,0,1044.99,53,1153.25,277.202,4.16031,0.019888
mc,5,18,0,633.185,53,2024.74,146.556,13.8155,0.0669959
mc,5,18,1,-392.142,47,15470.9,9748.39,1.58702,0.89582
mc,5,18,1,656.399,40,9445.59,1985.46,4.75739,0.990948
mc,5,18,1,318.287,47,8254.13,7969.86,1.03567,0.959488
mc,5,18,1,-1090.82,47,6194.58,4440.44,1.39504,0.918067
mc,5,18,1,-1090.82,47,6194.58,4610.99,1.34344,0.882457
mc,5,18,1,1367.68,48,153.29,113.663,1.34864,0.321952
mc,5,18,1,1367.68,48,153.29,159.116,0.963382,0.300572
mc,6,31,0,239.347,49,14834.5,15541.9,0.954483,0.926972
mc,6,31,1,-156.317,47,14028.4,939.669,14.9291,0.471011
mc,6,31,1,-156.317,47,14028.4,163.367,85.8702,0.520367
mc,6,31,1,-716.438,47,16950,7567.9,2.23973,0.879125
mc,6,31,1,-716.438,47,16950,7774.7,2.18015,0.310455
mc,6,31,1,0.442959,47,14903.2,11475.6,1.29869,0.961764
mc,6,31,1,530.365,48,4251.04,131.086,32.4294,0.918094
mc,6,31,1,530.365,48,4251.04,3677.26,1.15603,0.940195
mc,6,31,1,313.436,48,85.1301,103.839,0.819827,0.392067
mc,7,35,0,600.768,49,22159.8,13757.6,1.61073,0.758428
mc,7,35,0,714.953,49,19045.2,14761.7,1.29018,0.917837
mc,7,35,0,-430.367,49,23527,27331.3,0.860805,0.932776
mc,7,35,0,-523.257,49,14517.9,16613.4,0.87387,0.907898
mc,7,35,0,-523.257,49,14517.9,16569.7,0.876174,0.907948
mc,7,35,0,-713.367,49,5070.55,1104.32,4.59157,0.263016
mc,7,35,0,-713.367,49,5070.55,5360.69,0.945876,0.964513
mc,7,35,0,-1151.51,53,979.327,1019.68,0.96043,0.946983
mc,7,35,0,-210.593,53,254.651,124.483,2.04566,0.533482
mc,7,35,0,167.186,53,172.846,158.127,1.09308,0.657813
mc,7,35,1,168.566,47,11935.5,5653.95,2.11099,0.888576
mc,7,35,1,-210.601,47,17478.4,19411.4,0.900421,0.64492
mc,7,35,1,-210.601,47,17478.4,18200.6,0.96032,0.693262
mc,7,35,1,-210.601,47,17478.4,17380.6,1.00563,0.991967
mc,7,35,1,438.98,47,8116.76,7903.12,1.02703,0.516972
mc,7,35,1,438.98,47,8116.76,6934.79,1.17044,0.923136
mc,7,35,1,438.98,47,8116.76,2856.52,2.84148,0.849364
mc,7,35,1,407.004,48,2439.24,2143.49,1.13798,0.457947
mc,7,35,1,290.624,48,167.377,101.644,1.64669,0.101335
mc,7,35,1,290.624,48,167.377,111.012,1.50773,0.766698
mc,7,35,1,1.10174,48,232.266,313.78,0.740219,0.806302
mc,8,41,0,1053.03,49,38201,35431.7,1.07816,0.946929
mc,8,41,0,29.4654,49,29752,35614.6,0.835388,0.934213
mc,8,41,0,-67.1107,49,31057.2,31845.6,0.975241,0.858689
mc,8,41,0,434.992,49,22479.8,15199.3,1.479,0.823557
