mode,event,apa,flash_index,time_ns,total_pe,nchan_hit
mc,2,0,0,-1196780.027967,33638.054350,49
mc,2,0,1,-1068873.691886,15394.805250,49
mc,2,0,2,1026629.826008,23083.473425,49
mc,2,0,3,-1235394.658070,21007.435800,49
mc,2,0,4,-393931.642702,25561.938375,49
mc,2,0,5,156939.054072,13696.483700,49
mc,2,0,6,-1179117.159304,17834.621450,49
mc,2,0,7,-1090120.720828,5716.146400,47
mc,2,0,8,-725624.179696,9752.305525,49
mc,2,0,9,-1441459.141726,10013.200450,49
mc,2,0,10,1435.607475,10466.757150,50
mc,2,0,11,851455.582965,1975.100325,44
mc,2,0,12,475103.057524,3178.028925,38
mc,2,0,13,-1099800.484061,1932.911425,42
mc,2,0,14,993551.120363,679.307325,36
mc,2,0,15,-480038.900298,577.807675,31
mc,2,0,16,-515342.203987,686.184225,35
mc,2,0,17,348725.279172,485.952000,25
mc,2,0,18,-1187760.111269,127.366425,34
mc,9,0,0,-460958.857906,23087.838875,49
mc,9,0,1,655.578994,14089.100100,50
mc,9,0,2,-1419600.704179,7167.644200,49
mc,9,0,3,382338.613738,7540.267475,49
mc,9,0,4,-512282.850674,4436.564375,48
mc,9,0,5,-856890.480196,2563.074100,49
mc,9,0,6,706710.358228,2391.567725,47
mc,9,0,7,1188218.474146,744.834950,39
mc,9,0,8,-156240.196439,999.123375,33
mc,9,0,9,204645.224651,681.094425,28
mc,9,0,10,-1045440.426645,175.434900,21
mc,9,0,11,832956.378339,415.707525,28
mc,9,0,12,-1288799.829805,110.388525,22
mc,9,0,13,-1333558.871877,195.493575,22
mc,9,0,14,517430.366667,204.241450,12
mc,9,0,15,966014.033333,46.499925,9
mc,11,0,0,-421273.720828,10475.628600,48
mc,11,0,1,-1026385.035497,13264.279125,49
mc,11,0,2,530353.385822,18835.475225,49
mc,11,0,3,1137687.938235,12079.369375,48
mc,11,0,4,935813.232534,8885.495575,46
mc,11,0,5,96493.237532,16355.241900,49
mc,11,0,6,775278.501945,20725.246975,49
mc,11,0,7,1009402.280059,11170.991125,49
mc,11,0,8,-432198.720828,5768.724925,44
mc,11,0,9,-985619.984579,5493.171525,46
mc,11,0,10,777.188430,7515.811375,50
mc,11,0,11,-467711.627467,4713.230775,49
mc,11,0,12,1018295.720764,3081.860850,49
mc,11,0,13,1300916.102410,2244.522275,47
mc,11,0,14,-259604.391845,1811.840275,49
mc,11,0,15,1409208.215108,2001.197125,47
