# q31ctl -> q32tis: auto pairings that change (long clusters, 18 run-039252 events); class = first bundle field that separates the losing arm from the winning arm (see script docstring)
lost-in-cand: 92 pairings; railed flash (winning arm) 74; lasso-zero 81, other 4, no-bundle 3, ratio 3, c2n 1
   same-flash shifts losing - winning (median, n 89): ks +0.011  c2n +0.8  strength -0.840  log10(pred/meas) -0.026
gained-in-cand: 94 pairings; railed flash (winning arm) 0; lasso-zero 87, no-bundle 6, ratio 1
   same-flash shifts losing - winning (median, n 88): ks +0.017  c2n -0.2  strength -0.910  log10(pred/meas) +0.067

# per pairing: evt uid dir class | win ks c2n st pred/meas sat | lose ks c2n st pred/meas
298567 18 lost-in-cand lasso-zero | 0.155 0.6 0.983 0.47 1 | 0.142 2.0 0.000 0.43
298567 18 gained-in-cand lasso-zero | 0.202 1.9 0.977 0.77 0 | 0.219 1.7 0.003 0.69
298567 4000031 lost-in-cand lasso-zero | 0.064 9.2 0.984 0.23 1 | 0.089 31.8 0.000 0.19
298581 46 lost-in-cand other | 0.560 1.4 0.052 11.04 1 | 0.560 1.6 0.052 11.04
298581 114 lost-in-cand lasso-zero | 0.158 3.0 0.767 0.00 1 | 0.181 10872.0 0.000 0.00
298581 114 gained-in-cand lasso-zero | 0.083 1.9 0.823 0.20 0 | 0.083 1.9 0.000 0.20
298581 4000001 lost-in-cand lasso-zero | 0.283 0.5 0.569 2.72 1 | 0.053 0.5 0.000 0.66
298581 4000001 gained-in-cand lasso-zero | 0.201 0.9 0.874 3.01 0 | 0.320 0.9 0.000 4.25
298581 4000042 lost-in-cand no-bundle | 0.300 0.6 0.590 2.62 1 | no bundle
298581 4000042 gained-in-cand lasso-zero | 0.072 0.4 0.874 1.53 0 | 0.076 0.4 0.000 1.50
298595 14 lost-in-cand lasso-zero | 0.094 0.4 0.989 0.63 1 | 0.121 1.2 0.000 0.58
298595 14 gained-in-cand lasso-zero | 0.280 8.3 0.967 0.75 0 | 0.399 0.9 0.000 0.78
298595 33 gained-in-cand lasso-zero | 0.060 1.2 0.957 0.46 0 | 0.269 0.6 0.000 1.57
298609 107 lost-in-cand lasso-zero | 0.407 0.5 0.906 2.03 1 | 0.644 14.1 0.000 1.05
298609 150 lost-in-cand lasso-zero | 0.128 0.4 0.000 1.38 0 | 0.128 0.4 0.000 1.38
298609 150 gained-in-cand lasso-zero | 0.244 574.0 0.760 0.07 0 | 0.427 167.7 0.000 0.11
298609 4000002 lost-in-cand lasso-zero | 0.387 3.1 0.928 1.87 1 | 0.632 42.2 0.000 0.96
298609 4000255 lost-in-cand lasso-zero | 0.092 4.0 0.898 0.63 1 | 0.168 8.8 0.000 0.39
298623 12 lost-in-cand no-bundle | 0.294 2.2 0.931 1.90 1 | no bundle
298623 12 gained-in-cand lasso-zero | 0.049 3.6 0.975 0.71 0 | 0.247 2.5 0.000 1.98
298623 50 lost-in-cand lasso-zero | 0.362 3.5 0.971 1.75 1 | 0.375 3.7 0.000 1.79
298623 50 gained-in-cand lasso-zero | 0.111 85.3 0.983 0.27 0 | 0.525 30.3 0.000 0.80
298623 4000031 gained-in-cand lasso-zero | 0.107 0.8 0.148 1.79 0 | 0.107 0.8 0.000 1.78
298623 4000042 gained-in-cand lasso-zero | 0.587 26.4 0.968 1.60 0 | 0.735 8.6 0.000 1.93
298623 4000119 lost-in-cand lasso-zero | 0.294 3.6 0.816 1.57 1 | 0.307 3.6 0.000 1.61
298623 4000119 gained-in-cand lasso-zero | 0.052 96.4 0.983 0.23 0 | 0.465 29.8 0.000 0.69
298623 4000136 lost-in-cand lasso-zero | 0.098 0.3 0.971 1.48 1 | 0.426 3.1 0.000 0.75
298623 4000136 gained-in-cand lasso-zero | 0.159 7.6 0.882 0.60 0 | 0.215 1.1 0.000 1.69
298637 36 lost-in-cand lasso-zero | 0.296 16.4 0.454 0.27 1 | 0.307 296.9 0.000 0.25
298637 36 gained-in-cand lasso-zero | 0.082 0.5 0.000 1.82 0 | 0.081 0.5 0.000 1.83
298637 88 lost-in-cand lasso-zero | 0.181 1.2 0.977 0.69 1 | 0.424 15.2 0.000 0.34
298637 88 gained-in-cand lasso-zero | 0.263 17.9 0.969 0.20 0 | 0.125 0.5 0.000 0.78
298637 142 lost-in-cand lasso-zero | 0.075 4.1 0.859 0.41 1 | 0.227 16.2 0.000 0.20
298637 142 gained-in-cand lasso-zero | 0.293 10.0 0.653 1.16 0 | 0.293 10.0 0.000 1.16
298637 4000001 lost-in-cand lasso-zero | 0.105 0.6 0.000 1.46 1 | 0.469 28.7 0.000 0.38
298637 4000001 gained-in-cand lasso-zero | 0.224 3.8 0.000 0.74 0 | 0.106 2.8 0.000 1.51
298637 4000003 lost-in-cand lasso-zero | 0.154 6.5 0.987 0.49 1 | 0.343 125.0 0.000 0.12
298637 4000016 lost-in-cand lasso-zero | 0.093 2.3 0.000 2.16 1 | 0.172 2.2 0.000 1.50
298637 4000060 gained-in-cand lasso-zero | 0.070 4.7 0.328 0.70 0 | 0.070 4.7 0.000 0.70
298637 4000095 lost-in-cand lasso-zero | 0.280 1.7 0.987 0.94 0 | 0.280 1.7 0.000 0.94
298637 4000095 gained-in-cand lasso-zero | 0.090 1.8 0.905 0.62 0 | 0.111 1.8 0.000 0.65
298637 4000113 lost-in-cand ratio | 0.177 8.7 0.567 0.51 1 | 0.419 201.3 0.969 0.25
298637 4000113 lost-in-cand lasso-zero | 0.067 7.3 0.419 0.59 1 | 0.263 99.6 0.000 0.15
298637 4000357 lost-in-cand lasso-zero | 0.028 7.1 0.848 0.28 1 | 0.239 42.7 0.000 0.14
298637 4000357 gained-in-cand lasso-zero | 0.217 3.1 0.886 1.09 0 | 0.217 3.1 0.000 1.09
298637 4000369 lost-in-cand ratio | 0.112 4.1 0.985 0.53 1 | 0.317 14.5 0.976 0.26
298637 4000561 lost-in-cand lasso-zero | 0.067 5.8 0.857 0.36 0 | 0.067 5.8 0.000 0.36
298637 4000561 gained-in-cand lasso-zero | 0.069 10.3 0.866 0.42 0 | 0.112 3.2 0.000 0.44
298651 23 lost-in-cand lasso-zero | 0.113 2.3 0.986 0.34 0 | 0.113 2.3 0.000 0.34
298651 23 gained-in-cand no-bundle | 0.108 8.2 0.960 0.38 0 | no bundle
298651 34 gained-in-cand lasso-zero | 0.052 2.0 0.973 0.35 0 | 0.499 0.9 0.000 1.87
298651 42 lost-in-cand lasso-zero | 0.118 0.3 0.000 0.85 0 | 0.121 0.3 0.000 0.85
298651 42 gained-in-cand lasso-zero | 0.089 6.8 0.953 0.43 0 | 0.101 7.3 0.000 0.43
298651 45 lost-in-cand lasso-zero | 0.045 0.3 0.000 1.09 1 | 0.048 0.3 0.000 1.09
298651 45 gained-in-cand lasso-zero | 0.195 1.2 0.050 6.94 0 | 0.191 1.3 0.000 7.03
298651 73 lost-in-cand lasso-zero | 0.090 1.4 0.895 1.00 1 | 0.110 1.5 0.000 1.01
298651 73 gained-in-cand lasso-zero | 0.214 6.4 0.979 0.39 0 | 0.214 6.4 0.000 0.39
298651 79 gained-in-cand lasso-zero | 0.046 1.6 0.826 0.95 0 | 0.547 1.8 0.000 3.59
298651 4000001 lost-in-cand other | 0.154 5.9 0.991 0.89 1 | 0.300 7.2 0.985 0.59
298651 4000001 gained-in-cand lasso-zero | 0.105 0.6 0.000 1.49 0 | 0.105 0.6 0.000 1.49
298651 4000058 lost-in-cand lasso-zero | 0.100 0.2 0.917 0.82 1 | 0.126 0.7 0.000 0.75
298651 4000058 gained-in-cand lasso-zero | 0.125 0.5 0.996 0.92 0 | 0.125 0.5 0.000 0.92
298651 4000169 lost-in-cand lasso-zero | 0.051 8.1 0.985 0.25 1 | 0.192 57.5 0.000 0.14
298651 4000169 gained-in-cand lasso-zero | 0.065 10.2 0.916 0.73 0 | 0.065 10.2 0.000 0.73
298651 4000185 gained-in-cand lasso-zero | 0.014 8.6 0.986 0.30 0 | 0.537 2.8 0.000 1.61
298651 4000459 lost-in-cand lasso-zero | 0.422 288.5 0.971 0.00 1 | 0.530 2026.0 0.000 0.00
298651 4000459 gained-in-cand lasso-zero | 0.460 367.8 0.699 0.00 0 | 0.460 367.8 0.000 0.00
298651 4000539 lost-in-cand lasso-zero | 0.140 0.5 0.000 1.54 0 | 0.140 0.5 0.000 1.54
298651 4000539 gained-in-cand no-bundle | 0.129 46.4 0.785 0.11 0 | no bundle
298665 5 lost-in-cand lasso-zero | 0.075 4.3 0.156 0.31 0 | 0.075 4.3 0.008 0.31
298665 92 gained-in-cand lasso-zero | 0.147 2.5 0.077 0.42 0 | 0.147 2.5 0.000 0.42
298665 117 lost-in-cand lasso-zero | 0.147 0.8 0.000 0.87 0 | 0.147 0.8 0.000 0.87
298665 117 gained-in-cand lasso-zero | 0.244 5.5 0.981 0.49 0 | 0.244 5.5 0.000 0.49
298665 4000040 lost-in-cand lasso-zero | 0.193 10.0 0.958 0.12 1 | 0.193 10.0 0.000 0.12
298665 4000400 lost-in-cand no-bundle | 0.283 9.3 0.874 0.67 1 | no bundle
298665 4000400 gained-in-cand lasso-zero | 0.033 3.6 0.902 0.57 0 | 0.033 3.6 0.000 0.57
298679 17 lost-in-cand lasso-zero | 0.099 0.6 0.982 1.68 1 | 0.107 0.6 0.000 1.53
298679 17 gained-in-cand lasso-zero | 0.129 1.0 0.000 0.87 0 | 0.138 0.8 0.000 0.84
298679 4000173 lost-in-cand lasso-zero | 0.234 1.5 0.177 13.38 1 | 0.340 1.5 0.000 3.36
298679 4000173 gained-in-cand lasso-zero | 0.098 1.0 0.850 3.12 0 | 0.098 1.0 0.000 3.11
298679 4000309 lost-in-cand lasso-zero | 0.214 2.9 0.000 0.54 0 | 0.214 2.9 0.000 0.54
298679 4000309 gained-in-cand lasso-zero | 0.076 175.8 0.980 0.20 0 | 0.639 66.6 0.000 0.79
298693 3 lost-in-cand lasso-zero | 0.280 5.5 0.610 7.02 1 | 0.278 5.5 0.000 6.98
298693 3 gained-in-cand lasso-zero | 0.184 1.4 0.983 0.73 0 | 0.215 1.3 0.000 1.74
298693 59 gained-in-cand lasso-zero | 0.120 4.2 0.923 0.80 0 | 0.366 4.6 0.000 4.78
298693 112 lost-in-cand lasso-zero | 0.066 0.6 0.893 0.60 1 | 0.349 8.9 0.000 0.25
298693 4000022 lost-in-cand lasso-zero | 0.240 17.4 0.983 0.72 1 | 0.546 2528.5 0.000 0.18
298693 4000022 gained-in-cand lasso-zero | 0.278 42.5 0.979 0.24 0 | 0.250 10.8 0.000 0.28
298693 4000090 lost-in-cand lasso-zero | 0.031 0.2 0.930 1.05 1 | 0.032 0.2 0.000 1.04
298693 4000090 gained-in-cand lasso-zero | 0.181 9.4 0.986 0.95 0 | 0.454 2.8 0.000 5.64
298693 4000092 gained-in-cand lasso-zero | 0.113 9.8 0.899 0.64 0 | 0.386 2.8 0.000 3.81
298693 4000105 lost-in-cand lasso-zero | 0.392 15.3 0.690 4.28 1 | 0.390 20.8 0.000 4.25
298693 4000105 gained-in-cand lasso-zero | 0.213 96.7 0.970 0.44 0 | 0.593 2.9 0.000 1.04
298693 4000186 lost-in-cand lasso-zero | 0.138 2.5 0.898 0.77 1 | 0.446 11.0 0.000 0.32
298693 4000186 gained-in-cand lasso-zero | 0.119 4.4 0.000 0.41 0 | 0.089 2.1 0.000 0.47
298693 4000188 lost-in-cand lasso-zero | 0.184 2.6 0.969 1.04 1 | 0.368 7.5 0.000 0.44
298693 4000188 gained-in-cand lasso-zero | 0.110 4.2 0.990 0.56 0 | 0.154 0.9 0.000 0.65
298693 4000227 lost-in-cand lasso-zero | 0.068 0.2 0.992 1.10 1 | 0.114 0.3 0.000 1.18
298693 4000227 gained-in-cand lasso-zero | 0.080 0.1 0.992 1.18 0 | 0.080 0.1 0.000 1.18
298707 84 lost-in-cand lasso-zero | 0.069 0.6 0.275 3.41 1 | 0.130 0.6 0.000 2.89
298707 84 gained-in-cand lasso-zero | 0.122 0.4 0.000 2.09 0 | 0.122 0.4 0.000 2.09
298707 145 gained-in-cand lasso-zero | 0.177 15.5 0.976 0.19 0 | 0.224 3.2 0.000 0.94
298707 184 lost-in-cand lasso-zero | 0.058 26.4 0.981 0.13 1 | 0.037 36.8 0.000 0.16
298707 184 gained-in-cand lasso-zero | 0.103 1.0 0.000 0.59 0 | 0.110 0.5 0.000 0.61
298707 4000001 lost-in-cand other | 0.480 0.6 0.670 2.20 1 | 0.460 1.0 0.817 2.14
298707 4000001 gained-in-cand lasso-zero | 0.232 2.8 0.000 2.26 0 | 0.264 2.8 0.000 2.56
298707 4000158 lost-in-cand lasso-zero | 0.233 2.1 0.000 1.36 1 | 0.257 2.2 0.000 1.15
298707 4000158 gained-in-cand lasso-zero | 0.214 4.4 0.000 1.56 0 | 0.214 4.4 0.000 1.56
298707 4000233 gained-in-cand lasso-zero | 0.035 13.0 0.985 0.30 0 | 0.379 9.8 0.000 1.46
298721 4000229 lost-in-cand lasso-zero | 0.281 29.6 0.979 0.23 1 | 0.324 131.5 0.000 0.21
298721 4000229 gained-in-cand lasso-zero | 0.261 67.4 0.981 0.30 0 | 0.278 15.7 0.000 0.31
298735 12 gained-in-cand lasso-zero | 0.100 2.9 0.965 0.58 0 | 0.469 1.0 0.000 5.11
298735 32 gained-in-cand no-bundle | 0.045 0.3 0.832 1.21 0 | no bundle
298735 123 lost-in-cand lasso-zero | 0.250 11.2 0.000 0.30 1 | 0.325 71.8 0.000 0.18
298735 161 lost-in-cand lasso-zero | 0.085 7.6 0.797 0.08 0 | 0.085 7.6 0.000 0.08
298735 161 gained-in-cand no-bundle | 0.097 0.9 0.849 0.35 0 | no bundle
298735 4000001 lost-in-cand lasso-zero | 0.138 4.3 0.515 7.01 0 | 0.138 4.3 0.000 7.01
298735 4000001 gained-in-cand lasso-zero | 0.104 0.6 0.904 0.63 0 | 0.353 0.6 0.000 3.04
