idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1664716	0	nan
1	6505	130	12	1558052	0	nan
2	6512	130	13	1499936	0	nan
3	6520	130	16	1528340	0	nan
4	6528	130	12	1658352	0	nan
5	6529	130	11	1586380	0	nan
6	6532	130	18	1990964	0	nan
7	6536	130	11	1604412	0	nan
8	6545	130	14	1691344	0	nan
9	6550	130	10	1449840	0	nan
10	6570	131	21	1902288	0	nan
11	6588	131	10	1475768	0	nan
12	6604	132	27	2146884	0	nan
13	6606	132	13	1725432	0	nan
14	6612	132	14	1871524	0	nan
15	6642	132	18	1957340	0	nan
16	6650	132	13	1782788	0	nan
17	6711	134	11	1502544	0	nan
18	6748	134	13	1548568	0	nan
19	6775	135	11	1527952	0	nan
20	6786	135	17	1875788	0	nan
21	6804	136	13	1588492	0	nan
22	6805	136	12	1723396	0	nan
23	6806	136	12	1818432	0	nan
24	6821	136	13	1558616	0	nan
25	6822	136	16	1945508	0	nan
26	6837	136	14	1862364	0	nan
27	6844	136	14	1766512	0	nan
28	6852	137	14	1595640	0	nan
29	6867	137	13	1590828	0	nan
30	6874	137	22	2047856	0	nan
31	6878	137	16	1724248	0	nan
32	6887	137	11	1524308	0	nan
33	6888	137	21	1946700	0	nan
34	6898	137	11	1525260	0	nan
