sheet	event	cluster	A	B	shift_cm
00	039349_82	54	arm	base	26.9
01	039253_15	105	arm	base	43.9
02	039349_70	20	arm	base	12.5
03	039349_55	24	arm	base	124.7
04	039349_32	58	base	arm	58.2
05	039349_29	47	arm	base	106.3
06	039349_7	29	base	arm	156.4
07	039349_1	52	base	arm	75.8
08	039349_77	26	arm	base	229.3
09	039253_7	92	arm	base	68.3
10	039349_19	52	base	arm	23.9
11	039349_15	30	base	arm	36.6
12	039349_17	51	arm	base	42.1
13	039349_77	52	base	arm	5.4
14	039349_75	26	base	arm	155.0
15	039349_15	18	arm	base	19.3
16	039349_4	56	arm	base	203.1
17	039252_12	95	base	arm	61.6
18	039252_3	75	base	arm	20.7
19	039349_40	49	base	arm	10.7
20	039349_25	37	base	arm	84.4
21	039349_38	32	arm	base	167.1
22	039349_6	62	arm	base	154.2
23	039349_27	41	arm	base	67.3
24	039349_29	45	base	arm	57.9
25	039252_10	73	arm	base	287.6
26	039349_56	23	arm	base	192.8
27	039253_6	94	arm	base	179.7
28	039349_37	39	arm	base	135.1
29	039349_25	43	base	arm	9.0
30	039252_1	30	base	arm	63.5
31	039253_17	127	arm	base	31.1
32	039349_8	51	arm	base	23.3
33	039252_3	68	arm	base	6.5
34	039349_81	14	base	arm	123.0
35	039252_8	97	arm	base	34.1
36	039349_43	65	arm	base	267.3
37	039349_15	17	arm	base	33.7
38	039253_5	32	arm	base	129.0
39	039349_42	43	base	arm	150.4
