event	cluster	shift	ncl	nstm	base_x	base_y	base_z	base_d_charge	base_d_stm_end	base_d_stm_path	arm_x	arm_y	arm_z	arm_d_charge	arm_d_stm_end	arm_d_stm_path
039349_22	64	380.47	3125	731	275.97	-110.99	166.28	0.32	72.59	0.29	-66.03	-257.15	86.07	0.62	0.56	0.12
039349_23	54	155.64	1054	269	193.56	213.13	83.86	0.45	8.52	0.22	339.88	227.40	134.95	0.50	0.21	0.21
039349_24	58	31.08	708	158	253.92	-171.33	272.43	0.44	31.00	0.52	282.00	-171.37	259.10	0.23	0.16	0.16
039349_25	37	84.36	1295	321	222.24	-19.34	79.47	0.31	75.31	0.28	301.52	-45.88	68.23	0.75	40.12	1.07
039349_25	43	9.02	501	197	227.39	-191.41	8.66	0.22	16.25	0.13	236.31	-190.41	7.82	0.53	25.26	0.27
039349_26	16	134.37	1329	305	-216.39	88.81	105.49	0.61	54.36	0.48	-342.49	44.38	92.06	0.93	3.79	3.79
039349_26	34	99.21	519	189	256.59	-133.79	87.76	2.37	7.01	6.96	256.37	-78.83	5.17	2.70	4.33	2.19
039349_26	40	28.87	235	62	220.96	-276.97	19.31	0.69	4.49	0.31	243.46	-272.21	1.86	0.96	0.58	0.30
039349_26	51	89.40	1085	274	206.31	261.15	66.82	0.73	40.23	0.23	275.61	232.23	18.31	0.36	36.08	0.31
039349_27	41	67.29	498	113	275.11	4.05	195.35	0.31	3.99	0.11	339.86	-14.25	195.34	0.42	0.11	0.11
039349_27	61	40.84	615	146	148.06	327.27	140.19	0.65	33.62	0.28	186.08	314.78	132.01	0.10	0.36	0.36
039349_27	62	294.10	2219	504	71.05	271.93	134.01	0.56	13.26	0.37	315.26	279.45	297.72	0.66	2.13	0.28
039349_28	42	28.93	419	498	191.21	-176.47	292.00	0.92	0.26	0.26	162.80	-175.14	297.34	1.06	28.79	0.57
039349_28	52	10.42	1280	136	109.10	139.48	25.06	0.68	28.08	0.24	106.03	148.58	29.09	0.97	26.89	9.18
039349_28	53	65.40	575	143	283.70	227.25	155.05	0.40	18.00	0.09	339.89	260.14	161.16	0.22	0.12	0.12
039349_29	40	18.89	1988	483	339.59	130.50	82.03	0.84	0.21	0.21	321.92	125.23	86.07	0.62	19.10	0.17
039349_29	45	57.90	2270	368	280.95	155.45	241.30	0.61	60.26	0.82	264.76	209.51	228.35	0.18	4.97	0.50
039349_29	47	106.33	704	183	171.50	128.51	47.09	0.29	3.97	0.16	257.48	82.81	4.36	0.33	0.35	0.35
039349_2	41	34.33	1067	167	336.00	-30.33	143.87	1.32	4.59	0.16	302.24	-34.30	139.12	0.80	37.43	0.22
039349_2	56	5.21	832	211	198.37	80.49	225.87	1.22	4.20	2.04	198.41	75.42	224.66	1.65	2.88	2.88
