event	cluster	shift	ncl	nstm	base_x	base_y	base_z	base_d_charge	base_d_stm_end	base_d_stm_path	arm_x	arm_y	arm_z	arm_d_charge	arm_d_stm_end	arm_d_stm_path
039349_49	72	70.26	141	121	274.41	-333.12	223.97	0.43	0.66	0.24	338.33	-309.92	241.66	0.24	0.20	0.20
039349_4	26	60.03	2603	565	-281.45	-265.81	151.45	0.33	73.64	0.16	-235.24	-233.77	172.47	0.88	133.66	1.17
039349_4	36	79.66	654	154	-330.60	286.09	215.27	0.38	7.97	0.30	-277.36	335.74	182.95	0.26	2.65	0.80
039349_4	56	203.05	1409	363	149.00	110.88	63.49	47.00	58.70	47.90	339.13	43.17	41.22	0.35	0.60	0.26
039349_4	60	377.07	2226	618	57.55	52.07	95.22	0.46	11.92	0.20	339.91	291.06	168.32	0.52	0.16	0.16
039349_50	15	13.72	418	98	-293.53	2.97	242.74	0.42	14.24	0.24	-286.45	3.30	230.99	0.78	0.56	0.09
039349_50	45	218.80	1722	402	315.24	-0.93	193.62	0.37	26.95	0.28	127.19	-82.40	116.98	0.66	4.36	0.23
039349_50	58	21.13	155	56	220.31	111.35	1.20	1.34	0.90	0.51	207.99	97.28	11.04	0.72	9.35	0.21
039349_51	21	79.90	472	143	-207.16	-251.21	23.81	0.98	3.84	1.76	-153.49	-195.87	2.77	0.25	4.87	0.23
039349_51	24	269.12	1763	458	-5.21	99.66	129.39	0.18	0.32	0.32	-269.09	134.18	169.39	0.50	8.38	0.34
039349_51	29	67.58	538	114	-283.84	140.08	246.48	0.75	1.04	0.63	-243.79	119.17	296.74	0.34	0.29	0.29
039349_51	44	16.47	614	231	289.74	92.46	47.87	0.80	52.45	0.81	305.29	94.55	42.86	0.16	36.04	0.35
039349_51	59	116.56	2370	459	165.54	95.48	150.01	0.25	116.54	0.10	115.56	70.32	47.76	0.56	0.16	0.16
039349_52	36	88.74	1338	318	251.95	-120.38	37.20	0.31	88.69	0.10	339.78	-132.71	34.08	0.12	0.06	0.06
039349_53	46	220.18	2044	462	135.92	23.21	161.18	0.12	60.22	2.36	339.90	-33.94	221.19	0.61	2.77	2.77
039349_54	18	263.82	1803	461	-111.09	-238.15	261.49	0.76	24.41	0.53	-338.67	-107.21	235.74	0.56	0.16	0.16
039349_54	20	176.65	2272	468	-3.06	323.64	2.01	0.81	0.69	0.69	-84.08	194.36	91.03	0.36	114.85	0.99
039349_54	30	67.08	791	228	-242.14	297.54	204.75	0.42	56.25	0.11	-284.57	251.51	228.85	0.48	10.09	0.25
039349_54	54	179.13	1111	292	209.95	-302.63	210.65	0.38	2.16	0.33	342.08	-182.20	199.41	2.65	6.16	6.16
039349_54	65	83.67	814	446	94.39	243.73	293.23	0.33	46.36	0.15	11.51	239.50	282.55	0.45	0.34	0.19
039349_54	66	227.01	1614	480	304.42	259.64	288.67	0.60	0.98	0.93	79.99	264.49	254.86	0.84	45.76	0.49
039349_55	24	124.70	2317	484	-229.09	-103.43	210.84	0.65	141.32	0.17	-132.60	-30.95	179.43	0.27	26.44	0.56
039349_55	31	141.17	1319	302	-297.60	301.29	190.33	0.15	46.90	0.72	-168.81	322.80	136.68	0.83	0.65	0.65
039349_55	55	119.87	1405	346	250.78	-230.37	25.91	0.74	89.86	0.32	132.45	-211.79	21.33	0.21	0.36	0.36
039349_56	23	192.78	1509	361	-208.73	-278.50	283.66	0.81	22.54	0.15	-94.79	-198.29	150.44	1.12	0.98	0.53
039349_56	28	54.63	895	151	-183.09	315.84	190.96	0.57	35.02	0.26	-165.01	284.27	150.21	0.62	0.09	0.09
039349_56	40	84.20	1609	369	183.37	-100.01	199.76	0.73	85.66	0.10	236.14	-121.21	137.67	0.46	1.54	0.17
039349_56	53	251.29	1954	507	282.09	322.31	185.22	0.33	56.26	0.25	78.88	259.45	51.43	0.22	0.75	0.75
039349_57	22	284.04	2174	463	-339.79	-146.91	195.01	0.64	0.24	0.24	-112.09	-180.39	28.55	0.53	0.19	0.19
039349_57	27	14.42	1241	237	-153.76	99.72	11.85	0.27	65.80	0.27	-140.46	94.39	13.52	0.56	60.90	0.38
039349_58	21	20.46	214	41	-191.78	237.29	9.11	0.46	4.29	0.15	-179.81	225.20	20.47	0.35	0.18	0.18
039349_58	72	112.16	789	198	242.04	-167.06	250.65	0.34	2.54	0.29	339.78	-166.98	195.63	0.39	0.18	0.18
039349_59	29	134.06	1247	253	-160.64	257.00	207.12	0.70	18.48	0.87	-254.12	220.81	296.14	0.44	0.27	0.27
039349_59	61	19.27	2068	441	111.72	220.47	83.62	0.49	27.64	0.36	104.33	218.40	65.95	0.90	13.77	0.20
039349_60	40	307.14	2044	510	77.42	-96.26	142.12	0.80	6.44	0.30	339.83	-254.18	165.33	0.76	0.17	0.17
039349_60	46	112.81	492	231	113.46	38.47	63.60	0.71	0.96	0.15	122.56	142.33	20.51	0.83	19.13	9.09
039349_61	18	95.36	792	164	-204.57	297.58	63.02	0.47	6.48	6.48	-125.68	326.61	18.00	0.91	1.19	0.37
039349_61	30	161.85	1159	282	-213.33	17.95	15.62	0.71	11.11	0.92	-64.47	81.43	12.59	0.12	0.06	0.06
039349_61	51	88.62	719	161	105.50	-186.35	42.29	0.67	2.41	0.31	183.65	-179.60	1.05	1.06	0.06	0.06
039349_62	35	43.32	828	194	-156.63	4.52	247.87	0.47	43.11	0.88	-126.08	-11.34	221.57	0.20	0.21	0.21
039349_62	63	154.25	1335	339	149.01	220.85	144.85	0.36	11.73	0.10	299.10	256.31	141.69	0.69	38.72	0.33
039349_62	66	206.84	1599	388	164.18	-0.72	128.98	0.80	32.45	0.82	295.14	96.04	1.43	1.43	0.47	0.16
039349_62	70	34.73	622	138	289.44	225.05	15.03	0.52	34.67	0.10	321.20	227.49	1.19	0.88	0.57	0.57
039349_63	47	92.61	490	167	311.02	-101.48	4.00	0.65	2.93	1.47	310.55	-17.48	42.97	91.45	93.20	92.95
039349_63	55	115.65	3101	272	137.71	76.80	101.33	0.27	1.96	0.18	143.71	164.33	25.98	0.69	38.27	1.20
039349_63	67	334.56	4657	1050	305.46	88.88	166.28	0.53	34.33	0.45	-20.71	163.34	166.25	0.35	281.97	0.23
039349_64	24	68.03	1337	297	-113.38	-31.10	257.71	0.17	69.15	0.02	-178.79	-49.14	252.86	0.60	1.19	0.50
039349_64	52	31.95	598	72	311.85	-48.27	179.63	0.57	17.33	17.22	333.03	-32.80	161.39	0.69	8.28	0.49
039349_64	58	104.88	1218	324	267.12	0.76	236.87	0.38	94.20	0.66	339.88	-61.88	194.66	0.74	0.08	0.08
039349_64	61	210.55	3265	452	310.43	-236.40	187.81	0.40	26.13	0.64	335.90	-70.50	60.68	0.86	27.63	0.86
039349_64	65	24.54	456	52	337.23	63.78	73.64	0.30	12.29	0.09	342.66	78.85	92.22	0.00	12.25	12.25
039349_64	80	176.36	1307	276	43.66	333.65	120.20	0.73	0.24	0.24	-112.29	252.59	134.85	0.60	0.60	0.59
039349_66	78	171.57	1402	313	331.94	129.49	137.72	0.85	24.25	0.39	266.00	-13.13	68.80	0.73	1.59	1.59
039349_67	37	78.51	1507	306	-175.91	178.65	112.01	0.06	5.30	1.88	-176.41	249.45	78.09	78.47	78.81	78.67
039349_67	76	71.49	531	119	214.12	201.34	40.52	0.46	0.95	0.27	272.45	188.66	1.18	0.79	0.49	0.05
039349_68	34	122.95	1609	379	-121.06	67.28	113.63	0.67	2.61	0.24	-240.80	46.56	94.96	0.49	101.25	0.33
039349_68	38	19.91	2806	559	-256.06	129.14	222.45	0.59	100.33	0.34	-238.69	119.54	220.94	0.61	119.37	5.19
039349_68	49	201.41	2330	498	236.19	-207.14	185.08	0.62	117.32	0.19	58.79	-115.33	159.29	0.45	0.40	0.15
039349_6	61	27.79	2135	585	240.41	-116.16	149.95	0.54	128.68	0.22	261.47	-134.02	153.12	0.60	100.92	0.39
039349_6	62	154.21	2152	469	82.81	-159.55	241.66	0.92	2.67	2.67	223.97	-144.19	181.51	0.41	129.07	0.22
039349_6	75	205.32	1504	364	149.33	322.68	220.50	0.50	20.45	0.15	300.27	216.62	130.37	0.49	6.68	6.68
039349_70	20	12.49	898	222	-276.76	194.14	141.65	0.37	56.70	0.21	-266.34	198.15	147.23	0.00	44.21	1.57
039349_70	56	45.07	2149	607	294.70	294.72	53.61	0.80	53.69	0.47	331.98	319.97	55.51	0.05	8.63	0.12
039349_71	28	227.96	1685	413	-315.40	240.49	264.83	0.69	25.98	0.14	-105.62	158.13	230.58	0.58	0.29	0.29
039349_71	43	29.20	533	149	309.19	1.08	50.91	0.06	29.61	0.29	336.95	-6.96	46.84	0.25	0.59	0.04
039349_71	51	48.69	995	140	287.74	132.98	36.06	0.58	10.97	0.42	295.02	170.06	5.35	0.99	2.62	0.78
039349_71	59	9.12	1175	364	142.29	334.07	208.16	0.62	16.59	0.93	133.98	335.49	204.67	0.54	7.49	0.03
039349_72	11	25.51	2311	516	-242.63	-0.54	65.41	0.17	117.50	0.98	-263.80	10.05	55.88	0.91	92.03	0.89
039349_72	51	63.56	2166	488	123.23	54.32	53.51	0.44	81.82	0.69	183.93	37.55	44.88	0.45	145.37	0.89
039349_73	25	87.05	873	191	-143.82	10.24	168.40	0.34	24.03	0.12	-225.55	38.75	159.17	0.22	1.11	0.19
039349_74	28	64.70	1077	376	-179.02	-263.66	102.35	0.72	64.42	0.41	-114.33	-264.79	101.83	0.51	0.29	0.29
039349_75	26	155.05	1540	391	-275.80	3.85	146.10	0.57	78.99	0.26	-150.64	44.85	64.29	0.40	1.03	0.15
039349_75	73	148.34	1031	276	327.03	287.06	288.68	0.14	11.80	0.91	179.47	300.44	295.85	0.76	2.56	0.18
039349_76	25	78.85	887	285	-191.70	-283.66	42.43	0.33	79.51	0.21	-247.98	-336.21	59.40	0.28	1.10	1.07
039349_76	27	97.40	813	302	-287.72	-144.49	105.59	0.42	86.44	1.73	-229.84	-222.82	104.38	0.56	0.18	0.18
039349_77	20	64.89	1097	255	-286.86	-164.53	232.84	0.33	64.83	0.34	-323.46	-139.69	185.36	0.41	0.14	0.14
039349_77	26	229.34	1191	471	-113.10	236.02	214.32	0.49	52.12	0.38	-339.34	212.91	184.64	0.49	0.49	0.08
039349_77	44	12.97	203	28	335.31	-70.15	168.74	0.59	0.96	0.96	339.90	-68.15	156.78	0.23	0.21	0.21
039349_77	52	5.40	308	24	254.55	121.61	13.53	0.31	6.88	6.88	255.32	123.79	8.65	0.38	6.03	6.03
039349_77	63	83.25	1148	254	280.89	190.37	225.66	0.34	71.21	0.44	339.87	196.10	167.18	0.33	0.50	0.50
039349_78	22	52.82	1616	551	-121.01	-334.05	297.59	0.81	0.60	0.18	-142.96	-325.74	250.28	0.53	53.25	0.44
039349_79	26	47.38	2069	224	-297.07	-250.21	267.04	0.34	38.63	0.83	-276.71	-224.64	232.74	0.49	43.92	4.07
039349_79	29	14.32	1954	302	-334.94	171.53	25.65	0.42	5.25	0.37	-327.02	183.30	23.67	0.38	19.57	1.75
039349_79	71	99.44	1359	463	235.67	252.88	57.90	0.48	101.52	0.56	331.16	263.30	32.20	0.38	2.09	0.22
039349_7	4	195.97	1228	325	-98.51	-317.41	2.26	0.93	3.18	0.42	-205.76	-179.32	90.75	0.43	3.07	0.49
039349_7	29	156.36	2642	588	-182.78	220.63	122.49	47.32	164.09	48.12	-70.22	122.09	77.01	0.47	58.23	0.18
039349_7	56	61.59	1654	391	250.28	29.47	28.33	1.18	69.13	1.56	306.69	31.51	3.69	0.54	7.58	0.39
039349_7	65	51.33	623	162	282.79	169.41	30.07	0.62	49.86	0.10	327.55	170.68	4.98	0.57	0.16	0.16
039349_7	67	6.71	343	83	293.11	15.61	282.74	0.21	0.11	0.11	293.22	8.91	283.00	0.63	6.62	6.57
039349_80	56	204.65	2080	538	169.45	-1.08	245.26	0.40	119.86	0.27	29.99	-121.80	156.60	0.59	10.38	0.16
039349_80	63	224.12	1597	411	160.82	169.29	182.15	0.55	18.21	0.27	339.84	287.27	116.88	0.26	0.12	0.12
039349_81	14	123.02	1074	288	-288.38	1.22	104.39	0.38	58.04	0.08	-176.78	52.07	94.67	0.38	0.13	0.13
039349_81	21	64.44	1704	436	-285.65	-45.06	29.08	0.34	69.07	0.24	-329.90	-1.88	10.88	0.34	6.07	0.61
039349_81	44	138.49	931	224	283.11	3.32	135.77	0.84	8.03	0.92	339.79	-21.48	11.87	0.58	0.48	0.48
039349_81	62	46.47	453	102	339.83	113.85	99.42	0.57	0.36	0.36	297.13	107.45	116.62	0.44	14.26	0.18
039349_81	63	28.73	1204	326	284.30	151.71	297.81	13.12	14.16	13.17	283.45	123.00	297.35	41.83	42.81	41.89
039349_82	41	7.40	1263	314	343.38	-18.74	106.00	0.00	7.33	7.33	338.09	-22.23	109.81	0.51	0.07	0.07
039349_82	48	42.14	1841	429	291.62	107.07	226.97	0.32	53.62	0.16	329.51	122.22	237.48	0.38	11.65	1.37
039349_82	52	62.35	763	156	286.35	64.03	46.83	0.37	28.31	1.25	339.82	74.24	77.23	0.55	0.52	0.52
039349_82	54	26.85	169	66	331.32	315.14	225.81	0.49	11.51	0.18	310.45	316.88	209.00	0.49	0.26	0.26
039349_82	60	415.81	2536	673	-88.83	14.11	67.13	0.43	55.19	0.24	255.46	240.18	10.07	51.18	53.38	53.38
039349_83	23	58.31	1468	339	-77.19	-252.68	14.32	0.67	56.47	0.24	-20.53	-257.08	1.27	1.21	2.00	2.00
039349_83	49	26.65	373	124	199.04	-305.65	12.42	0.32	27.55	1.61	213.50	-325.14	1.38	0.66	0.90	0.17
039349_83	60	164.75	1005	296	175.38	-69.03	226.92	0.61	11.12	0.25	339.83	-76.68	233.39	0.44	0.13	0.13
039349_83	68	26.60	325	98	140.05	31.74	292.25	0.33	14.34	0.18	161.36	26.57	277.20	0.38	15.63	0.30
039349_83	71	18.64	754	154	321.23	332.09	296.13	0.36	17.15	0.35	339.46	335.77	297.44	0.87	1.56	1.56
039349_8	19	209.76	2437	567	-167.60	-169.30	213.74	0.68	152.17	0.98	-339.90	-252.04	127.32	0.29	0.08	0.08
039349_8	51	23.32	1398	144	115.46	147.19	8.64	0.20	26.11	2.02	106.53	168.62	6.44	0.68	3.27	0.49
039349_8	52	308.64	2392	508	290.63	126.92	298.39	0.29	0.38	0.38	105.10	30.94	71.17	0.41	0.23	0.23
039349_8	53	35.75	1170	324	317.01	74.65	124.43	0.58	35.75	0.17	339.89	89.40	101.25	0.46	0.03	0.03
039349_8	54	97.47	744	173	146.53	147.08	76.36	0.37	5.24	0.08	205.62	127.42	1.38	1.05	0.28	0.28
039349_9	20	18.56	1306	290	-244.35	-296.65	39.49	0.87	56.84	0.34	-259.43	-286.75	35.10	0.48	75.38	0.26
039349_9	55	128.79	915	207	124.01	228.12	218.29	0.61	0.30	0.22	220.85	256.27	298.41	0.67	0.11	0.11
