# ANSWER KEY for pdhd_retile_scan_sheet.tsv -- do not open while scanning.
scan_id	stratum	event	cluster	npts	stm_retiler_off	stm_retiler_on
1	A	21	125	16345	1	0
2	A	20	150	4750	0	1
3	B	11	15	11	0	1
4	A	21	126	6297	0	1
5	A	9	61	24823	1	0
6	B	2	117	4	0	1
7	A	15	24	575	1	0
8	B	27	117	12	0	1
9	A	20	108	650	0	1
10	A	24	44	5094	0	1
11	B	5	27	162	0	1
12	A	5	119	1494	0	1
13	A	29	117	1191	0	1
14	A	23	42	283	0	1
15	B	3	89	117	1	0
16	A	18	135	3231	0	1
17	A	19	95	8312	1	0
18	B	28	32	199	0	1
19	A	14	46	1039	0	1
20	A	26	39	1054	1	0
21	B	5	41	188	0	1
22	A	20	66	7261	1	0
23	B	20	143	21	0	1
24	B	7	33	32	1	0
25	A	26	115	7523	0	1
26	A	8	108	15241	1	0
27	A	14	116	696	0	1
28	A	22	48	4262	0	1
29	B	10	146	48	0	1
30	B	3	92	26	0	1
31	B	14	45	191	0	1
32	B	10	122	27	1	0
33	A	26	53	486	1	0
34	B	27	36	57	0	1
35	A	23	33	473	0	1
36	B	16	111	32	0	1
37	A	16	120	271	0	1
38	A	27	109	1730	0	1
39	B	2	38	5	0	1
40	A	25	34	9554	1	0
41	A	5	127	8494	1	0
42	A	28	93	7032	1	0
43	A	0	35	11827	1	0
44	B	16	1	13	0	1
45	A	23	108	7648	0	1
46	A	15	121	5457	0	1
47	A	14	115	5248	1	0
48	B	5	121	117	0	1
49	A	23	128	744	1	0
50	A	18	75	1015	0	1
51	B	11	35	4	0	1
52	B	22	36	163	0	1
53	A	10	38	3618	1	0
54	B	3	48	10	0	1
55	A	21	63	876	0	1
56	B	24	39	34	0	1
57	A	20	149	3608	1	0
58	A	7	82	796	1	0
59	B	20	46	172	0	1
60	A	16	48	2721	0	1
61	A	16	37	9013	1	0
62	A	18	58	5094	1	0
63	A	15	53	5324	1	0
64	A	0	59	690	0	1
65	A	0	124	4594	1	0
66	B	1	29	142	0	1
67	A	1	32	630	0	1
68	A	1	36	2650	0	1
69	B	1	57	53	0	1
70	A	1	77	12870	1	0
71	A	1	88	2392	0	1
72	A	1	98	7740	1	0
73	A	1	104	1188	0	1
74	A	1	112	13013	0	1
75	A	2	28	1467	1	0
76	A	2	35	3035	1	0
77	A	2	108	2959	1	0
78	A	3	24	9991	1	0
79	A	3	25	1012	0	1
80	A	3	32	12696	0	1
81	B	3	45	100	0	1
82	B	3	46	59	0	1
83	A	3	90	5853	1	0
84	A	3	102	1733	1	0
85	A	3	109	5568	0	1
86	A	4	22	428	0	1
87	A	4	28	206	0	1
88	A	4	32	2195	1	0
89	A	4	39	5427	1	0
90	B	4	62	163	0	1
91	A	4	117	705	0	1
92	A	5	90	383	0	1
93	B	5	91	153	0	1
94	A	5	95	4084	1	0
95	A	5	100	4121	1	0
96	A	5	116	404	1	0
97	A	5	126	9856	1	0
98	A	6	45	1147	0	1
99	A	6	47	4816	0	1
100	A	6	53	425	0	1
101	A	6	105	3070	1	0
102	A	6	109	1594	1	0
103	B	6	113	48	0	1
104	A	7	34	8559	1	0
105	A	7	50	1767	0	1
106	A	8	32	6543	1	0
107	A	8	42	5071	1	0
108	A	8	45	327	1	0
109	A	8	52	2704	0	1
110	B	8	123	34	0	1
111	B	9	5	20	0	1
112	A	9	115	2090	1	0
113	A	9	124	4406	1	0
114	A	10	49	675	0	1
115	A	10	51	556	1	0
116	B	10	58	103	0	1
117	A	10	124	5547	1	0
118	A	10	128	5236	1	0
119	A	10	135	664	1	0
120	A	10	139	7190	1	0
121	A	11	25	4512	1	0
122	A	11	29	247	0	1
123	A	11	83	2811	1	0
124	A	11	90	7946	1	0
125	A	11	107	10828	0	1
126	A	12	21	275	0	1
127	A	12	46	4107	1	0
128	A	12	48	401	0	1
129	A	12	98	5969	1	0
130	A	12	103	6376	1	0
131	A	12	108	6714	0	1
132	A	12	118	654	0	1
133	A	12	127	9371	1	0
134	A	12	129	3682	0	1
135	A	12	130	2598	1	0
136	B	13	15	19	0	1
137	A	13	36	6771	0	1
138	A	13	108	1971	0	1
139	A	13	116	517	0	1
140	A	13	118	9903	0	1
141	B	14	22	8	0	1
142	A	14	24	2727	0	1
143	A	14	26	14341	0	1
144	B	14	28	125	0	1
145	A	14	90	1234	0	1
146	A	14	107	1207	1	0
147	A	14	119	4743	0	1
148	A	15	41	3146	1	0
149	A	15	58	10100	0	1
150	B	15	142	35	0	1
151	A	15	152	6384	0	1
152	B	16	31	16	0	1
153	A	16	66	2873	1	0
154	A	16	91	8153	1	0
155	A	16	97	11360	1	0
156	A	16	129	4897	0	1
157	A	17	40	10584	0	1
158	A	17	44	1446	1	0
159	A	17	49	21028	1	0
160	A	17	113	3442	1	0
161	A	17	115	2124	0	1
162	B	17	124	21	0	1
163	A	18	28	309	0	1
164	A	18	34	1266	1	0
165	A	18	36	5073	1	0
166	A	18	127	3007	0	1
167	A	18	131	6395	1	0
168	A	18	133	14622	1	0
169	A	18	143	2837	0	1
170	B	20	17	91	0	1
171	A	20	39	958	0	1
172	A	20	63	6221	1	0
173	A	20	136	4820	1	0
174	A	21	50	291	0	1
175	A	21	54	1069	0	1
176	A	21	58	6338	1	0
177	A	21	108	362	0	1
178	B	21	110	99	0	1
179	B	21	122	11	0	1
180	A	22	27	3337	1	0
181	A	22	34	1841	1	0
182	A	22	40	2571	1	0
183	B	22	52	33	0	1
184	A	22	107	6496	0	1
185	A	22	119	518	0	1
186	B	22	120	12	0	1
187	A	22	122	1797	0	1
188	A	23	27	3910	0	1
189	A	23	28	302	0	1
190	A	23	55	508	0	1
191	A	23	106	5225	1	0
192	A	24	19	794	0	1
193	B	24	94	176	0	1
194	A	24	104	715	0	1
195	A	24	111	6325	1	0
196	A	25	40	7387	1	0
197	A	25	41	15489	1	0
198	A	25	48	3121	1	0
199	A	25	54	2187	0	1
200	A	25	84	7007	1	0
201	A	25	118	2411	1	0
202	A	25	120	7716	1	0
203	A	26	28	22580	0	1
204	B	26	42	7	0	1
205	A	26	43	1091	0	1
206	A	26	87	816	1	0
207	A	26	118	6271	1	0
208	B	27	122	27	0	1
209	B	27	124	20	0	1
210	A	27	125	743	1	0
211	A	27	126	4377	0	1
212	A	27	127	6952	1	0
213	A	28	27	17374	1	0
214	A	28	28	5688	0	1
215	A	28	85	1658	0	1
216	A	28	106	470	0	1
217	A	28	109	7645	1	0
218	A	29	32	506	1	0
219	A	29	35	4086	1	0
220	A	29	36	4710	0	1
221	A	29	40	899	1	0
222	A	29	55	4103	0	1
223	B	29	63	199	0	1
224	B	29	68	164	0	1
