sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
mcp1k	48367	UNHELD	1	119	853049.3	0.0253	13.0	0.97	108.9	3.1	-155.7	-164.7	270.8	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.1	9.2	7.3	0.0
mcp1k	48367	UNHELD	4	233	1469423.9	0.0436	10.5	1.57	89.0	3.0	-155.8	-157.2	245.3	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.0	12.2	8.8	0.004
mcp1k	48367	UNHELD	6	5	12813.0	0.0004	4.1	0.26	13.0	3.2	-160.4	-102.9	182.6	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.2	3.7	3.7	0.0
mcp1k	48367	UNHELD	7	47	278246.0	0.0083	12.4	0.71	22.1	3.1	-159.7	-112.2	195.9	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.1	5.4	5.0	0.0
mcp1k	48367	UNHELD	11	24	88196.0	0.0026	4.2	0.59	50.9	3.0	-159.3	-121.5	218.4	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.0	5.3	4.8	0.0
mcp1k	48367	UNHELD	12	6	6826.0	0.0002	2.8	0.28	64.7	3.0	-157.9	-134.5	222.9	-1	OWN	0	0	0.0	4593	33695452.6	1.0	3.0	3.7	3.5	0.0
mcp1k	48895	UNHELD	0	133	931118.8	0.0394	14.5	1.16	16.9	3.1	-163.2	-165.5	213.4	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.1	9.9	7.3	0.0
mcp1k	48895	UNHELD	1	87	549873.3	0.0233	8.2	0.95	4.5	3.0	-163.9	-163.2	196.2	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.0	6.8	5.6	0.0
mcp1k	48895	UNHELD	2	102	720285.5	0.0305	15.4	0.69	9.1	3.0	-163.7	-173.4	205.2	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.0	5.5	4.7	0.0
mcp1k	48895	UNHELD	3	12	73016.0	0.0031	4.0	0.44	43.8	3.1	-161.9	-177.7	231.2	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.1	4.3	4.2	0.0
mcp1k	48895	UNHELD	5	316	1956397.9	0.0828	23.7	0.95	56.1	3.0	-159.0	-182.5	261.3	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.0	6.5	5.2	0.0
mcp1k	48895	UNHELD	6	85	324474.9	0.0137	5.0	0.79	54.8	3.0	-160.5	-170.7	245.7	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.0	7.4	6.2	0.0
mcp1k	48895	UNHELD	8	25	184417.0	0.0078	4.6	0.49	92.4	3.0	-157.2	-179.8	280.5	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.0	4.6	4.3	0.0
mcp1k	48895	UNHELD	16	7	55021.0	0.0023	2.6	0.21	150.5	3.1	-151.4	-192.9	334.3	-1	OWN	0	0	0.0	4033	23620098.7	1.0	3.1	3.8	3.7	0.0
mcp1k	48895	NEARBY	-1	2	30203.8	0.0013	0.0	0.0	168.0	nan	-150.1	-199.9	349.2	2	COMPANION	2	4	0.5	4033	23620098.7					
mcp1k	49951	NEARBY	-1	49	580987.0	0.0595	21.0	0.77	17.1	nan	201.8	174.9	37.3	11	UNMATCHED	49	1000003	0.3	1078	9770677.5					
mcp1k	51051	NEARBY	-1	10	51768.1	0.0038	0.5	0.23	260.6	nan	202.0	-130.5	405.0	7	UNMATCHED	10	1000005	0.3	2275	13483206.5					
mcp1k	52085	NEARBY	-1	23	100188.5	0.0068	50.9	2.61	10.5	nan	-1.4	84.2	120.9	5	UNMATCHED	23	1000003	0.3	1528	14752906.7					
mcp1k	52085	NEARBY	-1	10	54855.3	0.0037	0.7	0.3	101.0	nan	80.1	168.3	55.8	54	UNMATCHED	10	1000003	1.7	1528	14752906.7					
mcp1k	53427	NEARBY	-1	3	7001.6	0.0004	0.6	0.13	29.1	nan	-0.2	46.2	437.4	3	COMPANION	3	3	0.4	1989	16956921.5					
mcp1k	54175	NEARBY	-1	7	26164.0	0.002	0.9	0.29	181.2	nan	-201.7	155.7	182.4	6	COMPANION	7	1	0.5	2161	12854780.1					
mcp1k	54175	NEARBY	-1	16	62507.6	0.0049	0.9	0.37	6.7	nan	-78.1	136.0	59.4	51	COMPANION	16	1	2.3	2161	12854780.1					
mcp1k	54341	UNHELD	0	88	994152.3	0.042	12.1	0.86	8.6	3.0	116.9	174.3	158.4	-1	OWN	0	0	0.0	2493	23657791.7	1.0	3.0	6.6	5.6	0.0
mcp1k	54341	UNHELD	1	25	144013.0	0.0061	4.6	0.6	5.0	3.0	116.7	172.2	144.5	-1	OWN	0	0	0.0	2493	23657791.7	1.0	3.0	5.0	4.7	0.0
mcp1k	55595	UNHELD	0	42	236440.1	0.0084	4.8	1.11	5.1	3.0	-178.2	-58.1	201.0	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.0	6.7	6.0	0.0
mcp1k	55595	UNHELD	1	43	403703.5	0.0144	6.1	0.79	3.2	3.1	-177.8	-65.5	195.1	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.1	5.9	5.1	0.0
mcp1k	55595	UNHELD	3	10	24025.0	0.0009	4.9	0.31	18.1	3.0	-176.9	-75.5	204.3	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.0	3.9	3.7	0.0
mcp1k	55595	UNHELD	4	35	256217.0	0.0092	6.7	0.6	58.6	3.0	-171.1	-106.8	232.9	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.0	4.8	4.2	0.0
mcp1k	55595	UNHELD	10	17	77443.0	0.0028	6.6	0.36	116.4	3.1	-164.5	-150.4	269.8	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.1	4.3	4.0	0.0
mcp1k	55595	UNHELD	16	10	190185.4	0.0068	2.1	0.32	175.3	3.0	-159.2	-187.6	311.4	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.0	3.7	3.6	0.0
mcp1k	55595	UNHELD	17	18	107397.0	0.0038	3.7	0.74	169.9	3.1	-159.6	-189.5	304.3	-1	OWN	0	0	0.0	3303	27990085.8	1.0	3.1	5.4	5.1	0.0
mcp1k	55627	NEARBY	-1	14	36918.6	0.0041	1.0	0.29	182.3	nan	-201.9	88.1	316.7	5	COMPANION	14	5	0.4	1682	9080749.5					
mcp1k	56243	NEARBY	-1	2	21960.0	0.0011	0.0	0.0	72.0	nan	201.7	-53.6	123.4	8	UNMATCHED	2	1000001	0.3	2001	20515013.7					
mcp1k	56243	NEARBY	-1	7	28052.7	0.0014	0.7	0.16	37.5	nan	116.8	-29.0	142.1	36	UNMATCHED	7	1000001	1.3	2001	20515013.7					
mcp1k	56243	NEARBY	-1	13	133806.1	0.0065	1.2	0.32	0.7	nan	135.8	-27.4	108.7	68	UNMATCHED	13	1000001	0.9	2001	20515013.7					
mcp1k	56463	UNHELD	0	84	574190.0	0.0166	11.0	0.49	52.3	3.0	153.4	185.4	241.7	-1	OWN	0	0	0.0	5072	34511480.6	1.0	3.0	4.7	4.6	0.0
mcp1k	56463	UNHELD	1	67	608964.4	0.0176	6.4	0.66	70.3	3.0	153.1	197.2	252.1	-1	OWN	0	0	0.0	5072	34511480.6	1.0	3.0	4.9	4.6	0.0
mcp1k	56463	NEARBY	-1	2	4678.7	0.0001	0.0	0.0	330.8	nan	-0.1	95.0	481.6	2	COMPANION	2	6	0.3	5072	34511480.6					
mcp1k	56463	NEARBY	-1	4	27637.0	0.0008	6.5	0.02	120.1	nan	186.4	199.9	290.2	13	COMPANION	4	6	0.3	5072	34511480.6					
mcp1k	57485	UNHELD	0	9	34093.0	0.0028	2.7	0.2	27.3	3.0	-16.4	-123.1	71.3	-1	OWN	0	0	0.0	1256	12091065.3	1.0	3.0	3.8	3.6	0.0
mcp1k	57485	UNHELD	1	9	47637.3	0.0039	2.8	0.28	4.0	3.1	-10.2	-105.6	53.0	-1	OWN	0	0	0.0	1256	12091065.3	1.0	3.1	3.8	3.8	0.0
