sample	event	kind	gid	npts	Q	Qfrac	ext	rms	dvtx	dheld	cx	cy	cz	cluster	cl_class	cl_npts	cl_gid	dcand	n_cand_pts	Qcand	f_absorbed	dfit	dfit_max	dfit_p90	f_far12
nuecc48	388	NEARBY	-1	113	996024.3	0.0072	23.4	3.47	75.6	nan	-181.9	34.6	500.7	6	COMPANION	113	0	0.0	12422	137583159.8					
nuecc48	388	NEARBY	-1	27	155141.3	0.0011	1.6	0.49	61.0	nan	-148.6	56.1	481.7	63	COMPANION	27	0	2.6	12422	137583159.8					
nuecc48	388	NEARBY	-1	17	88253.0	0.0006	1.1	0.43	75.3	nan	-187.0	28.6	498.1	76	COMPANION	17	0	1.1	12422	137583159.8					
nuecc48	388	NEARBY	-1	58	525055.6	0.0038	2.4	0.75	76.2	nan	-185.2	35.5	500.0	92	COMPANION	58	0	1.9	12422	137583159.8					
nuecc48	388	NEARBY	-1	13	127756.8	0.0009	1.1	0.33	17.7	nan	-170.7	29.8	443.2	93	COMPANION	13	0	1.2	12422	137583159.8					
nuecc48	388	NEARBY	-1	12	194548.2	0.0014	1.5	0.58	50.7	nan	-154.4	54.4	472.2	100	COMPANION	12	0	2.7	12422	137583159.8					
nuecc48	10550	NEARBY	-1	9382	53570884.1	2.5838	218.3	10.68	5.4	nan	84.6	80.4	147.1	12	UNMATCHED	9382	1000002	0.3	2999	20733619.6					
nuecc48	38856	UNHELD	0	10	36856.8	0.0004	1.7	0.34	15.3	3.1	-65.9	-47.3	442.7	-1	OWN	0	0	0.0	7899	93260756.8	0.0	4.3	6.1	5.8	0.0
nuecc48	38856	UNHELD	4	127	1847702.2	0.0198	3.5	1.26	7.1	3.0	-58.9	-55.4	420.7	-1	OWN	0	0	0.0	7899	93260756.8	0.0	4.4	9.6	7.2	0.0
nuecc48	38856	UNHELD	6	6	38478.0	0.0004	1.0	0.26	38.9	3.1	-65.8	-32.6	461.7	-1	OWN	0	0	0.0	7899	93260756.8	0.0	3.1	3.5	3.4	0.0
nuecc48	38856	NEARBY	-1	5	7718.7	0.0001	0.5	0.23	91.6	nan	-81.6	-0.3	500.7	2	COMPANION	5	1	0.3	7899	93260756.8					
nuecc48	38856	NEARBY	-1	31	206820.9	0.0022	2.0	0.46	18.6	nan	-65.6	-41.9	443.4	62	COMPANION	31	1	0.8	7899	93260756.8					
nuecc48	42280	UNHELD	0	5	19821.4	0.0001	2.1	0.28	61.9	3.2	19.7	20.0	143.8	-1	OWN	0	0	0.0	16059	150409224.8	0.0	5.9	6.7	6.6	0.0
nuecc48	42280	UNHELD	2	11	62453.0	0.0004	4.9	0.47	29.1	3.3	18.0	5.1	118.0	-1	OWN	0	0	0.0	16059	150409224.8	0.0	3.3	8.3	8.0	0.0
