sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
nuecc-c1e	numu	-3.0	50	90	50	1523	0.5556	0.0328
nuecc-c1e	numu	-2.9	50	90	50	1521	0.5556	0.0329
nuecc-c1e	numu	-2.8	50	90	50	1520	0.5556	0.0329
nuecc-c1e	numu	-2.7	50	90	50	1519	0.5556	0.0329
nuecc-c1e	numu	-2.6	50	90	50	1518	0.5556	0.0329
nuecc-c1e	numu	-2.5	50	90	50	1514	0.5556	0.0330
nuecc-c1e	numu	-2.4	50	90	50	1512	0.5556	0.0331
nuecc-c1e	numu	-2.3	50	90	50	1509	0.5556	0.0331
nuecc-c1e	numu	-2.2	50	90	50	1506	0.5556	0.0332
nuecc-c1e	numu	-2.1	50	90	50	1504	0.5556	0.0332
nuecc-c1e	numu	-2.0	50	90	50	1502	0.5556	0.0333
nuecc-c1e	numu	-1.9	50	90	50	1495	0.5556	0.0334
nuecc-c1e	numu	-1.8	50	90	50	1486	0.5556	0.0336
nuecc-c1e	numu	-1.7	50	90	50	1469	0.5556	0.0340
nuecc-c1e	numu	-1.6	50	90	50	1456	0.5556	0.0343
nuecc-c1e	numu	-1.5	50	90	50	1440	0.5556	0.0347
nuecc-c1e	numu	-1.4	50	90	50	1413	0.5556	0.0354
nuecc-c1e	numu	-1.3	50	90	50	1401	0.5556	0.0357
nuecc-c1e	numu	-1.2	50	90	50	1373	0.5556	0.0364
nuecc-c1e	numu	-1.1	50	90	50	1336	0.5556	0.0374
nuecc-c1e	numu	-1.0	49	90	49	1293	0.5444	0.0379
nuecc-c1e	numu	-0.9	49	90	49	1244	0.5444	0.0394
nuecc-c1e	numu	-0.8	49	90	49	1196	0.5444	0.0410
nuecc-c1e	numu	-0.7	49	90	49	1149	0.5444	0.0426
nuecc-c1e	numu	-0.6	49	90	49	1096	0.5444	0.0447
nuecc-c1e	numu	-0.5	49	90	49	1049	0.5444	0.0467
nuecc-c1e	numu	-0.4	49	90	49	984	0.5444	0.0498
nuecc-c1e	numu	-0.3	49	90	49	924	0.5444	0.0530
nuecc-c1e	numu	-0.2	48	90	48	860	0.5333	0.0558
nuecc-c1e	numu	-0.1	48	90	48	793	0.5333	0.0605
nuecc-c1e	numu	0.0	48	90	48	725	0.5333	0.0662
nuecc-c1e	numu	0.1	48	90	48	654	0.5333	0.0734
nuecc-c1e	numu	0.2	48	90	48	581	0.5333	0.0826
nuecc-c1e	numu	0.3	47	90	47	534	0.5222	0.0880
nuecc-c1e	numu	0.4	46	90	46	472	0.5111	0.0975
nuecc-c1e	numu	0.5	46	90	46	424	0.5111	0.1085
nuecc-c1e	numu	0.6	46	90	46	387	0.5111	0.1189
nuecc-c1e	numu	0.7	46	90	46	343	0.5111	0.1341
nuecc-c1e	numu	0.8	46	90	46	313	0.5111	0.1470
nuecc-c1e	numu	0.9	46	90	46	289	0.5111	0.1592
nuecc-c1e	numu	1.0	46	90	46	260	0.5111	0.1769
nuecc-c1e	numu	1.1	45	90	45	230	0.5000	0.1957
nuecc-c1e	numu	1.2	45	90	45	203	0.5000	0.2217
nuecc-c1e	numu	1.3	45	90	45	186	0.5000	0.2419
nuecc-c1e	numu	1.4	45	90	45	164	0.5000	0.2744
nuecc-c1e	numu	1.5	45	90	45	145	0.5000	0.3103
nuecc-c1e	numu	1.6	45	90	45	130	0.5000	0.3462
nuecc-c1e	numu	1.7	45	90	45	115	0.5000	0.3913
nuecc-c1e	numu	1.8	45	90	45	107	0.5000	0.4206
nuecc-c1e	numu	1.9	44	90	44	102	0.4889	0.4314
nuecc-c1e	numu	2.0	44	90	44	95	0.4889	0.4632
nuecc-c1e	numu	2.1	42	90	42	90	0.4667	0.4667
nuecc-c1e	numu	2.2	42	90	42	82	0.4667	0.5122
nuecc-c1e	numu	2.3	40	90	40	77	0.4444	0.5195
nuecc-c1e	numu	2.4	40	90	40	75	0.4444	0.5333
nuecc-c1e	numu	2.5	38	90	38	67	0.4222	0.5672
nuecc-c1e	numu	2.6	38	90	38	66	0.4222	0.5758
nuecc-c1e	numu	2.7	35	90	35	58	0.3889	0.6034
nuecc-c1e	numu	2.8	32	90	32	53	0.3556	0.6038
nuecc-c1e	numu	2.9	31	90	31	48	0.3444	0.6458
nuecc-c1e	numu	3.0	31	90	31	48	0.3444	0.6458
nuecc-c1e	numu	3.1	29	90	29	46	0.3222	0.6304
nuecc-c1e	numu	3.2	26	90	26	42	0.2889	0.6190
nuecc-c1e	numu	3.3	25	90	25	39	0.2778	0.6410
nuecc-c1e	numu	3.4	23	90	23	36	0.2556	0.6389
nuecc-c1e	numu	3.5	23	90	23	32	0.2556	0.7188
nuecc-c1e	numu	3.6	22	90	22	29	0.2444	0.7586
