sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
off-c1e	nue	-8.4			2	1000		0.00200
off-c1e	nue	-8.3			2	1000		0.00200
off-c1e	nue	-8.2			2	1000		0.00200
off-c1e	nue	-8.1			2	1000		0.00200
off-c1e	nue	-8.0			2	1000		0.00200
off-c1e	nue	-7.9			2	1000		0.00200
off-c1e	nue	-7.8			2	1000		0.00200
off-c1e	nue	-7.7			2	1000		0.00200
off-c1e	nue	-7.6			2	1000		0.00200
off-c1e	nue	-7.5			2	1000		0.00200
off-c1e	nue	-7.4			2	1000		0.00200
off-c1e	nue	-7.3			2	1000		0.00200
off-c1e	nue	-7.2			2	1000		0.00200
off-c1e	nue	-7.1			2	1000		0.00200
off-c1e	nue	-7.0			2	1000		0.00200
off-c1e	nue	-6.9			2	1000		0.00200
off-c1e	nue	-6.8			2	1000		0.00200
off-c1e	nue	-6.7			2	1000		0.00200
off-c1e	nue	-6.6			2	1000		0.00200
off-c1e	nue	-6.5			2	1000		0.00200
off-c1e	nue	-6.4			2	1000		0.00200
off-c1e	nue	-6.3			2	1000		0.00200
off-c1e	nue	-6.2			2	1000		0.00200
off-c1e	nue	-6.1			2	1000		0.00200
off-c1e	nue	-6.0			2	1000		0.00200
off-c1e	nue	-5.9			2	1000		0.00200
off-c1e	nue	-5.8			2	1000		0.00200
off-c1e	nue	-5.7			2	1000		0.00200
off-c1e	nue	-5.6			2	1000		0.00200
off-c1e	nue	-5.5			2	1000		0.00200
off-c1e	nue	-5.4			2	1000		0.00200
off-c1e	nue	-5.3			2	1000		0.00200
off-c1e	nue	-5.2			2	1000		0.00200
off-c1e	nue	-5.1			2	1000		0.00200
off-c1e	nue	-5.0			2	1000		0.00200
off-c1e	nue	-4.9			2	1000		0.00200
off-c1e	nue	-4.8			2	1000		0.00200
off-c1e	nue	-4.7			2	1000		0.00200
off-c1e	nue	-4.6			2	1000		0.00200
off-c1e	nue	-4.5			2	1000		0.00200
off-c1e	nue	-4.4			2	1000		0.00200
off-c1e	nue	-4.3			2	1000		0.00200
off-c1e	nue	-4.2			2	1000		0.00200
off-c1e	nue	-4.1			2	1000		0.00200
off-c1e	nue	-4.0			2	1000		0.00200
off-c1e	nue	-3.9			2	1000		0.00200
off-c1e	nue	-3.8			2	1000		0.00200
off-c1e	nue	-3.7			2	1000		0.00200
off-c1e	nue	-3.6			2	1000		0.00200
off-c1e	nue	-3.5			2	1000		0.00200
off-c1e	nue	-3.4			2	1000		0.00200
