sample	flavour	cut	n_eff_num	n_eff_den	n_pur_num	n_pur_den	eff	pur_or_rate
cv-c1x	numu	-3.0	459	557	459	704	0.8241	0.6520
cv-c1x	numu	-2.9	459	557	459	701	0.8241	0.6548
cv-c1x	numu	-2.8	459	557	459	698	0.8241	0.6576
cv-c1x	numu	-2.7	459	557	459	695	0.8241	0.6604
cv-c1x	numu	-2.6	459	557	459	692	0.8241	0.6633
cv-c1x	numu	-2.5	459	557	459	687	0.8241	0.6681
cv-c1x	numu	-2.4	459	557	459	685	0.8241	0.6701
cv-c1x	numu	-2.3	459	557	459	680	0.8241	0.6750
cv-c1x	numu	-2.2	459	557	459	674	0.8241	0.6810
cv-c1x	numu	-2.1	459	557	459	671	0.8241	0.6841
cv-c1x	numu	-2.0	459	557	459	667	0.8241	0.6882
cv-c1x	numu	-1.9	459	557	459	659	0.8241	0.6965
cv-c1x	numu	-1.8	459	557	459	654	0.8241	0.7018
cv-c1x	numu	-1.7	459	557	459	651	0.8241	0.7051
cv-c1x	numu	-1.6	459	557	459	646	0.8241	0.7105
cv-c1x	numu	-1.5	458	557	458	635	0.8223	0.7213
cv-c1x	numu	-1.4	458	557	458	630	0.8223	0.7270
cv-c1x	numu	-1.3	457	557	457	623	0.8205	0.7335
cv-c1x	numu	-1.2	457	557	457	616	0.8205	0.7419
cv-c1x	numu	-1.1	456	557	456	607	0.8187	0.7512
cv-c1x	numu	-1.0	452	557	452	595	0.8115	0.7597
cv-c1x	numu	-0.9	452	557	452	587	0.8115	0.7700
cv-c1x	numu	-0.8	450	557	450	572	0.8079	0.7867
cv-c1x	numu	-0.7	448	557	448	567	0.8043	0.7901
cv-c1x	numu	-0.6	445	557	445	559	0.7989	0.7961
cv-c1x	numu	-0.5	441	557	441	548	0.7917	0.8047
cv-c1x	numu	-0.4	440	557	440	544	0.7899	0.8088
cv-c1x	numu	-0.3	439	557	439	541	0.7882	0.8115
cv-c1x	numu	-0.2	437	557	437	536	0.7846	0.8153
cv-c1x	numu	-0.1	432	557	432	527	0.7756	0.8197
cv-c1x	numu	0.0	430	557	430	521	0.7720	0.8253
cv-c1x	numu	0.1	423	557	423	513	0.7594	0.8246
cv-c1x	numu	0.2	420	557	420	507	0.7540	0.8284
cv-c1x	numu	0.3	417	557	417	497	0.7487	0.8390
cv-c1x	numu	0.4	412	557	412	489	0.7397	0.8425
cv-c1x	numu	0.5	409	557	409	482	0.7343	0.8485
cv-c1x	numu	0.6	405	557	405	472	0.7271	0.8581
cv-c1x	numu	0.7	401	557	401	464	0.7199	0.8642
cv-c1x	numu	0.8	394	557	394	456	0.7074	0.8640
cv-c1x	numu	0.9	390	557	390	451	0.7002	0.8647
cv-c1x	numu	1.0	386	557	386	442	0.6930	0.8733
cv-c1x	numu	1.1	380	557	380	432	0.6822	0.8796
cv-c1x	numu	1.2	370	557	370	419	0.6643	0.8831
cv-c1x	numu	1.3	366	557	366	415	0.6571	0.8819
cv-c1x	numu	1.4	357	557	357	403	0.6409	0.8859
cv-c1x	numu	1.5	352	557	352	394	0.6320	0.8934
cv-c1x	numu	1.6	345	557	345	385	0.6194	0.8961
cv-c1x	numu	1.7	335	557	335	372	0.6014	0.9005
cv-c1x	numu	1.8	326	557	326	361	0.5853	0.9030
cv-c1x	numu	1.9	314	557	314	347	0.5637	0.9049
cv-c1x	numu	2.0	305	557	305	337	0.5476	0.9050
cv-c1x	numu	2.1	302	557	302	332	0.5422	0.9096
cv-c1x	numu	2.2	295	557	295	323	0.5296	0.9133
cv-c1x	numu	2.3	287	557	287	312	0.5153	0.9199
cv-c1x	numu	2.4	277	557	277	301	0.4973	0.9203
cv-c1x	numu	2.5	268	557	268	288	0.4811	0.9306
cv-c1x	numu	2.6	263	557	263	280	0.4722	0.9393
cv-c1x	numu	2.7	256	557	256	269	0.4596	0.9517
cv-c1x	numu	2.8	244	557	244	254	0.4381	0.9606
cv-c1x	numu	2.9	234	557	234	244	0.4201	0.9590
cv-c1x	numu	3.0	225	557	225	234	0.4039	0.9615
cv-c1x	numu	3.1	219	557	219	228	0.3932	0.9605
cv-c1x	numu	3.2	206	557	206	215	0.3698	0.9581
cv-c1x	numu	3.3	196	557	196	204	0.3519	0.9608
cv-c1x	numu	3.4	183	557	183	191	0.3285	0.9581
cv-c1x	numu	3.5	171	557	171	179	0.3070	0.9553
cv-c1x	numu	3.6	162	557	162	167	0.2908	0.9701
cv-c1x	numu	3.7	151	557	151	156	0.2711	0.9679
cv-c1x	numu	3.8	135	557	135	140	0.2424	0.9643
cv-c1x	numu	3.9	125	557	125	130	0.2244	0.9615
cv-c1x	numu	4.0	115	557	115	120	0.2065	0.9583
cv-c1x	numu	4.1	106	557	106	111	0.1903	0.9550
cv-c1x	numu	4.2	98	557	98	103	0.1759	0.9515
cv-c1x	numu	4.3	84	557	84	88	0.1508	0.9545
cv-c1x	numu	4.4	71	557	71	74	0.1275	0.9595
cv-c1x	numu	4.5	65	557	65	68	0.1167	0.9559
cv-c1x	numu	4.6	53	557	53	56	0.0952	0.9464
cv-c1x	numu	4.7	46	557	46	48	0.0826	0.9583
cv-c1x	numu	4.8	41	557	41	42	0.0736	0.9762
