sample	run	subrun	event	rc	wall_s	core_s	timecmd_wall_s	maxrss_kb	dl_warn	event_label	n_bundle	n_inbeam_bundle	n_inbeam_flash	nu_evaluated	n_cosmic_skipped	nu_sel_t0_us	nu_sel_len_cm	nu_sel_n_assoc	nu_x_cm	nu_y_cm	nu_z_cm	numu_score	nue_score	cosmic_flag	cosmict_flag	cosmict_10_score	cosmict_score	kine_reco_Enu_MeV	kine_energy_excluded_MeV	kine_energy_excluded_main_MeV	kine_energy_excluded_other_MeV	kine_n_excluded	kine_energy_flagged_MeV
mcp2k	18255	1	397905	0	10.766	0.741	12	330240	0	nu-candidate	10	1	1	0	0																		
mcp2k	18255	1	397927	0	16.876	6.459	19	1185328	0	nu-candidate	9	1	1	1	0	0.637	135.7	2	-77.8671	-82.174225	7.6276145	3.3467555	-15.0	1.0	0.0	0.7	0.0	613.5638	1.3074467	0.0	1.3074467	1	2.274917
mcp2k	18255	1	397951	0	13.209	0.956	15	366468	0	no-beam-flash	11	0	0	0	0																		
mcp2k	18255	1	398092	0	13.224	0.816	15	331784	0	cosmic-tagged	7	1	1	0	0																		
mcp2k	18255	1	398115	0	13.325	1.618	15	420564	0	cosmic-tagged	9	1	2	0	0																		
mcp2k	18255	1	398125	0	15.729	6.198	16	1211316	0	nu-candidate	9	1	1	1	0	0.757	172.8	6	-96.17072	81.17595	126.76853	2.6197336	-15.0	1.0	0.0	0.7	0.0	533.6068	10.263691	0.0	10.263691	4	2.8785315
mcp2k	18255	1	398181	0	17.131	8.156	19	1194380	0	nu-candidate	10	1	1	1	0	1.505	136.1	10	55.413544	170.22731	345.06512	4.015106	-15.0	1.0	0.0	0.7	0.0	1251.2087	116.26919	114.29386	1.9753256	3	13.314061
mcp2k	18255	1	398191	0	24.581	13.053	26	1373224	0	nu-candidate	16	1	1	1	0	1.329	398.9	5	-119.70571	140.88226	251.2569	3.8417807	-15.0	1.0	0.0	0.7	0.0	1594.0437	2.148942	0.0	2.148942	2	103.74552
mcp2k	18255	1	398225	0	21.868	10.835	24	1235632	0	cosmic-tagged	9	1	1	1	0	0.976	189.2	19	-100.79761	45.239704	5.300595	1.074715	-15.0	1.0	0.0	0.7	0.0	948.00055	123.34242	108.889595	14.45283	9	15.615544
mcp2k	18255	1	398247	0	13.242	1.002	15	360008	0	cosmic-tagged	11	1	1	0	0																		
