arm	event	anode	wall_s	maxrss_MB	plane	n_active	canvas_h	canvas_w	tiles	ms	gpu_delta_MiB
_fmf4	10	4	3	1995	0	6257	800	1085	1	539	
_fmf4	10	4	3	1995	1	7423	800	611	1	295	
_fmf4	10	4	3	1995	2	6109	423	610	1	148	
_fmf4	10	6	2	1375	0	306	64	79	1	141	
_fmf4	10	6	2	1375	1	869	800	684	1	283	
_fmf4	10	6	2	1375	2	528	64	79	1	31	
_fmf4	1	10	3	1269	0	3102	447	64	1	184	
_fmf4	1	10	3	1269	1	1854	700	655	1	287	
_fmf4	1	10	3	1269	2	2594	424	64	1	64	
_fmf4	1	8	23	981	0	1188	169	64	1	166	
_fmf4	1	8	23	981	1	734	396	719	1	246	
_fmf4	1	8	23	981	2	1008	161	64	1	41	
_fmf4	2	2	23	815	0	788	800	286	1	278	
_fmf4	2	2	23	815	1	4233	800	64	1	139	
_fmf4	2	2	23	815	2	2733	433	64	1	58	
_fmf4	2	4	3	785	0	540	495	330	1	215	
_fmf4	2	4	3	785	1	2820	800	64	1	181	
_fmf4	2	4	3	785	2	1841	292	64	1	53	
_fmf4	3	4	23	704	0	1942	439	135	1	176	
_fmf4	3	4	23	704	1	2666	726	64	1	123	
_fmf4	3	4	23	704	2	2364	396	64	1	58	
_fmf4	3	6	3	831	0	1022	418	260	1	236	
_fmf4	3	6	3	831	1	1416	459	419	1	199	
_fmf4	3	6	3	831	2	1230	207	64	1	60	
_fmf4	4	5	23	1122	0	150	64	64	1	177	
_fmf4	4	5	23	1122	1	709	398	1107	1	357	
_fmf4	4	5	23	1122	2	338	960	64	1	86	
_fmf4	4	7	3	1458	0	597	64	73	1	211	
_fmf4	4	7	3	1458	1	3207	555	1337	1	493	
_fmf4	4	7	3	1458	2	1542	246	71	1	66	
_fmf4	5	2	3	1873	0	210	64	578	1	152	
_fmf4	5	2	3	1873	1	156	581	1370	1	500	
_fmf4	5	2	3	1873	2	171	64	64	1	43	
_fmf4	5	4	2	819	0	3636	509	142	1	177	
_fmf4	5	4	2	819	1	2303	295	789	1	215	
_fmf4	5	4	2	819	2	3059	480	142	1	83	
_fmf4	5	6	2	702	0	482	67	64	1	118	
_fmf4	5	6	2	702	1	298	64	64	1	88	
_fmf4	5	6	2	702	2	389	64	64	1	37	
_fmf4	6	0	3	1187	0	160	64	64	1	176	
_fmf4	6	0	3	1187	1	329	552	932	1	427	
_fmf4	6	0	3	1187	2	219	960	64	1	83	
