sample	event	stratum	what
ncpi0	21073	control	vertex ADVERSE 0.97->2.20cm
ncpi0	37112	control	vertex toward 2.37->0.45cm
ncpi0	56982	ISO	nue43 0->1; vertex toward 34.86->7.37cm
ncpi0	71372	ISO	vertex ADVERSE 0.70->1.90cm
ncpi0	180801	ISO	numu09 1->0; vertex toward 77.49->61.96cm
ncpi0	399860	ISO	nue7 0->1; nue43 0->1
ncpi0	463565	ISO	vertex ADVERSE 28.18->50.78cm
ncpi0	506746	ISO	vertex ADVERSE 0.42->71.94cm
ncpi0	521075	control	vertex ADVERSE 0.00->34.70cm
nuecc48	30504	ISO	vertex ADVERSE 30.99->32.59cm
nuecc48	38856	ISO	nue7 0->1; nue43 0->1; vertex toward 32.25->0.54cm
nuecc48	42280	ISO	nue7 1->0; vertex ADVERSE 0.70->2.44cm
nuecc48	46363	ISO	nue7 1->0; nue43 1->0; vertex ADVERSE 0.00->62.52cm
nuecc48	52672	control	vertex ADVERSE 3.83->73.38cm
nuecc48	54095	ISO	nue7 1->0; numu09 0->1
nuecc48	111412	ISO	nue7 1->0; nue43 1->0; vertex ADVERSE 1.84->6.22cm
nuecc48	122660	ISO	vertex ADVERSE 0.48->83.58cm
nuecc48	138009	ISO	nue7 0->1; vertex ADVERSE 0.30->2.25cm
nuecc48	163543	ISO	numu09 0->1; vertex toward 32.85->17.09cm
nuecc48	168596	ISO	nue7 0->1
nuecc48	196649	ISO	nue43 0->1
nuecc48	219295	ISO	numu09 1->0
nuecc48	234638	ISO	nue7 1->0; numu09 0->1
nuecc48	235435	control	nue7 1->0; nue43 1->0; numu09 0->1; vertex ADVERSE 0.18->36.34cm
nuecc48	268784	control	nue7 0->1
nuecc48	271851	ISO	nue43 0->1
nuecc48	350186	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.00->44.66cm
nuecc48	400474	ISO	nue7 1->0; nue43 1->0
nuecc48	444187	control	nue7 1->0; nue43 1->0; numu09 0->1
nuecc48	447477	ISO	nue7 1->0; nue43 1->0
nuecc48	469665	ISO	nue43 1->0
