sample	event	stratum	what
ncpi0	21073	control	vertex ADVERSE 0.97->10.47cm
ncpi0	56982	ISO	vertex toward 34.86->12.29cm
ncpi0	71372	ISO	vertex ADVERSE 0.70->1.83cm
ncpi0	84229	ISO	numu09 0->1
ncpi0	180801	ISO	vertex toward 77.49->71.20cm
ncpi0	399860	ISO	nue7 0->1; nue43 0->1
ncpi0	463565	ISO	vertex ADVERSE 28.18->42.51cm
nuecc48	30504	ISO	nue7 0->1; nue43 0->1; vertex toward 30.99->0.10cm
nuecc48	38856	ISO	nue7 0->1; nue43 0->1; vertex toward 32.25->0.30cm
nuecc48	52672	control	vertex ADVERSE 3.83->68.37cm
nuecc48	111412	ISO	nue7 1->0; nue43 1->0; vertex ADVERSE 1.84->47.62cm
nuecc48	122660	ISO	vertex ADVERSE 0.48->85.18cm
nuecc48	138009	ISO	nue7 0->1
nuecc48	163543	ISO	nue7 0->1; nue43 0->1; vertex toward 32.85->0.08cm
nuecc48	168596	ISO	nue7 0->1
nuecc48	174637	ISO	numu09 0->1
nuecc48	196649	ISO	nue7 0->1; nue43 0->1
nuecc48	219295	ISO	numu09 1->0
nuecc48	234638	ISO	numu09 0->1
nuecc48	235435	control	nue7 1->0; nue43 1->0; numu09 0->1; vertex ADVERSE 0.18->35.55cm
nuecc48	268067	control	nue7 1->0; nue43 1->0
nuecc48	271851	ISO	nue43 0->1
nuecc48	342199	ISO	vertex ADVERSE 0.65->1.84cm
nuecc48	350186	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.00->40.82cm
nuecc48	389538	ISO	nue7 0->1; nue43 0->1; numu09 1->0; vertex ADVERSE 0.28->213.56cm
nuecc48	422851	control	nue7 1->0; nue43 1->0; vertex ADVERSE 0.17->2.72cm
nuecc48	444187	control	nue7 1->0; nue43 1->0; numu09 0->1
nuecc48	469665	ISO	nue43 1->0
