# blob_product_census tag=d102m samples=mcp1k mcp2k events=3000 min_len=10.0cm min_pts=20
sel	theta_bin	n_clusters	n_blobs	prod_p50	prod_p90	frac_prod_le_2500	frac_prod_le_6400	frac_prod_le_10000	n_pts	qmin_p10	qmin_p50	frac_q_lt_2000	frac_q_lt_4000	frac_q_lt_6000
all	0-30	3311	1473930	10	36	1.000	1.000	1.000	6171633	467	1865	0.522	0.727	0.848
all	30-50	4497	1918301	12	39	1.000	1.000	1.000	8544893	466	1797	0.535	0.732	0.847
all	50-65	6210	2306746	18	40	1.000	1.000	1.000	10985576	477	1734	0.546	0.730	0.833
all	65-75	5958	2163581	21	70	1.000	1.000	1.000	12646398	510	1865	0.522	0.707	0.819
all	75-85	7604	2760295	14	150	0.999	1.000	1.000	22996499	538	1952	0.508	0.696	0.809
all	85-90	6096	2875568	8	124	0.991	0.997	0.998	26607539	498	1442	0.572	0.734	0.835
lin	0-30	2850	1319079	10	35	1.000	1.000	1.000	5438766	464	1861	0.523	0.729	0.851
lin	30-50	3751	1674428	12	36	1.000	1.000	1.000	7312346	462	1783	0.538	0.735	0.850
lin	50-65	5349	2045667	18	40	1.000	1.000	1.000	9642998	475	1723	0.548	0.731	0.833
lin	65-75	5235	1942002	21	70	1.000	1.000	1.000	11377749	509	1856	0.523	0.708	0.820
lin	75-85	6663	2468519	14	156	0.999	1.000	1.000	21105791	540	1960	0.506	0.695	0.807
lin	85-90	4790	2652930	8	128	0.990	0.997	0.998	24962999	498	1420	0.574	0.735	0.836
