stratum	sample	event	iso_len80	iso_len75	iso_len_any75	labelled
iso	mcp2k	398191	500.153	500.153	500.153	0
iso	mcp1k	283713	500.1	500.1	500.1	1
iso	mcp2k	99838	466.938	466.938	466.938	1
iso	mcp2k	283833	463.568	463.568	463.568	1
iso	mcp2k	395209	444.817	444.817	444.817	0
iso	mcp1k	390842	436.109	436.109	436.109	0
iso	mcp2k	179604	430.838	430.838	430.838	1
iso	mcp2k	70472	423.215	423.215	423.215	1
iso	mcp2k	162143	422.06	422.06	422.06	1
iso	mcp2k	100135	418.682	418.682	418.682	0
iso	mcp1k	393042	415.203	415.203	415.203	1
iso	mcp2k	98660	393.214	393.214	393.214	0
iso	mcp2k	68748	384.949	384.949	384.949	1
iso	mcp2k	178841	380.593	380.593	380.593	0
iso	mcp2k	317407	377.077	396.263	396.263	1
iso	mcp1k	284769	372.711	372.711	372.711	1
iso	mcp2k	242550	359.657	457.331	457.331	1
iso	mcp2k	169240	357.275	357.275	357.275	1
iso	mcp1k	284794	347.487	347.487	347.487	1
iso	mcp2k	170076	344.971	344.971	344.971	0
iso	mcp2k	179048	344.445	344.445	344.445	1
iso	mcp2k	79616	343.728	343.728	343.728	1
iso	mcp1k	288859	341.385	341.385	395.724	1
iso	mcp2k	174771	325.907	325.907	325.907	1
iso	mcp1k	394642	323.069	323.069	323.069	1
iso	mcp2k	172762	320.631	320.631	320.631	1
iso	mcp2k	77328	320.064	333.003	333.003	1
iso	mcp2k	175952	310.56	347.182	347.182	1
iso	mcp2k	72275	310.168	322.954	322.954	0
iso	mcp1k	172090	303.084	303.084	303.084	0
iso	mcp1k	62613	302.893	302.893	302.893	1
iso	mcp2k	99232	300.448	300.448	300.448	1
iso	mcp2k	289464	299.129	299.129	299.129	1
iso	mcp2k	393538	289.592	314.432	314.432	1
iso	mcp2k	392693	288.435	288.435	288.435	0
iso	mcp2k	75206	277.787	277.787	277.787	0
iso	mcp1k	283009	275.881	275.881	275.881	1
iso	mcp2k	180698	269.248	269.248	269.248	1
iso	mcp2k	174164	265.996	265.996	265.996	0
iso	mcp2k	76170	263.486	392.9	392.9	0
iso	mcp1k	316553	263.442	263.442	263.442	1
iso	mcp1k	400636	263.274	263.274	263.274	1
iso	mcp2k	72055	261.114	261.114	261.114	1
iso	mcp2k	412638	257.775	257.775	257.775	0
iso	mcp1k	315497	255.859	317.175	317.175	1
iso	mcp2k	91235	253.216	253.216	253.216	1
iso	mcp2k	237798	252.51	252.51	252.51	1
iso	mcp2k	100421	246.655	246.655	246.655	1
iso	mcp2k	322135	245.776	245.776	245.776	0
iso	mcp2k	321937	245.701	245.701	245.701	1
iso	mcp2k	402297	244.617	244.617	244.617	0
iso	mcp2k	101554	243.986	243.986	243.986	1
iso	mcp2k	322885	239.875	239.875	239.875	0
iso	mcp1k	321107	239.006	239.006	239.006	1
iso	mcp2k	283299	237.873	304.693	304.693	1
iso	mcp2k	292436	237.818	237.818	237.818	0
iso	mcp2k	414306	230.93	230.93	230.93	1
iso	mcp1k	490581	228.411	228.411	228.411	1
iso	mcp2k	158227	227.116	227.116	227.116	1
iso	mcp2k	157281	226.261	226.261	226.261	1
iso	mcp2k	391899	222.079	222.079	222.079	1
iso	mcp1k	286681	220.946	220.946	240.682	1
iso	mcp2k	101454	220.553	220.553	220.553	0
iso	mcp1k	291570	220.082	220.082	220.082	1
iso	mcp2k	393835	219.788	219.788	219.788	0
iso	mcp2k	47784	218.094	218.094	218.094	1
iso	mcp2k	395079	212.093	212.093	212.093	0
iso	mcp1k	399702	210.707	210.707	210.707	0
iso	mcp2k	400029	206.17	206.17	206.17	1
iso	mcp2k	104920	205.659	205.659	205.659	1
iso	mcp2k	497311	204.233	204.233	204.233	1
iso	mcp2k	390216	202.492	202.492	202.492	1
iso	mcp1k	172788	200.58	307.019	307.019	1
iso	mcp1k	71046	194.74	194.74	194.74	1
iso	mcp1k	55595	193.836	193.836	193.836	0
iso	mcp2k	104304	193.811	193.811	193.811	1
iso	mcp2k	400239	191.033	191.033	191.033	0
iso	mcp2k	99716	190.802	190.802	202.181	1
iso	mcp1k	168614	187.99	187.99	187.99	0
iso	mcp2k	51219	186.675	186.675	213.064	1
iso	mcp2k	98452	186.657	186.657	186.657	0
iso	mcp1k	63163	183.552	183.552	183.552	1
iso	mcp2k	406147	183.442	406.498	417.761	0
iso	mcp2k	290542	183.09	183.09	183.09	0
iso	mcp1k	67746	182.3	182.3	182.3	1
iso	mcp1k	48895	180.814	180.814	180.814	1
iso	mcp2k	393119	180.474	180.474	180.474	0
iso	mcp2k	317539	178.203	178.203	193.12	0
iso	mcp1k	48367	178.137	178.137	178.137	1
iso	mcp2k	409052	176.812	176.812	176.812	1
iso	mcp1k	288287	176.187	313.694	313.694	0
iso	mcp2k	74784	175.764	314.225	314.225	0
iso	mcp2k	396551	175.114	175.114	175.114	0
iso	mcp2k	349056	174.737	174.737	174.737	0
iso	mcp2k	161725	172.65	172.65	172.65	0
iso	mcp2k	176502	170.955	220.912	381.018	0
iso	mcp2k	72196	169.638	169.638	169.638	0
iso	mcp1k	174224	167.383	345.324	345.324	0
iso	mcp1k	400460	165.586	165.586	165.586	1
iso	mcp2k	292788	164.704	164.704	164.704	1
iso	mcp2k	354248	164.171	164.171	164.171	0
iso	mcp2k	51868	163.913	163.913	163.913	1
iso	mcp2k	473952	162.283	162.283	162.283	1
iso	mcp1k	63559	161.369	161.369	161.369	1
iso	mcp2k	93776	160.519	160.519	160.519	1
iso	mcp1k	315167	157.828	174.69	174.69	1
iso	mcp2k	393505	156.278	156.278	156.278	0
iso	mcp1k	169890	155.723	155.723	155.723	1
iso	mcp2k	396091	154.607	154.607	154.607	1
iso	mcp2k	178350	154.056	154.056	154.056	1
iso	mcp1k	317939	153.851	175.686	186.305	0
iso	mcp2k	69314	153.097	184.482	184.482	1
iso	mcp2k	322663	153.044	153.044	153.044	0
iso	mcp2k	500149	151.603	151.603	151.603	1
iso	mcp2k	101675	150.421	150.421	150.421	1
iso	mcp1k	292384	149.79	149.79	149.79	1
iso	mcp2k	475140	146.044	146.044	146.044	0
iso	mcp2k	57742	144.141	144.141	144.141	1
iso	mcp2k	280159	141.223	162.082	177.506	1
iso	mcp1k	395148	140.955	153.847	190.747	0
iso	mcp2k	97084	140.742	140.742	140.742	0
iso	mcp2k	92225	140.517	140.517	140.517	1
iso	mcp1k	283771	140.098	140.098	140.098	0
iso	mcp2k	73538	138.675	138.675	138.675	0
iso	mcp2k	348638	138.361	138.361	138.361	0
iso	mcp2k	392417	138.225	138.225	138.225	0
iso	mcp2k	174993	135.471	135.471	135.471	1
iso	mcp2k	241626	134.888	134.888	134.888	0
iso	mcp2k	398225	127.479	127.479	127.479	0
iso	mcp1k	345633	127.371	279.573	279.573	1
iso	mcp2k	501711	127.111	127.111	127.111	0
iso	mcp2k	283849	127.011	127.011	127.011	1
iso	mcp2k	180403	126.344	126.344	144.574	0
iso	mcp2k	395485	125.762	125.762	125.762	0
iso	mcp2k	350354	125.427	125.427	138.8	1
iso	mcp2k	321235	125.415	125.415	125.415	1
iso	mcp2k	316021	123.158	149.606	149.606	0
iso	mcp1k	287825	121.995	121.995	121.995	1
iso	mcp1k	174576	121.886	121.886	121.886	1
iso	mcp1k	351705	121.109	121.109	121.109	1
iso	mcp1k	280994	120.697	120.697	120.697	1
iso	mcp1k	288327	117.905	117.905	117.905	0
iso	mcp1k	281837	115.353	115.353	115.353	1
iso	mcp2k	74326	114.466	139.813	163.302	0
iso	mcp2k	75795	114.363	114.363	114.363	0
iso	mcp2k	395717	113.871	113.871	113.871	0
iso	mcp2k	179054	113.715	113.715	113.715	1
iso	mcp2k	237710	113.645	113.645	113.645	0
iso	mcp1k	319611	112.323	112.323	112.323	1
iso	mcp2k	393791	111.594	111.594	111.594	0
vtx_iso	mcp1k	54341	33.6362	33.6362	33.6362	1
vtx_iso	mcp1k	54351	55.8734	55.8734	55.8734	1
vtx_iso	mcp1k	55715	0	17.0144	17.0144	1
vtx_iso	mcp1k	56211	0	15.4862	15.4862	1
vtx_iso	mcp1k	56243	0	31.9614	31.9614	1
vtx_iso	mcp1k	57903	51.0649	51.0649	51.0649	1
vtx_iso	mcp1k	58345	48.5051	48.5051	48.5051	1
vtx_iso	mcp1k	58607	10.8864	10.8864	24.8686	1
vtx_iso	mcp1k	59003	0	319.054	319.054	1
vtx_iso	mcp1k	59335	0	67.1929	67.1929	1
vtx_iso	mcp1k	59371	0	24.5573	24.5573	1
vtx_iso	mcp1k	60669	12.5894	12.5894	12.5894	1
vtx_iso	mcp1k	61417	0	24.9523	24.9523	1
vtx_iso	mcp1k	62149	57.9862	57.9862	57.9862	1
vtx_iso	mcp1k	62281	30.1963	30.1963	30.1963	1
vtx_iso	mcp1k	62459	17.5083	17.5083	17.5083	1
vtx_iso	mcp1k	63551	98.0754	98.0754	98.0754	1
