# blob_product_census tag=d102m samples=nuecc48 ncpi0 events=67 min_len=10.0cm min_pts=20
sel	theta_bin	n_clusters	n_blobs	prod_p50	prod_p90	frac_prod_le_2500	frac_prod_le_6400	frac_prod_le_10000	n_pts	qmin_p10	qmin_p50	frac_q_lt_2000	frac_q_lt_4000	frac_q_lt_6000
all	0-30	70	28494	12	40	1.000	1.000	1.000	122743	468	1809	0.531	0.728	0.846
all	30-50	100	51510	12	42	1.000	1.000	1.000	237322	480	1850	0.526	0.725	0.840
all	50-65	137	59684	15	45	1.000	1.000	1.000	300553	501	1980	0.503	0.698	0.805
all	65-75	147	74189	16	66	1.000	1.000	1.000	430256	529	2141	0.478	0.677	0.796
all	75-85	175	85515	12	126	1.000	1.000	1.000	642430	555	2173	0.474	0.673	0.789
all	85-90	137	77895	8	121	0.991	0.997	0.998	728661	512	1661	0.546	0.719	0.825
lin	0-30	61	24050	12	40	1.000	1.000	1.000	104414	462	1751	0.542	0.736	0.854
lin	30-50	82	39626	14	40	1.000	1.000	1.000	177181	466	1730	0.549	0.742	0.853
lin	50-65	114	50349	16	40	1.000	1.000	1.000	251117	492	1934	0.511	0.706	0.811
lin	65-75	129	64073	16	66	1.000	1.000	1.000	367335	527	2119	0.481	0.678	0.798
lin	75-85	150	71993	12	135	1.000	1.000	1.000	556495	557	2167	0.475	0.674	0.790
lin	85-90	112	72392	8	126	0.990	0.996	0.998	688975	510	1613	0.551	0.722	0.828
