metric	cell	base	sample	k_base	n_base	k_cell	n_cell	delta_pp	lost	gained	p	verdict
M1	t2	c2	cv	387	557	390	557	0.539	39	42	0.8243	not separable
M1	c1e	c2	cv	387	557	388	557	0.180	12	13	1	not separable
M1	c1x	c2	cv	387	557	390	557	0.539	15	18	0.7283	not separable
M1	t1e	c2	cv	387	557	389	557	0.359	43	45	0.9152	not separable
M1	t1x	c2	cv	387	557	388	557	0.180	41	42	1	not separable
M1	t1e	t2	cv	390	557	389	557	-0.180	12	11	1	not separable
M1	t1x	t2	cv	390	557	388	557	-0.359	16	14	0.8555	not separable
M1	c1x	c1e	cv	388	557	390	557	0.359	27	29	0.8939	not separable
M1	t1x	t1e	cv	389	557	388	557	-0.180	26	25	1	not separable
M2	t2	c2	cv	387	448	390	450	0.283	29	30	1	not separable
M2	c1e	c2	cv	387	448	388	454	-0.921	14	9	0.4049	not separable
M2	c1x	c2	cv	387	448	390	451	0.091	11	11	1	not separable
M2	t1e	c2	cv	387	448	389	454	-0.701	36	32	0.7163	not separable
M2	t1x	c2	cv	387	448	388	443	1.201	26	32	0.5118	not separable
M2	t1e	t2	cv	390	450	389	454	-0.984	14	9	0.4049	not separable
M2	t1x	t2	cv	390	450	388	443	0.918	8	13	0.3833	not separable
M2	c1x	c1e	cv	388	454	390	451	1.012	16	21	0.5114	not separable
M2	t1x	t1e	cv	389	454	388	443	1.902	13	23	0.1325	not separable
M3	t2	c2	nuecc	618	1511	630	1511	0.794	168	180	0.5555	not separable
M3	c1e	c2	nuecc	618	1511	592	1511	-1.721	65	39	0.01384	DEGRADED
M3	c1x	c2	nuecc	618	1511	605	1511	-0.860	100	87	0.3803	not separable
M3	t1e	c2	nuecc	618	1511	612	1511	-0.397	177	171	0.7887	not separable
M3	t1x	c2	nuecc	618	1511	623	1511	0.331	172	177	0.8305	not separable
M3	t1e	t2	nuecc	630	1511	612	1511	-1.191	62	44	0.09824	not separable
M3	t1x	t2	nuecc	630	1511	623	1511	-0.463	97	90	0.6609	not separable
M3	c1x	c1e	nuecc	592	1511	605	1511	0.860	126	139	0.4611	not separable
M3	t1x	t1e	nuecc	612	1511	623	1511	0.728	125	136	0.536	not separable
M4	t2	c2	nuecc	618	632	630	649	-0.712	14	9	0.4049	not separable
M4	c1e	c2	nuecc	618	632	592	607	-0.256	4	3	1	not separable
M4	c1x	c2	nuecc	618	632	605	626	-1.139	11	4	0.1185	not separable
M4	t1e	c2	nuecc	618	632	612	631	-0.796	14	9	0.4049	not separable
M4	t1x	c2	nuecc	618	632	623	642	-0.744	12	7	0.3593	not separable
M4	t1e	t2	nuecc	630	649	612	631	-0.084	5	5	1	not separable
M4	t1x	t2	nuecc	630	649	623	642	-0.032	8	8	1	not separable
M4	c1x	c1e	nuecc	592	607	605	626	-0.883	13	7	0.2632	not separable
M4	t1x	t1e	nuecc	612	631	623	642	0.052	10	10	1	not separable
M5	t2	c2	nuecc	734	1511	757	1511	1.522	172	195	0.2508	not separable
M5	c1e	c2	nuecc	734	1511	702	1511	-2.118	76	44	0.004455	DEGRADED
M5	c1x	c2	nuecc	734	1511	727	1511	-0.463	98	91	0.6626	not separable
M5	t1e	c2	nuecc	734	1511	742	1511	0.529	183	191	0.7174	not separable
M5	t1x	c2	nuecc	734	1511	753	1511	1.257	179	198	0.3539	not separable
M5	t1e	t2	nuecc	757	1511	742	1511	-0.993	65	50	0.1915	not separable
M5	t1x	t2	nuecc	757	1511	753	1511	-0.265	96	92	0.8269	not separable
M5	c1x	c1e	nuecc	702	1511	727	1511	1.655	126	151	0.1492	not separable
M5	t1x	t1e	nuecc	742	1511	753	1511	0.728	133	144	0.548	not separable
M6	t2	c2	nuecc	734	781	757	803	0.289	31	32	1	not separable
M6	c1e	c2	nuecc	734	781	702	759	-1.492	22	12	0.1214	not separable
M6	c1x	c2	nuecc	734	781	727	778	-0.537	24	20	0.6516	not separable
M6	t1e	c2	nuecc	734	781	742	794	-0.531	38	33	0.6353	not separable
M6	t1x	c2	nuecc	734	781	753	806	-0.558	37	31	0.5446	not separable
M6	t1e	t2	nuecc	757	803	742	794	-0.821	20	14	0.3915	not separable
M6	t1x	t2	nuecc	757	803	753	806	-0.847	26	19	0.3713	not separable
M6	c1x	c1e	nuecc	702	759	727	778	0.955	29	35	0.5323	not separable
M6	t1x	t1e	nuecc	742	794	753	806	-0.027	33	32	1	not separable
M7	t2	c2	cv	539	783	533	783	-0.766	42	36	0.5716	not separable
M7	c1e	c2	cv	539	783	536	783	-0.383	22	19	0.7552	not separable
M7	c1x	c2	cv	539	783	539	783	0.000	6	6	1	not separable
M7	t1e	c2	cv	539	783	529	783	-1.277	48	38	0.3318	not separable
M7	t1x	c2	cv	539	783	530	783	-1.149	45	36	0.3742	not separable
M7	t1e	t2	cv	533	783	529	783	-0.511	19	15	0.6076	not separable
M7	t1x	t2	cv	533	783	530	783	-0.383	8	5	0.5811	not separable
M7	c1x	c1e	cv	536	783	539	783	0.383	24	27	0.7798	not separable
M7	t1x	t1e	cv	529	783	530	783	0.128	23	24	1	not separable
M8	t2	c2	nuecc	1122	1626	1133	1626	0.677	147	158	0.567	not separable
M8	c1e	c2	nuecc	1122	1626	1096	1626	-1.599	97	71	0.05343	not separable
M8	c1x	c2	nuecc	1122	1626	1114	1626	-0.492	34	26	0.3663	not separable
M8	t1e	c2	nuecc	1122	1626	1117	1626	-0.308	157	152	0.82	not separable
M8	t1x	c2	nuecc	1122	1626	1114	1626	-0.492	161	153	0.6929	not separable
M8	t1e	t2	nuecc	1133	1626	1117	1626	-0.984	93	77	0.2499	not separable
M8	t1x	t2	nuecc	1133	1626	1114	1626	-1.169	38	19	0.01635	DEGRADED
M8	c1x	c1e	nuecc	1096	1626	1114	1626	1.107	101	119	0.2517	not separable
M8	t1x	t1e	nuecc	1117	1626	1114	1626	-0.185	110	107	0.892	not separable
VTX1	t2	c2	cv	303	783	325	783	2.810	60	82	0.07765	not separable
