# doc 117 sec 6 -- cost per vertex chain (doc 116 sec 14's instruments, scripts/d116/perf_cost.py)
# TICK = the wire-cell job's own ladder; RSS = getrusage(CHILDREN) high-water from .time.meta.

## cv
| arm | n | TICK mean (s) | vs c2 | TICK sum (core-h) | TaggerCheckNeutrino mean (s) | RSS p50 | RSS p99 | RSS max |
|---|---:|---:|---:|---:|---:|---:|---:|---:|
| c2 | 2017 | 3.26 | 1.000 | 1.83 | 1.58 | 0.44 | 1.26 | 1.33 |
| t2 | 2017 | 3.34 | 1.024 | 1.87 | 1.46 | 0.47 | 1.28 | 1.37 |
| c1e | 2017 | 2.62 | 0.805 | 1.47 | 1.04 | 0.44 | 1.27 | 1.35 |
| c1x | 2017 | 2.58 | 0.793 | 1.45 | 0.96 | 0.44 | 1.26 | 1.35 |
| t1e | 2017 | 2.91 | 0.893 | 1.63 | 1.05 | 0.47 | 1.28 | 1.37 |
| t1x | 2017 | 2.87 | 0.881 | 1.61 | 0.98 | 0.47 | 1.27 | 1.35 |

## nuecc
| arm | n | TICK mean (s) | vs c2 | TICK sum (core-h) | TaggerCheckNeutrino mean (s) | RSS p50 | RSS p99 | RSS max |
|---|---:|---:|---:|---:|---:|---:|---:|---:|
| c2 | 2001 | 12.90 | 1.000 | 7.17 | 9.40 | 1.15 | 1.33 | 1.51 |
| t2 | 2001 | 17.13 | 1.328 | 9.52 | 11.51 | 1.17 | 1.60 | 2.21 |
| c1e | 2001 | 9.90 | 0.767 | 5.50 | 6.28 | 1.16 | 1.34 | 1.52 |
| c1x | 2001 | 9.28 | 0.719 | 5.16 | 5.44 | 1.15 | 1.33 | 1.51 |
| t1e | 2001 | 12.27 | 0.951 | 6.82 | 6.80 | 1.16 | 1.59 | 2.21 |
| t1x | 2001 | 11.83 | 0.917 | 6.58 | 6.10 | 1.16 | 1.59 | 2.20 |
