run	idx	wall_s	peak_rss_gb	total_wall_s	total_core_s	node_wall_s	node_core_s	tfs_wall_s	tfs_core_s	mem_peak_res_gb	mains	tgm	stm_eval	stm	nu_cands	steiner_kept	clusters	conn_calls	lazy_calls	ncomp_max	conn_max_pairs	conn_max_walked	load_ms	scope_ms	flag_ms	steiner_ms	tgm_ms	stm_ms	fc_ms	protect_ms	refresh_ms	nu_ms	w_trk_ms	w_tag_ms	w_disp_ms	w_stm_ms	done_ms	other_ms	m_load_gb	m_steiner_gb	m_stm_gb	m_protect_gb	m_nu_gb	m_disp_gb	m_done_gb
039252	0	43	1.72	42.639	29.097	27.394	28.019	15.245	1.078	1.736	60	22	38	4	3	60	102	2	0	23	0	0	379.8	80.1	66.6	8737.2	614.0	6358.1	79.7	55.6	444.9	9036.0	169.6	30.4	325.2	55.4	594.3	119.1	0.469	0.723	0.837	0.837	1.457	1.715	1.736
039252	10	85	2.17	84.632	71.057	69.383	69.975	15.249	1.081	2.173	70	15	55	5	5	70	103	1	0	9	0	0	461.1	101.6	81.7	10706.1	956.5	7503.1	94.0	7.5	25.1	47322.6	183.6	29.6	554.7	68.3	788.4	147.0	0.574	0.869	1.039	1.039	1.803	2.164	2.173
039252	11	75	2.16	74.623	61.125	59.362	60.002	15.261	1.123	2.156	71	17	54	4	4	71	102	1	0	13	0	0	484.4	105.6	86.3	13843.3	2076.3	13598.2	85.5	19.3	296.0	26480.5	194.5	33.7	538.0	89.7	851.2	156.7	0.598	1.07	1.145	1.145	1.804	2.147	2.156
039252	12	62	2.53	61.711	62.135	60.456	61.153	1.255	0.982	2.583	91	28	63	7	6	91	133	2	0	18	0	0	608.9	128.7	109.0	23828.5	3067.7	16943.2	136.2	39.6	246.9	12758.8	170.1	27.9	552.3	78.1	1071.7	189.2	0.721	1.456	1.457	1.457	2.23	2.534	2.583
039252	13	40	1.99	40.365	39.628	37.96	38.667	2.405	0.961	1.985	65	13	52	3	3	65	94	0	0	0	0	0	465.1	96.0	77.3	13149.3	1931.3	9270.5	86.4	0.7	2.2	11031.3	175.3	35.8	381.0	64.8	686.4	141.9	0.56	0.939	1.054	1.054	1.639	1.951	1.985
039252	14	108	3.17	108.209	107.537	105.717	106.471	2.492	1.065	3.176	82	23	59	8	7	82	118	1	0	9	0	0	751.0	155.8	131.9	30692.7	4291.9	16850.9	160.4	10.0	104.4	49124.1	197.4	29.9	877.5	96.5	1317.0	234.2	0.855	1.674	1.675	1.675	2.705	3.162	3.176
039252	15	86	3.2	86.14	86.539	84.812	85.517	1.328	1.021	3.203	85	22	63	11	10	85	110	4	0	29	0	0	595.9	128.7	106.9	17723.6	1932.7	22373.7	129.7	93.9	320.6	38107.9	190.8	27.4	964.0	103.2	1268.5	181.7	0.728	1.158	1.422	1.422	2.764	3.202	3.202
039252	16	116	3.69	114.726	114.185	112.361	113.053	2.365	1.132	3.683	99	25	74	10	9	99	127	6	0	12	0	0	844.6	174.8	149.8	30961.2	3631.5	34056.8	149.0	53.9	435.6	37969.2	220.4	30.0	1169.1	123.0	1539.7	242.3	0.944	1.879	1.88	1.88	3.152	3.672	3.683
039252	17	97	3.23	95.85	95.381	93.587	94.314	2.263	1.066	3.226	82	20	62	9	8	82	109	4	0	7	0	0	685.2	144.6	118.4	19315.0	1760.9	24592.4	134.0	34.6	150.9	43168.7	209.7	31.9	993.1	119.1	1280.0	203.6	0.788	1.228	1.525	1.525	2.693	3.219	3.226
039252	1	87	2.84	86.455	72.96	71.11	71.721	15.345	1.238	2.843	72	15	57	7	7	72	117	2	0	26	0	0	647.6	138.9	117.0	25890.2	3071.1	15448.3	147.5	194.1	2803.6	19602.8	187.4	29.8	789.8	113.4	1187.4	200.9	0.752	1.494	1.494	1.494	2.466	2.836	2.843
039252	2	76	2.63	75.441	61.91	60.15	60.76	15.291	1.149	2.708	92	31	61	6	5	92	121	1	0	2	0	0	700.3	138.6	114.8	28207.4	6319.0	17318.8	139.4	1.3	7.9	4291.4	173.2	32.1	405.5	87.8	1213.2	222.3	0.774	1.597	1.598	1.598	2.294	2.585	2.708
039252	3	57	2.12	56.893	43.898	42.139	42.792	14.754	1.105	2.141	75	19	56	3	3	75	105	1	0	5	0	0	529.7	109.0	89.1	15084.9	1716.8	11080.9	107.1	9.7	109.9	11111.5	174.6	30.5	500.0	71.2	793.0	168.3	0.611	0.962	1.154	1.154	1.782	2.112	2.141
039252	4	80	2.41	79.426	66.182	64.37	65.031	15.056	1.151	2.475	92	24	68	5	4	92	133	1	0	2	0	0	658.9	138.2	116.2	33901.3	3511.1	13556.0	145.2	3.7	30.0	9751.6	165.0	25.5	452.4	97.7	1102.9	208.6	0.751	1.931	1.931	1.931	2.227	2.406	2.475
039252	5	195	3.61	194.815	181.453	179.479	180.23	15.336	1.223	3.606	81	20	61	13	11	81	113	6	1	385	73817	52859	762.3	156.9	131.0	36382.8	4774.5	29739.1	167.0	8511.6	9040.2	86115.9	218.2	29.6	974.1	106.0	1532.2	219.5	0.867	2.213	2.214	2.213	3.087	3.597	3.606
039252	6	78	2.5	77.683	64.407	62.617	63.237	15.066	1.169	2.558	92	17	75	8	7	92	115	2	0	7	0	0	591.3	117.0	96.1	21492.3	3331.0	17811.2	120.8	19.3	175.6	16130.3	188.6	32.1	538.1	94.1	1124.3	186.1	0.675	1.203	1.312	1.312	2.155	2.5	2.558
