stage	sum_s	share	max_s	max_event
TaggerCheckNeutrino:pr	1853.8	0.3799	86.1	039252/5
CreateSteinerGraph:pr	1384.4	0.2837	53.2	039252/8
TaggerCheckSTM:pr	1159.7	0.2377	44.7	039253/5
TaggerCheckTGM:pr	164.4	0.0337	11.1	039252/8
done	83.7	0.0172	2.4	039253/4
PrDisplayDump:pr	53.3	0.0109	1.3	039253/11
loaded live	48.1	0.0099	1.5	039253/14
CreateSteinerGraph:prrefresh	38.1	0.0078	9.0	039252/5
PdvdPrMagnifyTrackingVisitor:pr	23.2	0.0048	0.6	039253/7
ClusteringProtectBundle:pr	14.4	0.0030	8.5	039252/5
ClusteringSwitchScope:pr	10.3	0.0021	0.4	039253/13
TaggerCheckFC:pr	10.3	0.0021	0.3	039253/8
loaded dead	10.1	0.0021	0.4	039253/13
PdvdMagnifyTrackingVisitor:pr	8.4	0.0017	0.3	039253/4
ClusteringFlagMatchedMains:pr	8.3	0.0017	0.3	039253/13
dump live clusters to bee	4.5	0.0009	0.1	039253/4
UbooneTaggerOutputVisitor:pr	3.9	0.0008	0.1	039253/6
dump dead regions to bee	0.6	0.0001	0.0	039253/15
MakeFiducialUtils:pr	0.0	0.0000	0.0	039349/54
pre clustering	0.0	0.0000	0.0	039253/13
start clustering	0.0	0.0000	0.0	039253/16
