name	axis	centre	geom	R0.25	R0.5	R1	R1.5	R2	R3	R5	gapmed	gapQ3	null	excess	n	qcore
cathode	x	0.0	6.0	0.2527	0.2266	0.2613	0.2787	0.2815	0.3328	0.4418	8.4451	9.7189	0.2960	8.1491	798	0.9181
cru_y_neg_bot	y	-168.5	0.01999999999998181	0.4863	0.7172	0.7342	0.8103	0.8579	0.8613	0.9327	0.5680	0.8620	0.2944	0.2736	185	0.9876
crp_y0_bot	y	0.0	1.22	0.0000	0.1030	0.3163	0.5949	0.7948	0.8439	0.9041	1.5060	2.1919	0.2944	1.2116	184	0.9018
cru_y_pos_bot	y	168.5	0.01999999999998181	0.3933	0.5772	0.6721	0.7215	0.7894	0.8133	0.9027	0.5880	0.8830	0.2944	0.2936	205	0.9915
cru_z_bot	z	149.65	0.2599999999999909	0.6995	1.0157	1.0050	0.8692	0.9734	0.9313	0.9727	0.6020	1.1120	0.4838	0.1182	341	0.9242
cru_y_neg_top	y	-168.5	0.01999999999998181	0.5423	0.9082	0.7391	0.8337	0.8691	0.8758	0.9498	0.3580	0.8600	0.2944	0.0636	347	1.0541
crp_y0_top	y	0.0	1.22	0.0000	0.0000	0.2599	0.5176	0.7041	0.7777	0.8599	1.4643	2.0437	0.2944	1.1699	328	0.9144
cru_y_pos_top	y	168.5	0.01999999999998181	0.5646	0.8199	0.7088	0.8019	0.8571	0.8679	0.9364	0.5680	0.8950	0.2944	0.2736	309	1.0691
cru_z_top	z	149.64999999999998	0.09999999999999432	0.6569	1.3731	1.0575	0.8981	1.0010	0.9387	0.9577	0.3920	1.4120	0.4838	-0.0918	604	0.9565
CTRL_y_+84	y	84.0	0.0	1.1141	1.0970	0.9440	1.0111	1.0362	1.0132	1.0222	0.2944	0.4459	0.2944	0.0000	563	1.0219
CTRL_y_-84	y	-84.0	0.0	1.0255	1.0490	0.9066	0.9757	1.0021	0.9870	1.0077	0.2944	0.4417	0.2944	-0.0000	509	1.0238
CTRL_z_75	z	75.0	0.0	0.8936	0.9987	0.9835	0.9646	0.9581	0.9961	1.0084	0.4727	0.5100	0.4838	-0.0111	969	0.9294
CTRL_z_225	z	225.0	0.0	0.8757	0.9731	0.8753	0.9418	1.0077	0.9746	0.9783	0.4950	0.5100	0.4838	0.0111	914	0.9655
CTRL_x_bot	x	-170.0	0.0	1.0195	1.0119	1.0014	0.9987	1.0010	0.9982	0.9988	0.2960	0.2960	0.2960	0.0000	857	1.0187
CTRL_x_top	x	170.0	0.0	1.1062	1.1024	1.1284	1.0924	1.1090	1.1097	1.0561	0.2960	0.2960	0.2960	0.0000	1132	0.9192
