run	idx	wall_s	peak_rss_gb	total_wall_s	total_core_s	node_wall_s	node_core_s	tfs_wall_s	tfs_core_s	mem_peak_res_gb	mains	tgm	stm_eval	stm	nu_cands	steiner_kept	clusters	conn_calls	lazy_calls	ncomp_max	conn_max_pairs	conn_max_walked	load_ms	scope_ms	flag_ms	steiner_ms	tgm_ms	stm_ms	fc_ms	protect_ms	refresh_ms	nu_ms	w_trk_ms	w_tag_ms	w_disp_ms	w_stm_ms	done_ms	other_ms	m_load_gb	m_steiner_gb	m_stm_gb	m_protect_gb	m_nu_gb	m_disp_gb	m_done_gb
039252	0	47	1.08	47.474	25.683	24.535	24.485	22.939	1.198	1.294	60	22	38	2	2	60	102	0	0	0	0	0	399.4	107.3	72.9	9142.6	641.0	11298.9	75.7	0.6	76.6	1301.5	160.4	28.6	178.8	60.5	612.5	127.9	0.528	0.793	1.076	1.076	1.079	1.241	1.294
039252	10	50	1.87	49.316	49.041	48.101	48.047	1.215	0.994	1.87	70	15	55	6	6	70	103	1	0	9	0	0	530.4	118.0	87.0	11593.6	936.3	11293.8	94.5	8.2	28.4	21406.7	168.0	26.5	349.6	76.1	867.7	164.6	0.65	0.964	1.675	1.675	1.714	1.87	1.87
039252	11	52	2.28	51.19	50.903	49.954	49.898	1.236	1.005	2.28	71	17	54	2	2	71	102	1	0	13	0	0	551.1	120.2	88.2	14286.0	2044.7	20627.8	95.6	41.0	351.5	9681.3	171.4	26.3	350.7	94.4	842.5	177.3	0.673	1.184	1.99	1.99	2.123	2.278	2.28
039252	12	88	2.4	87.78	87.412	86.453	86.392	1.327	1.02	2.398	91	28	63	6	6	91	133	2	0	18	0	0	673.7	171.0	112.5	25159.0	2989.3	28808.6	138.0	102.6	311.4	25388.4	171.5	26.2	446.1	91.0	1148.8	205.6	0.812	1.634	2.073	2.073	2.242	2.398	2.398
039252	13	53	1.58	52.836	52.573	51.648	51.596	1.188	0.977	1.58	65	13	52	2	2	65	94	0	0	0	0	0	511.9	112.2	80.5	13613.9	1953.5	11941.1	85.9	0.7	5.1	21532.0	166.7	24.3	283.7	76.3	714.1	155.6	0.623	1.039	1.421	1.421	1.424	1.58	1.58
039252	14	130	2.79	128.632	126.365	125.351	125.294	3.281	1.07	2.794	82	23	59	9	7	82	118	1	0	10	0	0	840.5	184.8	135.3	31906.3	4542.4	29841.9	168.7	9.4	40.7	54151.1	180.0	26.9	703.3	116.6	1519.9	241.0	0.964	1.841	2.627	2.627	2.632	2.79	2.794
039252	15	189	3.01	188.974	185.685	184.712	184.653	4.262	1.031	3.012	85	22	63	13	12	85	110	0	0	0	0	0	679.0	157.1	110.5	17980.0	1908.1	37301.4	133.8	0.8	65.7	122883.9	203.5	31.7	969.4	110.8	1410.3	197.6	0.822	1.247	2.161	2.161	2.502	3.004	3.012
039252	16	161	3.22	160.887	158.556	157.5	157.445	3.387	1.11	3.221	99	25	74	7	6	99	127	5	0	10	0	0	927.0	202.8	148.6	32252.1	3643.7	62618.4	148.6	54.0	424.7	53529.8	194.1	27.7	714.5	143.7	1540.5	261.5	1.065	2.04	3.058	3.058	3.061	3.219	3.221
039252	17	154	2.88	153.793	151.554	150.555	150.495	3.238	1.059	2.876	82	20	62	8	7	82	109	4	0	13	0	0	743.3	171.6	123.5	20893.8	1788.0	40027.9	140.1	121.2	626.2	82560.7	194.3	28.4	799.8	127.5	1346.4	218.7	0.887	1.345	2.713	2.713	2.718	2.876	2.876
039252	1	147	2.75	146.902	126.1	124.944	124.825	21.958	1.275	2.754	72	15	57	9	9	72	117	2	0	26	0	0	721.8	155.0	120.3	27476.0	3201.6	25692.6	162.9	322.3	3065.6	60502.9	201.4	27.8	981.8	122.0	1399.5	208.0	0.85	1.694	2.347	2.347	2.352	2.749	2.754
039252	2	94	2.28	93.911	73.108	71.94	71.872	21.971	1.236	2.393	92	31	61	6	5	92	121	1	0	2	0	0	720.2	156.4	122.9	29114.1	6484.1	26659.1	139.6	1.6	16.5	5718.4	161.6	31.1	333.8	100.9	1262.6	235.6	0.871	1.738	1.988	1.988	1.991	2.275	2.393
039252	3	96	2.06	95.833	74.067	72.876	72.819	22.957	1.248	2.1	75	19	56	2	2	75	105	0	0	0	0	0	546.6	125.6	90.3	15957.7	1736.6	15305.9	112.3	0.7	72.7	36692.8	175.0	25.4	467.2	75.1	839.9	173.3	0.685	1.043	1.598	1.598	1.901	2.084	2.1
039252	4	98	2.92	98.359	76.597	75.406	75.337	22.953	1.26	2.917	92	24	68	5	5	92	133	1	0	2	0	0	721.6	165.3	119.1	35063.9	3666.5	21596.0	150.8	4.1	49.2	11255.0	170.3	27.7	387.4	100.5	1183.3	214.5	0.849	2.088	2.196	2.196	2.685	2.853	2.917
039252	5	744	3.61	743.391	742.984	742.078	741.926	1.313	1.057	3.606	81	20	61	14	12	81	113	8	1	385	73817	52859	816.6	191.9	138.1	37653.2	5003.8	53302.3	176.8	450669.2	9216.0	180739.6	214.9	30.0	1204.7	128.1	1684.7	242.4	0.978	2.394	3.186	3.186	2.923	3.531	3.606
039252	6	104	2.21	103.31	100.99	99.96	99.887	3.35	1.103	2.238	92	17	75	8	7	92	115	3	0	7	0	0	637.9	141.7	101.4	23368.2	3505.8	25737.9	125.5	46.6	537.0	42911.0	206.3	34.7	583.4	105.3	1145.7	183.5	0.755	1.313	1.664	1.664	1.839	2.208	2.238
039252	7	73	1.78	72.21	68.841	67.811	67.74	4.399	1.101	1.784	75	21	54	5	4	75	116	0	0	0	0	0	584.3	133.8	86.3	16019.1	2007.2	11698.6	118.5	0.7	76.0	34943.2	177.0	27.5	417.9	76.1	839.5	168.1	0.664	1.042	1.579	1.579	1.584	1.763	1.784
039252	8	153	3.21	152.505	148.095	147.023	146.931	5.482	1.163	3.21	72	20	52	10	9	72	112	5	0	20	0	0	775.2	175.4	152.1	55897.0	11184.7	14446.5	154.6	191.5	597.4	59532.2	198.0	30.4	931.4	85.7	1655.3	240.9	0.91	2.328	2.195	2.195	3.053	3.21	3.21
039252	9	52	1.68	51.94	51.675	50.745	50.692	1.195	0.982	1.889	74	17	57	7	6	74	110	1	0	2	0	0	530.8	119.0	89.5	11512.2	1568.5	17685.6	91.1	1.5	43.2	16903.4	169.4	31.7	449.4	82.2	915.4	167.2	0.666	0.96	1.545	1.545	1.547	1.862	1.889
039253	0	90	2.01	89.897	68.105	66.957	66.898	22.94	1.206	2.099	82	15	67	10	9	82	123	3	0	102	0	0	545.8	118.9	87.2	13083.6	843.8	14974.2	106.4	4839.7	1234.8	28642.3	210.5	33.3	555.9	72.3	1073.1	160.5	0.667	0.98	1.357	1.357	1.731	2.09	2.099
039253	10	65	2.33	63.975	61.715	60.748	60.695	3.227	1.019	2.325	63	10	53	3	3	63	93	0	0	0	0	0	459.8	109.6	74.7	10593.1	638.2	19336.7	72.9	0.7	9.8	27659.7	182.4	31.4	340.7	95.1	696.3	149.0	0.58	0.911	1.899	1.899	2.168	2.322	2.325
