run	idx	wall_s	peak_rss_gb	total_wall_s	total_core_s	node_wall_s	node_core_s	tfs_wall_s	tfs_core_s	mem_peak_res_gb	mains	tgm	stm_eval	stm	nu_cands	steiner_kept	clusters	conn_calls	lazy_calls	ncomp_max	conn_max_pairs	conn_max_walked	load_ms	scope_ms	flag_ms	steiner_ms	tgm_ms	stm_ms	fc_ms	protect_ms	refresh_ms	nu_ms	w_trk_ms	w_tag_ms	w_disp_ms	w_stm_ms	done_ms	other_ms	m_load_gb	m_steiner_gb	m_stm_gb	m_protect_gb	m_nu_gb	m_disp_gb	m_done_gb
039252	0	60	1.3	59.785	49.022	49.217	47.643	10.568	1.378	1.379	60	22	38	4	3	60	102	2	0	23	0	0	446.2	93.8	68.9	9129.1	646.4	9191.3	77.6	58.5	456.6	27418.7	179.8	33.0	339.6	65.1	637.1	126.0	0.527	0.795	1.083	1.083	1.107	1.354	1.379
039252	10	149	1.7	148.546	148.26	147.348	147.274	1.198	0.986	1.838	70	15	55	5	5	70	103	1	0	9	0	0	522.1	115.8	81.4	11362.4	895.0	10664.5	86.4	6.7	24.4	121496.0	167.8	25.9	510.5	75.9	807.9	157.7	0.648	0.964	1.703	1.703	1.565	1.838	1.837
039252	11	86	1.83	85.772	84.392	83.463	83.409	2.309	0.983	1.833	71	17	54	4	4	71	102	1	0	13	0	0	588.1	121.6	88.3	14183.8	1909.6	19493.7	83.9	23.2	328.2	44540.0	163.2	25.2	430.7	84.5	822.5	176.5	0.671	1.19	1.673	1.673	1.676	1.833	1.832
039252	12	88	2.37	88.026	87.725	86.809	86.737	1.217	0.987	2.374	91	28	63	7	6	91	133	2	0	18	0	0	703.4	165.9	108.3	23755.0	2703.2	25474.2	132.4	42.2	240.9	30841.6	168.9	45.5	539.3	84.6	1105.7	196.9	0.813	1.637	2.019	2.019	2.218	2.213	2.26
039252	13	54	1.64	54.179	53.863	52.982	52.928	1.197	0.935	1.642	65	13	52	3	3	65	94	0	0	0	0	0	515.4	109.0	79.1	13157.3	1859.6	13903.9	86.4	0.9	2.2	21428.4	160.7	25.6	327.9	70.5	730.2	153.8	0.624	1.048	1.414	1.414	1.415	1.598	1.642
039252	14	304	2.87	303.433	303.114	302.21	302.084	1.223	1.029	2.874	82	23	59	8	7	82	118	1	0	9	0	0	833.1	185.1	132.0	31052.6	4432.4	27977.7	162.9	10.8	117.9	233745.8	189.2	26.8	810.0	112.4	1447.2	239.7	0.965	1.848	2.636	2.636	2.641	2.874	2.874
039252	15	174	2.88	172.84	172.486	171.542	171.47	1.298	1.016	2.881	85	22	63	11	10	85	110	4	0	29	0	0	694.1	151.6	109.9	17158.7	1913.5	35945.1	125.6	93.4	352.9	111469.9	200.1	30.8	991.1	115.3	1408.4	195.8	0.82	1.259	2.254	2.254	2.436	2.878	2.881
039252	16	209	3.4	208.795	208.375	207.345	207.278	1.45	1.097	3.399	99	25	74	10	9	99	127	6	0	12	0	0	913.3	194.0	142.2	32244.8	3410.5	56162.8	154.0	64.0	538.1	109337.5	205.6	35.3	1072.4	148.3	1779.0	254.0	1.059	2.046	3.064	3.064	3.069	3.399	3.399
039252	17	178	4.91	177.09	176.751	175.814	175.728	1.276	1.022	4.907	82	20	62	9	8	82	109	4	0	7	0	0	734.0	163.9	115.8	19418.1	1659.5	38856.2	134.1	36.2	159.2	110720.3	208.7	29.2	1025.7	153.4	1466.0	217.3	0.89	1.35	3.516	3.516	4.749	4.907	4.907
039252	1	126	2.58	125.538	116.502	116.249	115.078	9.289	1.424	2.578	72	15	57	7	7	72	117	2	0	26	0	0	758.1	166.7	128.7	30571.1	6073.7	28970.2	148.6	211.4	2889.7	43299.6	198.1	26.6	718.3	120.7	1207.7	212.9	0.852	1.698	2.416	2.416	2.419	2.578	2.578
