run	idx	wall_s	peak_rss_gb	total_wall_s	total_core_s	node_wall_s	node_core_s	tfs_wall_s	tfs_core_s	mem_peak_res_gb	mains	tgm	stm_eval	stm	nu_cands	steiner_kept	clusters	conn_calls	lazy_calls	ncomp_max	conn_max_pairs	conn_max_walked	load_ms	scope_ms	flag_ms	steiner_ms	tgm_ms	stm_ms	fc_ms	protect_ms	refresh_ms	nu_ms	w_trk_ms	w_tag_ms	w_disp_ms	w_stm_ms	done_ms	other_ms	m_load_gb	m_steiner_gb	m_stm_gb	m_protect_gb	m_nu_gb	m_disp_gb	m_done_gb
039252	0	65	1.32	64.026	38.968	37.802	37.685	26.224	1.283	1.315	60	22	38	4	3	60	102	2	0	23	0	0	378.5	80.5	68.6	9470.9	607.1	7214.6	124.0	57.3	481.4	17700.2	177.6	31.3	332.0	56.4	632.3	122.6	0.469	0.722	0.838	0.838	1.034	1.292	1.315
039252	10	194	1.75	193.271	167.55	166.889	166.256	26.382	1.293	1.747	70	15	55	5	5	70	103	1	0	9	0	0	485.9	106.1	90.2	12055.0	950.8	7994.9	90.6	6.8	23.5	142952.6	187.2	31.6	562.8	71.7	783.8	153.4	0.576	0.87	1.041	1.041	1.385	1.74	1.747
039252	11	122	1.72	121.676	96.111	95.35	94.783	26.326	1.327	1.737	71	17	54	4	4	71	102	1	0	13	0	0	530.8	113.5	88.8	15081.2	2247.6	14789.6	90.4	22.1	370.5	58793.5	254.5	45.1	802.4	118.4	1252.5	178.0	0.593	1.069	1.151	1.151	1.388	1.716	1.737
039252	12	100	2.16	99.578	96.943	96.322	95.898	3.256	1.045	2.161	91	28	63	7	6	91	133	2	0	18	0	0	663.6	133.8	108.5	25702.4	4507.7	26206.3	151.4	46.9	318.8	35367.2	218.3	34.0	668.6	91.8	1306.3	200.5	0.721	1.461	1.462	1.462	1.813	2.112	2.161
039252	13	64	1.57	64.466	64.011	63.179	62.979	1.287	1.031	1.567	65	13	52	3	3	65	94	0	0	0	0	0	489.2	105.4	84.6	16618.5	3094.0	15306.2	158.1	1.1	3.4	25295.3	182.5	32.0	426.4	79.5	758.0	161.2	0.56	0.939	1.052	1.052	1.227	1.529	1.567
039252	14	299	2.77	299.086	298.503	297.816	297.428	1.27	1.075	2.767	82	23	59	8	7	82	118	1	0	9	0	0	800.1	170.5	136.4	41846.6	4893.9	18982.3	169.3	10.7	118.1	226942.7	203.3	34.0	936.9	106.4	1474.4	251.8	0.855	1.673	1.673	1.673	2.285	2.742	2.767
039252	15	167	2.79	166.858	166.194	165.513	165.08	1.345	1.114	2.784	85	22	63	11	10	85	110	4	0	29	0	0	612.0	133.1	120.9	28381.3	2631.7	26159.3	131.6	97.3	372.5	103142.5	198.9	31.2	1169.4	110.9	1402.9	191.4	0.728	1.154	1.417	1.417	2.344	2.784	2.784
039252	16	187	3.26	186.285	184.932	183.412	183.082	2.873	1.849	3.261	99	25	74	10	9	99	127	6	0	12	0	0	1411.8	267.9	199.0	40598.8	3904.2	42011.2	149.7	56.0	450.3	90131.8	233.0	31.3	1154.3	137.5	1760.6	259.8	0.936	1.874	1.875	1.875	2.731	3.251	3.261
039252	17	163	2.82	162.314	161.358	159.875	159.809	2.439	1.548	2.817	82	20	62	9	8	82	109	4	0	7	0	0	953.2	258.5	175.4	25062.1	1822.1	30370.2	152.2	42.1	214.9	96976.1	216.0	32.8	1092.9	128.5	1392.8	278.8	0.79	1.23	1.533	1.533	2.279	2.799	2.817
039252	1	140	2.44	139.476	115.124	114.257	113.764	25.219	1.359	2.434	72	15	57	7	7	72	117	2	0	26	0	0	670.9	143.3	120.0	28047.2	3487.6	18164.2	166.4	259.5	3175.2	56760.3	199.8	33.6	836.3	119.6	1265.4	204.4	0.753	1.493	1.494	1.494	2.051	2.419	2.434
