run	idx	wall_s	peak_rss_gb	total_wall_s	total_core_s	node_wall_s	node_core_s	tfs_wall_s	tfs_core_s	mem_peak_res_gb	mains	tgm	stm_eval	stm	nu_cands	steiner_kept	clusters	conn_calls	lazy_calls	ncomp_max	conn_max_pairs	conn_max_walked	load_ms	scope_ms	flag_ms	steiner_ms	tgm_ms	stm_ms	fc_ms	protect_ms	refresh_ms	nu_ms	w_trk_ms	w_tag_ms	w_disp_ms	w_stm_ms	done_ms	other_ms	m_load_gb	m_steiner_gb	m_stm_gb	m_protect_gb	m_nu_gb	m_disp_gb	m_done_gb
039252	0	50	1.0	49.651	29.47	28.425	28.308	21.226	1.161	1.315	60	22	38	4	3	60	102	2	0	23	0	0	367.7	83.2	65.8	9247.0	572.6	6886.6	81.4	58.2	446.3	8979.9	180.2	31.6	335.1	58.2	630.8	118.5	0.468	0.723	0.838	0.838	1.036	1.295	1.315
039252	10	97	1.75	96.882	76.687	75.623	75.467	21.259	1.219	1.747	70	15	55	5	5	70	103	1	0	9	0	0	476.0	102.8	84.2	12175.1	979.8	8041.1	93.8	7.2	24.2	51343.1	222.2	33.1	595.9	74.0	830.0	153.3	0.573	0.867	1.039	1.039	1.378	1.739	1.747
039252	11	85	1.74	84.671	64.602	63.494	63.388	21.177	1.213	1.735	71	17	54	4	4	71	102	1	0	13	0	0	493.8	111.7	86.3	15053.3	2160.3	14552.2	92.6	22.8	336.0	28373.6	181.7	30.6	500.1	83.4	833.6	172.1	0.595	1.067	1.141	1.141	1.386	1.714	1.735
039252	12	67	2.16	66.249	64.939	63.95	63.848	2.299	1.091	2.161	91	28	63	7	6	91	133	2	0	18	0	0	696.5	140.3	110.7	26176.4	3137.4	18279.1	154.0	44.1	287.9	12278.8	168.6	28.4	557.9	77.7	1098.8	195.6	0.723	1.459	1.459	1.459	1.814	2.112	2.161
039252	13	42	1.45	41.395	41.151	40.17	40.116	1.225	1.034	1.564	65	13	52	3	3	65	94	0	0	0	0	0	458.5	97.9	88.2	14339.3	1980.0	10193.2	87.9	0.7	2.2	10996.6	178.1	31.9	383.7	70.6	730.5	146.2	0.558	0.938	1.048	1.048	1.22	1.528	1.564
039252	14	112	2.75	112.048	110.74	109.726	109.632	2.322	1.107	2.746	82	23	59	8	7	82	118	1	0	9	0	0	773.7	163.2	131.6	32339.4	4595.7	17746.1	164.8	10.5	116.0	49840.7	217.8	53.4	981.1	110.7	1491.8	230.7	0.856	1.675	1.676	1.676	2.284	2.737	2.746
039252	15	96	2.78	95.509	93.128	92.145	92.001	3.364	1.126	2.777	85	22	63	11	10	85	110	4	0	29	0	0	707.2	137.1	108.8	19388.6	2086.0	25154.9	132.6	95.2	357.8	40474.9	196.2	29.9	1010.6	105.9	1382.2	208.0	0.727	1.153	1.414	1.414	2.337	2.776	2.776
039252	16	124	3.26	123.349	123.046	121.928	121.862	1.421	1.183	3.263	99	25	74	10	9	99	127	6	0	12	0	0	834.8	172.8	142.1	33539.9	3639.3	36564.3	151.3	57.2	442.8	42183.0	233.7	33.6	1141.0	134.2	1717.9	243.0	0.938	1.875	1.875	1.875	2.73	3.25	3.263
039252	17	103	2.8	102.022	99.667	98.604	98.53	3.418	1.137	2.803	82	20	62	9	8	82	109	4	0	7	0	0	696.0	150.7	120.2	20519.9	1679.6	25896.0	143.8	38.9	181.4	45458.9	216.1	32.8	1119.2	129.9	1327.6	210.2	0.785	1.224	1.529	1.529	2.275	2.795	2.803
039252	1	94	2.42	93.01	77.761	76.691	76.562	16.319	1.198	2.42	72	15	57	7	7	72	117	2	0	26	0	0	670.5	132.0	112.5	27437.6	3563.1	18141.2	157.0	201.2	2909.7	20215.2	188.6	30.3	806.8	116.7	1241.3	194.3	0.753	1.493	1.494	1.494	2.05	2.418	2.42
