run	event	wall_s	peak_rss_gb
039252	298567	4.72	0.42
039252	298581	5.72	0.40
039252	298595	5.35	0.38
039252	298609	5.17	0.42
039252	298623	5.71	0.42
039252	298637	5.41	0.41
039252	298651	7.22	0.42
039252	298665	4.95	0.40
039252	298679	5.97	0.42
039252	298693	5.54	0.39
039252	298707	6.50	0.40
039252	298721	4.21	0.42
039252	298735	4.87	0.42
039252	298749	5.15	0.42
039252	298763	4.77	0.42
039252	298777	5.61	0.39
039252	298791	5.32	0.40
039252	298805	4.83	0.41
039253	49686	4.60	0.42
039253	49706	4.82	0.39
039253	49726	6.66	0.36
039253	49746	4.94	0.41
039253	49766	5.82	0.42
039253	49786	6.17	0.41
039253	49806	6.70	0.40
039253	49826	4.47	0.37
039253	49846	4.87	0.42
039253	49866	5.83	0.42
039253	49886	6.16	0.41
039253	49906	4.90	0.42
039253	49926	7.15	0.41
039253	49946	6.33	0.42
039253	49966	5.69	0.42
039253	49986	6.44	0.41
039253	50006	4.79	0.42
039253	50026	6.67	0.37
039349	19409	4.74	0.35
039349	19429	4.69	0.41
039349	19449	6.84	0.36
039349	19469	5.48	0.37
039349	19489	6.36	0.38
039349	19509	5.97	0.41
039349	19529	6.54	0.40
039349	19549	5.16	0.41
039349	19569	5.50	0.39
039349	19589	4.73	0.40
039349	19609	6.29	0.38
039349	19629	5.69	0.34
039349	19649	7.12	0.41
039349	19669	6.99	0.40
039349	19689	6.64	0.39
039349	19709	6.91	0.40
039349	19729	5.23	0.38
039349	19749	6.88	0.35
039349	19769	5.12	0.39
039349	19789	6.32	0.38
039349	19809	4.38	0.38
039349	19829	6.82	0.38
039349	19849	5.24	0.39
039349	19869	6.07	0.39
039349	19889	5.70	0.41
039349	19909	6.54	0.37
039349	19929	5.17	0.40
039349	19949	5.09	0.41
039349	22777	6.78	0.41
039349	22797	4.82	0.41
039349	22817	6.28	0.38
039349	22837	5.89	0.40
039349	22857	6.31	0.37
039349	22877	4.92	0.40
039349	22897	6.87	0.39
039349	22917	5.83	0.40
039349	22937	5.45	0.34
039349	22957	6.34	0.36
039349	22977	5.57	0.33
039349	22997	6.90	0.39
039349	23017	5.87	0.40
039349	23037	5.86	0.41
039349	23057	5.25	0.39
039349	23077	6.49	0.33
039349	23097	6.02	0.37
039349	23117	6.76	0.40
039349	23137	5.86	0.40
039349	23157	6.08	0.40
039349	23177	5.72	0.41
039349	23197	4.86	0.41
039349	23217	5.47	0.35
039349	23237	5.29	0.39
039349	23257	5.81	0.41
039349	23277	5.99	0.39
039349	23297	4.77	0.40
039349	23317	5.45	0.37
039349	55766	4.58	0.40
039349	55786	5.21	0.33
039349	55806	4.60	0.41
039349	55826	5.18	0.37
039349	55846	5.30	0.35
039349	55866	4.48	0.41
039349	55886	5.16	0.33
039349	55906	4.42	0.41
039349	55926	5.08	0.38
039349	55946	4.30	0.32
039349	55966	4.83	0.39
039349	55986	4.74	0.39
039349	56006	4.73	0.40
039349	56026	4.98	0.37
039349	56046	4.38	0.33
039349	56066	5.16	0.32
039349	56086	4.93	0.35
039349	56106	5.65	0.40
039349	56126	4.96	0.36
039349	56146	5.46	0.33
039349	56166	4.76	0.41
039349	56186	5.18	0.35
039349	56206	4.27	0.33
039349	56226	4.27	0.32
039349	56246	5.09	0.36
039349	56266	4.50	0.40
039349	56286	4.13	0.32
039349	56306	4.94	0.39
