run	idx	event	wall_s	peak_rss_gb	ql_took_ms	prefit_ms	xtpc_cull_ms	fit_ms	output_ms	build_bundles_ms	decompose_ms	vis_loop_ms	cand_pts	nflash	ngroups
039252	0	298567	19	0.68	1676	1017.7	155.4	130.4	373.0	634.3	58.1	384.1	1909974	192	108
039252	10	298707	25	0.79	2517	1533.5	405.4	130.3	448.4	1070.6	66.9	749.1	3384168	216	121
039252	11	298721	28	0.79	2246	1541.2	210.1	86.5	409.0	1115.7	67.4	817.7	4678268	240	110
039252	12	298735	45	1.04	2939	2033.7	160.9	227.3	518.0	1490.5	84.6	1123.6	6387461	227	135
039252	13	298749	27	0.75	2297	1590.6	218.4	111.6	377.1	1146.9	71.0	868.8	4593699	221	98
039252	14	298763	57	1.29	4216	3259.7	142.8	197.0	616.6	2615.3	102.5	2205.8	11682942	241	123
039252	15	298777	35	0.95	2953	2011.1	341.3	81.5	519.1	1450.4	83.6	1102.3	6320517	240	124
039252	16	298791	54	1.19	3462	2514.6	158.6	113.5	675.8	1774.5	112.9	1334.2	7639211	213	129
039252	17	298805	41	1.03	3544	2383.3	328.0	201.7	631.8	1814.2	92.5	1398.2	7565481	254	121
039252	1	298581	49	1.03	2874	2040.8	142.7	161.1	530.2	1461.2	91.0	1064.6	6086474	217	123
039252	2	298595	47	0.97	3536	2412.8	481.0	170.4	472.0	1933.4	76.4	1610.0	9487811	231	132
039252	3	298609	30	0.83	2410	1719.4	153.8	107.4	429.6	1278.8	70.4	971.7	5338408	222	115
039252	4	298623	51	1.04	2910	1937.1	221.0	217.4	535.3	1391.9	85.3	1017.2	5731961	211	139
039252	5	298637	74	1.13	3014	2111.6	138.2	136.8	628.4	1471.9	96.5	1055.3	5996741	227	120
039252	6	298651	44	0.92	3182	2456.0	205.6	64.1	456.9	1982.1	74.3	1690.1	9909834	241	122
039252	7	298665	31	0.86	2573	1703.5	263.4	191.1	415.5	1285.9	65.8	991.9	5384040	222	118
039252	8	298679	74	1.21	4035					2543.9	110.3	2124.3	12184970	229	120
039252	9	298693	29	0.83	2403	1573.1	255.3	152.1	423.3	1156.3	65.9	865.7	4690345	218	115
039253	0	49686	26	0.88	2443	1478.1	304.4	242.2	418.4	992.0	70.9	673.2	3783621	220	131
039253	10	49886	21	0.68	1718	1123.5	92.3	119.1	383.3	705.7	63.3	436.7	2008654	177	103
039253	11	49906	59	1.19	3602	2508.6	226.8	273.6	593.8	1894.1	95.0	1478.0	8450081	231	138
039253	12	49926	30	0.82	3054	1983.6	472.7	136.9	461.6	1491.2	68.9	1180.8	6300369	234	116
039253	13	49946	26	0.82	2244	1471.6	212.1	121.3	439.4	1025.5	66.9	700.3	3884178	238	119
039253	14	49966	35	0.98	3035	1981.8	358.7	233.8	460.9	1463.6	77.3	1129.0	6193696	248	137
039253	15	49986	29	0.83	2814	1985.3	244.4	157.8	427.5	1542.0	69.6	1216.8	6595154	245	113
039253	16	50006	17	0.69	1722	945.5	220.0	220.2	337.0	615.6	50.4	388.4	1853691	193	120
039253	17	50026	41	0.98	3226	2387.6	198.7	141.1	498.8	1873.8	78.6	1538.4	9121007	237	127
039253	1	49706	44	1.01	3355	2413.1	257.5	185.8	498.9	1893.1	82.5	1562.8	9075700	226	125
039253	2	49726	50	1.15	3676	2757.7	144.4	248.9	525.9	2222.4	85.1	1849.8	10418147	245	115
039253	3	49746	16	0.59	1404	900.1	137.4	72.1	294.5	588.0	47.0	375.7	1857244	202	97
039253	4	49766	30	0.79	2580	1772.9	243.3	133.8	430.0	1290.2	73.9	960.1	5019014	234	115
039253	5	49786	54	1.13	3820	2714.4	315.9	202.1	587.5	2087.7	97.3	1690.8	9663112	228	131
039253	6	49806	30	0.89	2632	1692.0	269.2	261.4	409.6	1286.7	66.2	992.8	5405263	232	129
039253	7	49826	29	0.78	1946	1329.5	67.2	108.3	441.7	893.3	65.7	592.5	3223722	213	107
039253	8	49846	46	1.07	3778	2600.4	406.4	96.8	674.8	1969.6	98.4	1570.1	8764423	234	112
039253	9	49866	48	1.03	3498	2574.6	190.7	189.7	543.9	1986.8	96.1	1591.2	8366895	213	126
039349	0	19409	24	0.51	1792	1193.0	63.0	172.0	364.2	827.6	61.7	544.0	1695285	166	77
039349	10	19609	32	0.62	1946	1366.8	123.1	112.8	343.4	904.7	66.1	680.2	3573674	167	71
