# Bee set: https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/list/
# in-beam bundle main is cut at the cathode; the raw image continues into the other TPC
# bee_idx	sample	event	label	missing_cm	main_cm	gap2d_cm	angle_deg	beam_t_us	other_half_on	y_cath	z_cath	bee_url
0	mcp2k	398115	nu-candidate	325	117	5.8	2.0	1.86	beam-flash-other-cluster	-81.4	472.7	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/0/
1	mcp2k	237798	nu-candidate	141	251	0.5	4.7	1.57	beam-flash-other-cluster	118.8	106.1	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/1/
2	mcp1k	65289	nu-candidate	88	187	6.3	13.2	1.75	cosmic-flash	157.5	386.5	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/2/
3	mcp2k	493439	nu-candidate	79	36	1.2	1.2	0.99	cosmic-flash	-129.5	193.0	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/3/
4	mcp2k	78242	nu-candidate	74	168	2.1	1.5	1.91	cosmic-flash	18.4	198.2	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/4/
5	mcp1k	65053	nu-candidate	74	46	6.0	1.7	0.73	cosmic-flash	-138.9	47.4	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/5/
6	mcp2k	51128	nu-candidate	54	109	2.7	9.0	1.67	cosmic-flash	196.2	38.8	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/6/
7	mcp2k	317427	nu-candidate	48	287	0.5	6.7	0.91	cosmic-flash	126.7	164.1	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/7/
8	mcp2k	319913	nu-candidate	9	54	3.0	15.6	0.74	cosmic-flash	-111.8	355.6	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/8/
9	mcp2k	167964	TGM	8	226	2.6	6.3	2.03	cosmic-flash	196.3	102.4	https://www.phy.bnl.gov/twister/bee/set/e9a73b53-6124-4db9-841e-0bd831417ba1/event/9/
