idx	ev	subrun	wall_s	maxrss_kb	rc	node_exec_s
0	6501	130	11	1904600	0	nan
1	6505	130	12	1811624	0	nan
2	6512	130	14	1737552	0	nan
3	6520	130	16	1794828	0	nan
4	6528	130	12	1886536	0	nan
5	6529	130	12	1820212	0	nan
6	6532	130	18	2114932	0	nan
7	6536	130	12	1838692	0	nan
8	6545	130	15	1893984	0	nan
9	6550	130	10	1695804	0	nan
10	6570	131	22	2067020	0	nan
11	6588	131	10	1706144	0	nan
12	6604	132	27	2216432	0	nan
13	6606	132	13	1966792	0	nan
14	6612	132	14	2060692	0	nan
15	6642	132	18	2102156	0	nan
16	6650	132	13	2006016	0	nan
17	6711	134	11	1761648	0	nan
18	6748	134	14	1784316	0	nan
19	6775	135	11	1794372	0	nan
20	6786	135	18	1997792	0	nan
21	6804	136	13	1837836	0	nan
22	6805	136	12	1926488	0	nan
23	6806	136	12	2010868	0	nan
24	6821	136	13	1800392	0	nan
25	6822	136	16	2140044	0	nan
26	6837	136	14	2077472	0	nan
27	6844	136	14	1999988	0	nan
28	6852	137	14	1853356	0	nan
29	6867	137	13	1790960	0	nan
30	6874	137	22	2165140	0	nan
31	6878	137	16	1938108	0	nan
32	6887	137	12	1782100	0	nan
33	6888	137	22	2069180	0	nan
34	6898	137	12	1770468	0	nan
