run	idx	event
039252	0	298567
039252	10	298707
039252	11	298721
039252	12	298735
039252	13	298749
039252	14	298763
039252	15	298777
039252	16	298791
039252	17	298805
039252	1	298581
039252	2	298595
039252	3	298609
039252	4	298623
039252	5	298637
039252	6	298651
039252	7	298665
039252	8	298679
039252	9	298693
039253	0	49686
039253	10	49886
039253	11	49906
039253	12	49926
039253	13	49946
039253	14	49966
039253	15	49986
039253	16	50006
039253	17	50026
039253	1	49706
039253	2	49726
039253	3	49746
039253	4	49766
039253	5	49786
039253	6	49806
039253	7	49826
039253	8	49846
039253	9	49866
039349	0	19409
039349	10	19609
039349	11	19629
039349	12	19649
039349	13	19669
039349	14	19689
039349	15	19709
039349	16	19729
039349	17	19749
039349	18	19769
039349	19	19789
039349	1	19429
039349	20	19809
039349	21	19829
039349	22	19849
039349	23	19869
039349	24	19889
039349	25	19909
039349	26	19929
039349	27	19949
039349	28	22777
039349	29	22797
039349	2	19449
039349	30	22817
039349	31	22837
039349	32	22857
039349	33	22877
039349	34	22897
039349	35	22917
039349	36	22937
039349	37	22957
039349	38	22977
039349	39	22997
039349	3	19469
039349	40	23017
039349	41	23037
039349	42	23057
039349	43	23077
039349	44	23097
039349	45	23117
039349	46	23137
039349	47	23157
039349	48	23177
039349	49	23197
039349	4	19489
039349	50	23217
039349	51	23237
039349	52	23257
039349	53	23277
039349	54	23297
039349	55	23317
039349	56	55766
039349	57	55786
039349	58	55806
039349	59	55826
039349	5	19509
039349	60	55846
039349	61	55866
039349	62	55886
039349	63	55906
039349	64	55926
039349	65	55946
039349	66	55966
039349	67	55986
039349	68	56006
039349	69	56026
039349	6	19529
039349	70	56046
039349	71	56066
039349	72	56086
039349	73	56106
039349	74	56126
039349	75	56146
039349	76	56166
039349	77	56186
039349	78	56206
039349	79	56226
039349	7	19549
039349	80	56246
039349	81	56266
039349	82	56286
039349	83	56306
039349	8	19569
039349	9	19589
