# doc pdvd/99 sec 6.4 -- KEY (never shown to a scanner). on=p98vonq prod=p96vprod seed=20260913 n_controls=45; record_verdict = carried record on p98vonq / smx record on p96vprod
scan_id	key	group	arm	vol	status	other	in_prep	record_verdict	record_confidence	record_source
1	039349_77/45	on_only	p98vonq	top	candidate_not_stm	039349_77/48	1	THRU	owner	smx7 (owner, 2026-09-11)
2	039349_20/81	on_only	p98vonq	top	not_candidate	039349_20/76	1			
3	039252_16/44	on_only	p98vonq	bottom	not_candidate	039252_16/45	1			
4	039349_18/10	on_only	p98vonq	bottom	candidate_not_stm	039349_18/10	1	THRU	medium	smx1a
5	039349_82/54	prod_only	p96vprod	top	not_candidate	039349_82/54	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
6	039349_32/48	on_only	p98vonq	top	not_candidate	039349_32/49	1			
7	039349_77/52	prod_only	p96vprod	top	object_merged	039349_77/176	1	MESSY	medium	smx1a
8	039253_10/93	on_only	p98vonq	bottom	not_candidate	039253_10/89	1			
9	039253_1/107	on_only	p98vonq	top	candidate_not_stm	039253_1/105	1	THRU	medium	smx1a
10	039252_17/88	prod_only	p96vprod	top	candidate_not_stm	039252_17/94	1	STM_MICHEL	high	smx1a
11	039349_31/30	on_only	p98vonq	bottom	not_candidate	039349_31/31	1			
12	039253_8/79	on_only	p98vonq	top	not_candidate	039253_8/75	1			
13	039349_22/51	on_only	p98vonq	top	not_candidate	039349_22/47	1			
14	039349_72/40	on_only	p98vonq	top	not_candidate	039349_72/37	1			
15	039349_75/64	on_only	p98vonq	top	not_candidate	039349_75/67	1	STM_ONLY	owner	smx3 (owner, 2026-09-10)
16	039349_5/65	on_only	p98vonq	top	candidate_not_stm	039349_5/65	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
17	039252_5/101	on_only	p98vonq	top	object_lost	039252_5/88	1			
18	039349_70/61	prod_only	p96vprod	top	candidate_not_stm	039349_70/58	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
19	039252_17/95	on_only	p98vonq	top	candidate_not_stm	039252_17/90	1	THRU	medium	smx1a
20	039349_72/39	on_only	p98vonq	top	not_candidate	039349_72/43	1			
21	039253_12/41	prod_only	p96vprod	bottom	not_candidate	039253_12/42	1	STM_ONLY	medium	smx1a
22	039253_15/105	prod_only	p96vprod	bottom	not_candidate	039253_15/107	1	STM_MICHEL	owner	smx4 (owner, 2026-09-10)
23	039252_9/79	on_only	p98vonq	top	not_candidate	039252_9/77	1			
24	039252_8/96	on_only	p98vonq	top	candidate_not_stm	039252_8/82	1	THRU	owner	smx4 (owner, 2026-09-10)
25	039349_71/18	on_only	p98vonq	bottom	not_candidate	039349_71/20	1			
26	039349_18/35	on_only	p98vonq	top	not_candidate	039349_18/44	1			
27	039349_38/35	on_only	p98vonq	bottom	not_candidate	039349_38/34	1			
28	039349_36/63	prod_only	p96vprod	top	candidate_not_stm	039349_36/68	1	STM_MICHEL	high	smx1a
29	039349_50/55	on_only	p98vonq	top	not_candidate	039349_50/52	1			
30	039252_13/69	on_only	p98vonq	top	not_candidate	039252_13/64	1			
31	039349_38/60	prod_only	p96vprod	top	not_candidate	039349_38/59	1	THRU	medium	smx1a
32	039349_66/79	on_only	p98vonq	top	not_candidate	039349_66/75	1			
33	039349_5/54	on_only	p98vonq	top	not_candidate	039349_5/55	1			
34	039253_15/88	on_only	p98vonq	top	not_candidate	039253_15/90	1			
35	039253_9/120	on_only	p98vonq	bottom	object_lost	039253_9/112	1			
36	039349_19/27	on_only	p98vonq	bottom	not_candidate	039349_19/28	1			
37	039253_12/87	on_only	p98vonq	top	not_candidate	039253_12/89	1			
38	039349_75/63	on_only	p98vonq	top	not_candidate	039349_75/63	1			
39	039253_7/34	on_only	p98vonq	bottom	not_candidate	039253_7/30	1	STM_MICHEL	owner	smx3 (owner, 2026-09-10)
40	039252_2/79	prod_only	p96vprod	top	object_merged	039252_2/94	1	STM_MICHEL	owner	smx3 (owner, 2026-09-10)
41	039349_28/38	on_only	p98vonq	top	not_candidate	039349_28/32	1			
42	039349_61/30	prod_only	p96vprod	bottom	not_candidate	039349_61/17	1	STM_ONLY	high	smx1a
