sample	event	arm	segid	source	nseg	npoints	len_cm	ke_mcs	amb	tracklen_cm	ke_range_mcs	ke_range_toolkit	ke_dqdx_toolkit	nsegs14	bad_path	cathode_drop	cathode_mask	nseg_chain	len_chain	ke_range_chain	nseg_bridged	len_bridged
mcp1k	279256	work-d84r3-cens-mcp1k	15005	long_muon_else_pf	3	487	290.6	642.1	0.00345	288.2	657.0	669.3	679.2	20	false	0	0	3	290.6	669.3	0	0
mcp1k	279445	work-d84r3-cens-mcp1k	19001	long_muon_else_pf	1	207	123.8	876.8	0.8212	123.6	300.0	302.0	273.4	9	false	0	0	0	0.0	-1.0	0	0
mcp1k	280466	work-d84r3-cens-mcp1k	15005	long_muon_else_pf	1	163	97.3	272.5	0.5733	97.3	244.6	245.6	285.9	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	280972	work-d84r3-cens-mcp1k	7172	long_muon_else_pf	1	804	483.1	1288.8	0.09901	481.5	1093.6	1107.2	1057.4	33	false	3	4	0	0.0	-1.0	0	0
mcp1k	280994	work-d84r3-cens-mcp1k	18001	long_muon_else_pf	1	202	120.7	291.6	0.3839	119.8	292.0	295.4	319.7	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	281214	work-d84r3-cens-mcp1k	60027	long_muon_else_pf	2	115	67.2	331.7	0.9093	64.6	175.1	181.5	147.0	4	false	0	0	2	67.2	181.5	0	0
mcp1k	281505	work-d84r3-cens-mcp1k	18001	long_muon_else_pf	1	166	98.9	224.6	0.15	98.9	247.9	249.0	226.9	7	false	0	0	0	0.0	-1.0	0	0
mcp1k	281507	work-d84r3-cens-mcp1k	8001	long_muon_else_pf	1	206	122.8	573.9	0.8413	119.8	292.0	299.9	275.0	8	false	0	0	0	0.0	-1.0	0	0
mcp1k	281527	work-d84r3-cens-mcp1k	14002	long_muon_else_pf	1	270	161.8	423.1	0.6052	159.4	375.8	383.4	361.1	11	false	0	0	0	0.0	-1.0	0	0
mcp1k	281595	work-d84r3-cens-mcp1k	20013	long_muon_else_pf	2	218	130.0	875.0	0.8616	128.7	310.9	315.1	274.7	9	false	2	2	2	130.0	315.1	0	0
mcp1k	281837	work-d84r3-cens-mcp1k	13002	long_muon_else_pf	1	202	120.7	984.8	0.9063	120.1	292.6	295.4	270.3	8	false	0	0	0	0.0	-1.0	0	0
