fileidx	file	entry	run	subrun	event
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	0	296	86	1150
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	1	296	86	1154
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	2	296	86	2935
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	3	296	86	7158
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	4	296	86	9621
000	reco1-detsim-g4-filter-gen-0283-a121-ab33-c596_nuecc.root	5	296	86	10992
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	0	300	20	807
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	1	300	20	4427
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	2	300	20	4754
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	3	300	20	6354
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	4	300	20	7096
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	5	300	20	7361
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	6	300	20	9269
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	7	300	20	10603
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	8	300	20	11199
001	reco1-detsim-g4-filter-gen-029d-ec38-866b-9bf4_nuecc.root	9	300	20	11515
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	0	295	70	1855
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	1	295	70	2925
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	2	295	70	4226
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	3	295	70	5418
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	4	295	70	10348
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	5	295	70	10608
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	6	295	70	10953
002	reco1-detsim-g4-filter-gen-06c6-b81a-2236-8bf4_nuecc.root	7	295	70	12474
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	0	293	43	4013
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	1	293	43	5521
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	2	293	43	6406
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	3	293	43	6940
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	4	293	43	8667
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	5	293	43	9787
003	reco1-detsim-g4-filter-gen-0753-1ec2-9ea1-47c5_nuecc.root	6	293	43	10202
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	0	299	79	35
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	1	299	79	434
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	2	299	79	3117
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	3	299	79	3677
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	4	299	79	4148
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	5	299	79	8387
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	6	299	79	8781
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	7	299	79	8931
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	8	299	79	10050
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	9	299	79	10170
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	10	299	79	11098
004	reco1-detsim-g4-filter-gen-099c-0d1f-36c9-4a75_nuecc.root	11	299	79	11396
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	0	298	31	4501
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	1	298	31	4862
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	2	298	31	5572
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	3	298	31	7849
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	4	298	31	8903
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	5	298	31	12070
005	reco1-detsim-g4-filter-gen-0cdc-e8e4-6f23-edd5_nuecc.root	6	298	31	12307
006	reco1-detsim-g4-filter-gen-0d43-aa2e-b8c3-54e0_nuecc.root	0	297	58	1179
006	reco1-detsim-g4-filter-gen-0d43-aa2e-b8c3-54e0_nuecc.root	1	297	58	5522
006	reco1-detsim-g4-filter-gen-0d43-aa2e-b8c3-54e0_nuecc.root	2	297	58	10377
006	reco1-detsim-g4-filter-gen-0d43-aa2e-b8c3-54e0_nuecc.root	3	297	58	11099
006	reco1-detsim-g4-filter-gen-0d43-aa2e-b8c3-54e0_nuecc.root	4	297	58	12226
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	0	295	65	81
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	1	295	65	363
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	2	295	65	728
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	3	295	65	1798
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	4	295	65	2307
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	5	295	65	2538
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	6	295	65	3681
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	7	295	65	5969
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	8	295	65	5981
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	9	295	65	8475
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	10	295	65	8837
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	11	295	65	8930
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	12	295	65	9067
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	13	295	65	10036
007	reco1-detsim-g4-filter-gen-0d8e-6e1b-8d2a-d18d_nuecc.root	14	295	65	10796
008	reco1-detsim-g4-filter-gen-0dc2-5db0-ca0e-a346_nuecc.root	0	291	52	93
008	reco1-detsim-g4-filter-gen-0dc2-5db0-ca0e-a346_nuecc.root	1	291	52	1290
008	reco1-detsim-g4-filter-gen-0dc2-5db0-ca0e-a346_nuecc.root	2	291	52	1981
008	reco1-detsim-g4-filter-gen-0dc2-5db0-ca0e-a346_nuecc.root	3	291	52	2953
