run	subrun	event	row	nu_index	gid	cluster_id	sel_cluster_id	cid_relation	n_act	sel_demoted	sel_fc	sel_length_cm	bundle_has_vetoed	n_vetoed	nu_x	nu_y	nu_z	vertex_default	reco_Enu	numu_score	nue_score	neutrino_type	nt_cosmic	nt_numucc	nt_nc	nt_nue	cosmict_flag	n_truth	t_idx	t_flav	t_mode	t_ccnc	t_Etot	t_Edep	t_T	t_dist_cm	mc_reco_Enu	flash_time_us	flash_pe	flash_tpc	flash_group	has_vertex	vertex_moved_cluster	br_filled	mip_filled	n_act_all_roles	n_companion
291	18	9249	0	0	1000005	9	9	same	1	0	0	37.1	0	0	166.81	-185.77	36.61	0	741.7	1.1560	-15.0000	4	0	1	0	0	0	1	0	nue	DIS	CC	1325.4	477.9	1.577	0.59		1.7085	17098.5	1	1000005	1	0	0	0	7	6
291	18	9497	0	0	0	6	6	same	1	0	1	27.8	0	0	-130.12	-158.55	29.08	0	483.4	1.0005	12.0559	40	0	0	1	1	0	2	1	nue	QE	CC	313.0	293.5	0.8	0.32		0.4033	26658.3	0	0	1	0	1	1	22	21
291	18	12115	0	0	1000004	18	18	same	12	0	1	80.0	0	0	-8.82	-63.18	43.34	0	873.6	0.0182	4.8917	8	0	0	1	0	0	2	1	nue	RES	CC	1140.1	977.5	0.534	3.56		0.6699	7487.0	1	4	1	0	1	1	34	22
291	18	12331	0	0	3	4	4	same	1	0	0	57.3	0	0	-56.37	-147.14	468.94	0	588.3	0.9708	15.6536	36	0	1	0	1	0	2	1	nue	QE	CC	1195.7	450.7	1.532	1.34		1.6677	7085.9	0	3	1	0	1	1	16	15
291	19	562	0	0	1000001	10	10	same	1	0	1	42.3	0	0	122.88	85.65	319.31	0	1113.1	1.0502	-3.6321	4	0	1	0	0	0	3	1	nue	DIS	CC	889.9	831.3	0.546	1.36		0.6797	24010.1	1	1000001	1	0	1	1	38	37
291	19	1655	0	0	1000003	11	11	same	1	0	1	49.9	0	0	132.72	107.84	265.57	0	519.0	1.3472	4.5241	4	0	1	0	0	0	1	0	nue	RES	CC	602.2	448.4	1.375	0.85		1.5103	14559.4	1	1000003	1	0	1	1	16	15
291	19	3596	0	0	1000000	27	27	same	30	1	0	150.0	1	1	181.28	-155.20	131.02	0	1898.4	0.6217	-8.4692	4	0	1	0	0	0	2	1	numu	DIS	CC	4339.7	1894.5	0.252	17.49		0.3861	48118.6	1	1000000	1	0	1	1	31	1
291	19	3596	1	1	0	24	24	same	91	1	1	128.9	1	1	-95.50	-117.49	103.96	0	3828.1	-1.6884	7.8428	40	0	0	1	1	0	2	0	nue	RES	CC	4614.6	4126.8	1.578	1.22		1.7134	105810.4	0	0	1	0	1	1	95	4
291	19	3726	0	0	1000005	12	12	same	1	0	0	50.6	0	0	147.35	186.74	348.62	0	837.8	-0.1082	7.7457	40	0	0	1	1	0	1	0	nue	QE	CC	1332.4	738.3	0.11	0.66		0.2423	18946.6	1	1000005	1	0	1	1	21	20
291	19	4976	0	0	1000000	9	9	same	1	0	0	77.4	0	0	164.34	17.53	383.22	0	1137.5	-0.1311	-15.0000	8	0	0	1	0	0	1	0	nue	MEC	CC	1609.4	1355.3	0.98	38.54		1.1141	62642.8	1	1000000	1	0	0	0	34	33
