run	subrun	event	idx	flav	mode	ccnc	Etot	Edep	T	vx	vy	vz
291	3	3746	0	nue	RES	CC	2163.5	1331.4	0.080	40.3200	18.1900	71.4700
291	3	3746	1	numu	RES	CC	826.5	0.0	0.946	-295.0300	-294.9400	977.0300
291	3	6540	0	nue	RES	CC	1263.5	1093.7	0.617	179.8700	-35.6900	197.8900
291	3	7221	0	numu	QE	CC	497.8	0.0	0.086	579.5200	-586.6500	739.7300
291	3	7221	1	nue	QE	CC	1876.2	897.6	1.335	-199.3800	-128.2900	214.5300
291	3	8498	0	nue	RES	CC	2912.1	1893.9	1.264	33.6000	-123.1500	422.0100
291	3	9313	0	numu	QE	CC	561.7	0.0	0.543	486.5700	-165.3600	303.6300
291	3	9313	1	nue	RES	CC	813.5	668.4	0.527	-41.3500	88.8400	286.0100
291	3	11934	0	nue	RES	CC	1499.0	435.8	0.457	-157.7800	-44.1100	486.3700
291	3	12273	0	numu	MEC	CC	2071.8	26.8	0.606	-10.2500	-43.2600	507.1000
291	3	12273	1	nue	QE	CC	1392.2	1306.4	0.621	-103.6300	-30.7900	331.6000
291	14	761	0	nue	RES	CC	1687.8	1334.2	0.802	-176.5600	160.1100	70.3600
291	14	761	1	numu	RES	CC	1080.9	844.9	0.541	20.0900	48.4200	222.4000
291	14	3143	0	nue	QE	CC	1410.5	704.1	0.716	117.0500	-188.7300	449.7400
291	14	3143	1	numu	DIS	CC	2393.5	0.0	1.400	470.2100	279.9000	1009.9300
291	14	3143	2	numu	COH	CC	1176.0	0.0	0.049	-339.6900	-414.3900	-354.2300
291	14	3812	0	nue	QE	CC	1260.4	1027.6	0.993	-157.1400	21.0500	186.4900
291	14	6248	0	nue	RES	CC	3398.6	3358.7	1.423	-136.1000	-116.4800	23.0900
291	14	10406	0	nue	RES	CC	2069.3	1678.6	1.414	11.9000	-111.9700	292.6100
291	14	11963	0	nue	MEC	CC	1005.3	907.3	0.839	-112.4400	-170.7200	59.6900
291	18	1601	0	nue	QE	CC	1639.1	1448.3	0.335	170.7100	171.2700	298.4000
291	18	2019	0	nue	RES	CC	2367.7	1561.1	0.433	-42.2700	86.3300	375.6400
291	18	2019	1	numu	QE	NC	643.4	0.0	0.976	0.8400	-335.5800	-289.8500
291	18	3179	0	nue	QE	CC	1052.5	1053.7	1.575	170.7700	-151.0800	10.1600
291	18	5657	0	nue	QE	CC	379.1	327.8	1.109	83.6300	-175.4400	209.2500
291	18	5657	1	numu	QE	CC	220.0	0.0	1.403	-502.2700	207.3400	8.5000
291	18	7087	0	nue	MEC	CC	1666.8	1641.2	1.484	-170.1100	84.4800	92.1700
291	18	7098	0	numu	RES	CC	1382.3	0.0	1.188	-144.1900	-412.5600	-209.0900
291	18	7098	1	nue	RES	CC	1990.3	359.6	0.452	70.8600	198.9900	446.1300
291	18	8573	0	nue	QE	CC	1563.4	1514.7	0.615	117.1300	21.7700	121.4400
291	18	9249	0	nue	DIS	CC	1325.4	477.9	1.577	166.2700	-185.6900	36.3800
291	18	9497	0	numu	DIS	CC	1288.4	39.9	0.272	-227.2500	-211.1200	72.6100
291	18	9497	1	nue	QE	CC	313.0	293.5	0.800	-129.9700	-158.4500	28.8200
291	18	12115	0	numu	QE	NC	973.4	0.0	0.445	-30.0000	-140.4100	-376.0500
291	18	12115	1	nue	RES	CC	1140.1	977.5	0.534	-8.4700	-64.7700	40.1800
291	18	12331	0	numu	QE	NC	511.5	0.0	0.242	-701.0600	82.0700	359.5200
291	18	12331	1	nue	QE	CC	1195.7	450.7	1.532	-56.2300	-147.7700	470.1200
291	19	562	0	numu	QE	CC	508.7	29.7	0.428	-91.1300	206.0500	185.8000
291	19	562	1	nue	DIS	CC	889.9	831.3	0.546	124.0500	85.7500	320.0100
291	19	562	2	numu	QE	CC	1028.3	2.8	1.351	115.5200	120.9000	-419.3000
291	19	1056	0	nue	MEC	CC	1297.7	30.3	0.832	-95.7600	137.2000	500.2400
291	19	1655	0	nue	RES	CC	602.2	448.4	1.375	132.9400	108.5000	265.0800
291	19	3596	0	nue	RES	CC	4614.6	4126.8	1.578	-95.8100	-118.6300	104.2500
291	19	3596	1	numu	DIS	CC	4339.7	1894.5	0.252	179.8300	-149.2000	114.6600
291	19	3726	0	nue	QE	CC	1332.4	738.3	0.110	147.2100	186.7000	347.9700
291	19	4976	0	nue	MEC	CC	1609.4	1355.3	0.980	144.2300	9.8500	351.2600
291	19	6515	0	nue	QE	CC	524.1	405.6	1.502	161.5700	-153.9800	27.8000
291	19	6515	1	numu	RES	NC	2793.2	0.0	1.129	-598.5600	-181.5400	1343.7400
291	19	7520	0	nue	QE	CC	764.1	521.2	1.249	155.8100	194.1400	415.6700
291	19	7906	0	numu	RES	CC	1292.5	0.0	1.280	-527.4900	361.0000	248.3500
291	19	7906	1	numu	MEC	CC	475.5	6.1	0.263	88.6500	-206.9100	406.7000
291	19	7906	2	nue	QE	CC	689.2	684.0	1.329	-135.1700	-134.5500	85.1300
