bee_idx	rse	verdict	t0_us	flash_pe	main_len_cm	main_npts	TGM	STM	FC	LM	stmfit	n_bundles	nu_eval	numu_score	Enu_MeV
0	827-27-4	STM	0.366	6384.3	114.4	1293	0	1	0	0	eval	15	0	-	-
1	36-77-17	nu-candidate	1.216	5489.6	69.8	1360	0	0	0	0	eval	16	1	-0.17705446	346.8891
2	966-2-22	STM	0.292	6946.7	89.7	1824	0	1	0	0	eval	13	0	-	-
3	304-6-28	STM	1.430	27833.7	109.0	1884	0	1	0	0	eval	13	0	-	-
4	707-18-12	STM	0.738	15167.9	123.6	3523	0	1	0	0	eval	15	0	-	-
5	146-60-31	STM	1.513	7392.6	100.9	1212	0	1	0	0	eval	16	0	-	-
6	921-29-10	TGM	1.483	2319.9	67.9	170	1	0	0	0	tgm	14	0	-	-
7	658-38-25	TGM	0.449	27867.9	128.1	2140	1	0	0	0	tgm	11	0	-	-
