i	arc_cm	vid	off_cm	role	class	blank	qu	qv	qw	dead_uvw	q_dump	q_rms_ok	in_src	in_base	in_len	in_w	near_onridge_term_cm	stretch	cell_u	cell_v	cell_w	blank_dw	blank_dt	band_u	band_v	band_w
92	-6.30	1228	0.52	terminal	3live	-	36153	23127	23578	000	28271	1	-	-	-	-	0.00		-1	-1	1/1					3
93	-6.01	1226	0.56	interior	3live	-	32060	17902	19786	000	24082	1	path	closely_other	0.30	0.270	0.30		-1	-1	1/1					3
94	-5.02	1219	0.41	interior	3live	-	15377	5670	17368	000	13787	1	connect	closely_other	0.99	0.930	0.30		-1	-1	0/0					1
95	-4.73	1217	0.46	terminal	3live	-	13017	5752	12823	000	11060	1	path	closely_other	0.30	0.290	0.00		-1	-1	1/1					5
96	-4.13	1208	0.42	terminal	3live	-	10537	5179	25008	000	15950	1	connect	closely_other	0.59	0.576	0.00		-1	-1	1/1					5
97	-3.84	1205	0.44	interior	3live	-	12245	6876	20367	000	14283	1	path	closely_other	0.30	0.284	0.30		-1	-1	1/1					5
98	-3.25	1199	0.43	terminal	3live	-	16570	11392	21329	000	16924	1	connect	closely_other	0.59	0.567	0.00		-1	-1	1/1					5
99	-2.65	1189	0.50	interior	3live	-	5488	4434	10050	000	7090	1	path	closely_other	0.59	0.587	0.59		-1	-1	1/1					3
100	-2.01	1183	0.28	interior	3live	-	5320	5819	8526	000	6705	1	connect	closely_other	0.64	0.667	0.39		-1	-1	1/1					2
101	-1.62	1181	0.49	terminal	3live	-	5818	6386	8282	000	6910	1	path	closely_other	0.39	0.403	0.00		-1	-1	1/1					3
102	-0.98	1179	0.30	terminal	3live	-	4325	7174	5350	000	5739	1	connect	closely_other	0.64	0.673	0.00		-1	-1	1/1					3
103	-0.30	1177	0.09	interior	3live	-	24302	23097	18805	000	22194	1	connect	closely_other	0.68	0.674	0.30		-1	-1	1/1					3
104	0.00	1175	0.07	terminal	3live	-	19935	22181	21549	000	21243	1	path	closely_other	0.30	0.274	0.00		-1	-1	1/1					4
105	1.06	1173	0.93	interior	3live	-	19935	6847	578	000	12174	1	path	closely_same	1.06	1.013	0.83		-1	-1	1/1					4
106	16.74	1162	0.77	terminal	1blank	V	6555	0	9214	000	7996	1	connect	ctpc	15.68	17.271	0.00		-1	-1	1/1					4
107	17.52	1163	0.04	interior	3live	-	6555	2245	5194	000	5000	1	connect	closely_same	0.78	0.814	0.30		-1	-1	1/1					4
108	17.82	1161	0.00	terminal	3live	-	12403	7132	7394	000	9298	1	path	closely_other	0.30	0.310	0.00		-1	-1	1/1					4
109	18.12	1159	0.03	interior	3live	-	10783	4204	7810	000	8061	1	path	closely_other	0.30	0.300	0.30		-1	-1	1/1					3
110	18.71	1155	0.10	terminal	1blank	V	7840	0	8367	000	8108	1	connect	closely_other	0.59	0.606	0.00		-1	-1	1/1					2
111	19.30	1153	0.21	interior	1blank	V	8338	0	9965	000	9188	1	path	closely_other	0.59	0.601	0.59		-1	-1	1/1					3
112	19.90	1150	0.26	interior	1blank	V	11375	0	13565	000	12518	1	path	closely_other	0.59	0.590	1.19		-1	-1	1/1					3
113	20.78	1151	1.01	interior	2blank+	UV	0	0	13565	000	0	1	connect	closely_same	0.88	0.962	1.45	S0	-1	-1	1/1					3
