det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_0	34	0	279	281	3	2.13	2.63	-310.1	12.6	134.0	1.36	1.11	1	GAP-dead	0	0.80	0.00	0.80	1.00	0.00	0.00	0.00	0.00	2blank+:i/1dead:i/1dead:i	0			
pdvd	039252_0	83	0	3565	3567	3	3.18	3.74	274.5	-309.8	298.1	2.36	0.15	3	GAP-live	0	0.43	0.00	0.43	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3901	3908	8	5.03	5.45	335.5	-66.3	183.7	4.85	3.47	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/1dead:i/2blank+:i/2blank+:i/1blank:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3910	3912	3	1.74	2.32	331.7	-67.3	183.6	1.69	2.12	2	GAP-short	0	0.60	0.00	0.60	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3917	3918	2	1.21	1.24	330.0	-69.7	183.4	1.97	3.04	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:t	0			
pdvd	039252_0	98	0	3920	3923	4	3.00	3.54	327.9	-68.5	183.1	1.45	2.55	2	D-blank-term	1	0.86	0.00	0.86	0.00	0.00	0.00	0.00	0.00	3live:t/2blank+:i/2blank+:i/1dead:i/1dead:t/1blank:t	0	6.10		
pdvd	039252_0	98	0	3944	3948	5	3.16	3.78	315.5	-65.6	182.4	1.91	3.08	1	GAP-dead	0	0.75	0.00	0.75	0.80	0.00	0.00	0.00	0.00	1dead:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	4058	4059	2	1.25	1.79	248.1	-70.6	177.5	1.81	0.86	1	GAP-short	0	0.50	0.00	0.50	0.00	0.00	0.00	0.00	0.00	2blank+:i/1blank:i/1blank:i	0			
pdvd	039252_0	98	0	4071	4076	6	3.85	4.31	239.0	-71.8	176.5	2.37	1.11	2	GAP-live	0	0.44	0.00	0.44	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/1blank:i	0			
pdvd	039252_1	36	0	580	583	4	2.78	3.11	-139.4	-315.8	255.6	1.02	1.35	1	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i	0	2.86		
pdvd	039252_1	36	0	841	843	3	1.88	3.01	-80.5	-326.9	109.7	2.37	1.65	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_1	36	1	864	866	3	2.51	3.14	-80.4	-326.9	109.7	2.44	2.04	2	GAP-live	0	0.33	0.00	0.33	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_1	36	1	1130	1134	5	2.84	3.21	-138.9	-315.3	254.8	1.00	1.64	1	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:t/1blank:i/1blank:i	0	1.69		
