arm	plane	metric	median	q25	q75	n
d44ref	U	B_foot	-0.2275	-0.3057	-0.1503	585
d44sig	U	B_foot	-0.1659	-0.2298	-0.1124	592
d44sigb	U	B_foot	-0.1725	-0.236075	-0.1214	600
d44sign6	U	B_foot	-0.18065	-0.24755	-0.13025	562
d44ref	U	U_foot	0.363	0.286	0.4656	585
d44sig	U	U_foot	0.31295	0.2568	0.41095	592
d44sigb	U	U_foot	0.33725	0.283275	0.421725	600
d44sign6	U	U_foot	0.33375	0.2764	0.430075	562
d44ref	U	chi2N_foot	9.562	6.513	15.581	585
d44sig	U	chi2N_foot	7.9395	5.1955	14.0533	592
d44sigb	U	chi2N_foot	8.79	5.9245	14.9093	600
d44sign6	U	chi2N_foot	8.7355	5.844	15.2372	562
d44ref	U	pull_rms	2.181	1.734	3.068	585
d44sig	U	pull_rms	1.856	1.44275	2.67425	592
d44sigb	U	pull_rms	2.2435	1.74525	3.16525	600
d44sign6	U	pull_rms	1.9575	1.52	2.75575	562
d44ref	U	pull_tail3	0.275	0.1963	0.4037	585
d44sig	U	pull_tail3	0.1946	0.1284	0.326525	592
d44sigb	U	pull_tail3	0.23885	0.15535	0.37155	600
d44sign6	U	pull_tail3	0.2214	0.148525	0.347375	562
d44ref	U	uncov_foot	0.0362	0.0137	0.0801	585
d44sig	U	uncov_foot	0.0006	0	0.003925	592
d44sigb	U	uncov_foot	0	0	0.0007	600
d44sign6	U	uncov_foot	0	0	0.0007	562
d44ref	U	f_off	0.3427	0.2156	0.5058	585
d44sig	U	f_off	0.34195	0.213125	0.515725	592
d44sigb	U	f_off	0.34565	0.208075	0.51605	600
d44sign6	U	f_off	0.34565	0.212925	0.5148	562
d44ref	U	f_off_far	0.2243	0.0942	0.4461	585
d44sig	U	f_off_far	0.21905	0.088225	0.45845	592
d44sigb	U	f_off_far	0.2221	0.09025	0.45845	600
d44sign6	U	f_off_far	0.22025	0.093975	0.4512	562
d44ref	U	B_foot_pooled	-0.219607	nan	nan	585
d44ref	U	U_foot_pooled	0.350465	nan	nan	585
d44ref	U	B_cheb2	-0.2262	nan	nan	0
d44ref	U	U_cheb2	0.356	nan	nan	0
d44sig	U	B_foot_pooled	-0.168334	nan	nan	592
d44sig	U	U_foot_pooled	0.325645	nan	nan	592
d44sig	U	B_cheb2	-0.1856	nan	nan	0
d44sig	U	U_cheb2	0.3358	nan	nan	0
d44sigb	U	B_foot_pooled	-0.174397	nan	nan	600
d44sigb	U	U_foot_pooled	0.34346	nan	nan	600
d44sigb	U	B_cheb2	-0.1936	nan	nan	0
