plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1
U	0.593158	0.522843	0.364078	0.373481	0.580545	0.393365	0.0167811	0.00930939	0.541396	0.43385	0.0246044	0.000149837	0.694391	0.305174	0.000435133	0	0.584227	0.402763	0.0129864	2.40367e-05	0.0966164	0.0261602	0.227692	0.00133629	0.00308008
V	0.531487	0.530132	0.427929	0.207813	0.581817	0.397075	0.0173807	0.0037274	0.582349	0.404337	0.0132883	2.55181e-05	0.653307	0.343998	0.00269508	0	0.583219	0.403657	0.0130995	2.44754e-05	0.0155886	0.0159684	0.142979	0.00779428	0.0192767
W	0.370402	0.317179	0.315409	0.340866	0.708739	0.263305	0.0147254	0.0132311	0.69075	0.308088	0.00116192	1.27927e-08	0.73216	0.26784	0	0	0.729881	0.269856	0.000262833	7.91088e-11	0.0895663	0.0553873	0.055913	0.0267946	0.0869706
