workdir	cluster	raw	stm	tf	nseg	win	cov	d50	ghost	gap50	drop
039252_0_d45prod	35	1901	473	514	3	3	0.9809725158562368	0.20173358669294594	0.009727626459143969	0.5997351415416661	21/524
039252_0_d45prod	74	39	5	0	0	0	0.0	nan	nan	nan	
039252_0_d45prod	75	2133	507	577	3	3	0.9783037475345168	0.21907005728762058	0.0	0.5997541913150761	
039252_0_d45prod	76	2469	575	621	2	2	0.9843478260869565	0.18438806902834398	0.00322061191626409	0.5997891379476616	1/625
039252_0_d45prod	77	730	198	215	1	1	1.0	0.19641847039396543	0.0	0.5997216020788474	
039252_0_d45prod	82	655	171	201	3	3	0.9824561403508771	0.18913751610930785	0.004975124378109453	0.5997107636186205	4/195
039252_10_d45prod	73	2356	557	612	5	5	0.9838420107719928	0.18933039903831614	0.0	0.5997491142136112	1/595
039252_10_d45prod	103	956	209	226	1	1	1.0	0.16775863614132916	0.0	0.5999126936480007	12/234
039252_12_d45prod	44	1016	238	267	2	2	0.9789915966386554	0.2068535768436064	0.0149812734082397	0.5998350630798506	
039252_12_d45prod	45	613	138	147	1	1	0.9710144927536232	0.17920194476667667	0.0	0.5997994498163333	
039252_12_d45prod	88	152	74	76	1	1	0.8513513513513513	0.31416373704958245	0.0	0.5998687564538032	
039252_12_d45prod	90	773	198	216	1	1	1.0	0.18678947234552112	0.0	0.5998851598262667	
039252_12_d45prod	95	1114	242	334	6	5	0.9380165289256198	0.19122516485094604	0.05389221556886228	0.5997840194579624	
039252_12_d45prod	114	1051	92	132	4	4	0.9021739130434783	0.29221655665176005	0.0	0.5996294689209688	
039252_12_d45prod	123	1567	409	457	4	4	0.9975550122249389	0.22117027377114468	0.0	0.5997721984220545	1/452
039252_12_d45prod	130	2475	1158	1043	12	12	0.8160621761658031	0.27951926116041304	0.21860019175455417	0.5998536821592405	223/1253
039252_13_d45prod	66	403	241	414	12	12	0.5809128630705395	0.7760747386688778	0.34299516908212563	0.5997332823847641	51/398
039252_13_d45prod	74	51	338	139	2	2	0.08284023668639054	8.793285016797537	0.5611510791366906	0.5997616193122194	233/345
039252_13_d45prod	91	4066	1154	1236	12	11	0.962738301559792	0.22033882939702498	0.07281553398058252	0.5998462803085419	59/1323
039252_14_d45prod	37	764	173	188	2	2	0.9826589595375722	0.2135743430283416	0.0	0.5996803523533105	
039252_14_d45prod	62	84	75	101	1	1	1.0	0.31960757187525696	0.09900990099009901	0.5996115409162963	
039252_14_d45prod	64	99	137	146	6	6	0.291970802919708	14.768971483823782	0.3219178082191781	0.5998953033595614	3/177
039252_14_d45prod	81	713	177	192	2	2	0.9943502824858758	0.1969162258423762	0.0	0.5997949649301058	
039252_14_d45prod	84	778	250	277	1	1	1.0	0.20876298495348333	0.15162454873646208	0.5996865848091105	
039252_14_d45prod	117	727	209	196	3	3	0.8803827751196173	0.24147109557877378	0.01020408163265306	0.5999129353497864	40/227
039252_15_d45prod	32	213	51	80	4	4	1.0	0.2717222846952143	0.0	0.5995648421980907	
039252_15_d45prod	77	718	168	187	1	1	0.9940476190476191	0.19141967713207964	0.0	0.5996440610895597	
039252_15_d45prod	81	3087	322	383	3	3	0.6739130434782609	0.3951298447427496	0.0	0.5999125602952468	5/384
039252_15_d45prod	82	375	49	72	2	2	1.0	0.2885806890628732	0.0	0.5999357018780664	
039252_15_d45prod	91	1215	299	321	2	2	1.0	0.18462123388173096	0.0	0.5997115973532866	
039252_16_d45prod	32	805	207	248	3	3	0.9855072463768116	0.20228284751801978	0.03225806451612903	0.5999467309686833	
039252_16_d45prod	33	1036	218	369	7	7	0.9770642201834863	0.2643636519143008	0.037940379403794036	0.5996574021889333	6/370
039252_16_d45prod	40	518	111	127	2	2	1.0	0.17121650037306552	0.0	0.5999824830776341	
039252_16_d45prod	88	1832	478	514	2	2	0.9728033472803347	0.2089060246722239	0.0	0.5997741241500719	18/529
039252_16_d45prod	98	305	48	88	6	6	0.7916666666666666	0.26613945725315746	0.0	0.5994138803865062	1/74
039252_16_d45prod	110	1043	248	270	2	2	0.9798387096774194	0.19138457869989559	0.0	0.5997205015671228	1/271
039252_17_d45prod	80	2772	225	362	9	9	0.9688888888888889	0.33482682090896293	0.0	0.5996040360104216	2/361
039252_17_d45prod	88	596	109	0	0	0	0.0	nan	nan	nan	
039252_17_d45prod	90	5213	311	473	7	7	0.617363344051447	0.5242261344115029	0.004228329809725159	0.5997082624076295	8/513
039252_17_d45prod	91	223	47	49	2	2	0.9361702127659575	0.23913487825908855	0.0	0.5996865848091077	
039252_17_d45prod	104	1215	302	476	7	7	0.9834437086092715	0.20170201498748916	0.11134453781512606	0.5996490848536289	629/1157
039252_1_d45prod	30	1027	231	253	3	3	0.9307359307359307	0.21496374112859207	0.0	0.5998430211313679	
039252_1_d45prod	36	2001	700	425	9	9	0.9428571428571428	0.25974070693727147	0.018823529411764704	0.5997009337994991	3/394
039252_1_d45prod	109	3168	838	924	8	8	0.9844868735083532	0.20310436569661083	0.0	0.5997741241500932	58/981
039252_2_d45prod	39	304	64	95	4	4	0.921875	0.2116106721468317	0.0	0.5995815207292473	
039252_2_d45prod	55	336	69	89	3	3	1.0	0.2030326328450555	0.0	0.5996222227369722	
039252_2_d45prod	79	331	211	260	1	1	0.8909952606635071	0.2969090769916304	0.49615384615384617	0.5998112203017182	
039252_2_d45prod	83	289	49	74	2	2	0.9387755102040817	0.17609383862016884	0.0	0.5997206766486922	
039252_2_d45prod	86	577	109	152	3	3	0.981651376146789	0.20088056152849096	0.0	0.5997275880788694	
039252_2_d45prod	103	940	145	152	2	2	0.9172413793103448	0.2749640885643107	0.0	0.5998649723044229	
039252_2_d45prod	109	938	239	265	4	3	0.9832635983263598	0.19281078807992422	0.0	0.5997282718031517	1/261
039252_2_d45prod	113	1187	114	225	4	4	0.2894736842105263	1.848605724873921	0.0	0.5995915276252842	
039252_3_d45prod	40	1852	414	471	4	4	0.9927536231884058	0.1712556430969326	0.0	0.5997774587295114	1/447
039252_3_d45prod	45	190	44	40	1	1	0.75	0.37297197574839114	0.0	0.599609455961591	
039252_3_d45prod	68	1682	349	402	4	4	0.997134670487106	0.20241353709670493	0.0	0.5997132648191282	
039252_3_d45prod	74	1425	154	594	25	25	0.7792207792207793	0.2925209386411358	0.006734006734006734	0.5994614249474001	2/479
039252_3_d45prod	75	186	51	56	1	1	1.0	0.20241551323947293	0.0	0.5997249036016573	
039252_3_d45prod	90	187	146	245	8	8	0.547945205479452	0.9169133902529722	0.42448979591836733	0.599687285174524	
039252_4_d45prod	55	868	473	266	4	4	0.9788583509513742	0.22578972518698323	0.0	0.5997049274434706	4/276
039252_5_d45prod	69	23	288	111	3	3	0.21180555555555555	12.874673343043293	0.5585585585585585	0.5996972652931183	228/304
039252_5_d45prod	73	562	105	157	6	6	0.7428571428571429	0.6436743975023329	0.0	0.5998885313122815	
039252_6_d45prod	26	1928	386	432	6	6	0.9870466321243523	0.18829178596307122	0.0	0.5997108178086609	16/458
039252_6_d45prod	88	138	117	139	3	3	0.49572649572649574	1.022076807289981	0.007194244604316547	0.5996048698935136	5/169
039252_6_d45prod	90	271	101	110	1	1	1.0	0.21027600909279334	0.0	0.5997374424695443	
039252_6_d45prod	98	444	117	138	5	5	0.9572649572649573	0.22718529882014513	0.0	0.5996597034985902	
039252_6_d45prod	100	489	160	177	2	2	1.0	0.19066480686001241	0.0	0.5997789259385635	
