sample	plane	kind	n	d+0	d+1	d+2	d+3	d-1	d-2	d-3	q0_med	q0_over_thresh	thresh_med
data (PDVD)	U	P	1178	0.95756	0.51613	0.20204	0.036503	0.63667	0.27929	0.057725			
data (PDVD)	V	P	1024	0.72656	0.31348	0.14062	0.020508	0.75488	0.46094	0.14258			
data (PDVD)	W	P	584	0.9726	0.5976	0.18836	0.02911	0.86473	0.38527	0.065068			
S1	U	P	7152	1	0.50042	0.14653	0	0.46379	0.16779	0.0047539			
S1	V	P	7059	1	0.4808	0.1554	0	0.4723	0.15795	0.00056665			
S1	W	P	7774	1	0.73733	0.26048	0	0.69205	0.35452	0			
S1n05	U	P	7568	1	0.48837	0.15314	0.044133	0.48428	0.25396	0.067257			
S1n05	V	P	7489	1	0.46882	0.15035	0.012952	0.49286	0.22727	0.040593			
S1n05	W	P	7761	1	0.69025	0.20783	0	0.62878	0.36516	0			
S1n2	U	P	6962	1	0.58848	0.16504	0.0017236	0.54711	0.17768	0.0018673			
S1n2	V	P	6876	1	0.57912	0.17263	0.0014543	0.56195	0.15663	0.0008726			
S1n2	W	P	7781	1	0.78268	0.26153	0	0.74618	0.31011	0			
data (PDVD)	U	E	1178	1	0.24903	0.079483	0.26885	0.34009	0.21418	0.13986			
data (PDVD)	V	E	1024	1	0.2583	0.053012	0.48116	0.43103	0.6778	0.13502			
data (PDVD)	W	E	584	1	0.23733	0.073877	0.25442	0.20478	0.10315	0.25674			
S1	U	E	7152	1	0.23682	0.014564	0	0.24286	0.015526	0.026841			
S1	V	E	7059	1	0.24668	0.014699	0	0.23622	0.014889	0.058111			
S1	W	E	7774	1	0.18032	0.0083813	0	0.18771	0.010921	0			
S1n05	U	E	7568	1	0.23291	0.029162	0.080803	0.23034	0.029824	0.05601			
S1n05	V	E	7489	1	0.24174	0.014499	0.045915	0.22427	0.019308	0.041445			
S1n05	W	E	7761	1	0.19142	0.0038494	0	0.2065	0.0054217	0			
S1n2	U	E	6962	1	0.22184	0.031206	0.068607	0.22464	0.033198	0.079795			
S1n2	V	E	6876	1	0.22623	0.035089	0.097159	0.22012	0.032343	0.13287			
S1n2	W	E	7781	1	0.17335	0.018335	0	0.17819	0.022	0			
S1 (drift-matched)	U	P_matched	7152	1	0.49847	0.14602	0	0.4613	0.16804	0.0049919			
S1n05 (drift-matched)	U	P_matched	7568	1	0.48479	0.15162	0.042328	0.47806	0.25929	0.072106			
S1n2 (drift-matched)	U	P_matched	6962	1	0.58436	0.16525	0.0021392	0.54337	0.17869	0.0011972			
S1 (drift-matched)	V	P_matched	7059	1	0.47879	0.15464	0	0.46614	0.15819	0.00086336			
S1n05 (drift-matched)	V	P_matched	7489	1	0.46574	0.15401	0.01764	0.48689	0.22601	0.037698			
S1n2 (drift-matched)	V	P_matched	6876	1	0.57587	0.16887	0.0021948	0.5565	0.15913	0.0010989			
S1 (drift-matched)	W	P_matched	7254	1	0.67412	0.24018	0	0.60684	0.33113	0			
S1n05 (drift-matched)	W	P_matched	7241	1	0.61224	0.1839	0	0.52849	0.35293	0			
S1n2 (drift-matched)	W	P_matched	7261	1	0.74204	0.2487	0	0.69321	0.29301	0			
data (PDVD)	U	thresh	1128								15094	67.822	220.93
data (PDVD)	V	thresh	744								16274	80.189	210.04
data (PDVD)	W	thresh	568								15008	103.34	145.21
S1	U	thresh	7152								15220	101.08	149.84
S1	V	thresh	7059								15118	98.464	156.37
S1	W	thresh	7774								13588	166.84	81.499
S1n05	U	thresh	7568								15727	224.37	69.983
S1n05	V	thresh	7489								15629	219.78	72.192
S1n05	W	thresh	7761								13602	320.95	42.724
S1n2	U	thresh	6962								14930	49.185	310.51
S1n2	V	thresh	6876								14858	47.987	316.54
S1n2	W	thresh	7781								13525	83.601	161.56
