label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
all	rms	U	-1.18279	2.2009	2.58683	0.0647125	6.69169	0.334801	4.60884	4	8.8	0	-1.18279e-07	2.58683
all	share	U	7.21884	1.06256	1.5787	0.0436125	2.4923	0.137702	2.50475	4	8.8	0	7.21884e-07	1.5787
all	truth	U	-0.783626	2.23806	2.59559	0.0652634	6.73711	0.338795	4.44203	4	8.8	0	-7.83626e-08	2.59559
all	rms	V	7.54857	2.82691	2.56007	0.0691814	6.55397	0.354219	1.53432	4	8.8	0	7.54857e-07	2.56007
all	share	V	10.36	1.1287	1.52499	0.0457974	2.32559	0.139681	1.12815	4	8.8	0	1.036e-06	1.52499
all	truth	V	7.5279	2.8951	2.60079	0.0696342	6.7641	0.362208	1.58835	4	8.8	0	7.5279e-07	2.60079
all	rms	W	6.98537	0.431885	0.624059	0.0394495	0.38945	0.0492377	1.27113	4	8.8	0	6.98537e-07	0.624059
all	share	W	7.86544	0.359864	0.511228	0.0322503	0.261354	0.0329744	0.0989673	4	8.8	0	7.86544e-07	0.511228
all	truth	W	6.85938	0.442051	0.640193	0.0400376	0.409847	0.0512636	1.91618	4	8.8	0	6.85938e-07	0.640193
all	rms	U(joint)	6.70154	0.419118	2.37786	0.037175	5.6542	0.176793	20.769	14	8.8	0	6.70154e-07	2.37786
all	rms	V(joint)	6.70154	0.419118	2.57727	0.0390094	6.64232	0.201075	20.769	14	8.8	0	6.70154e-07	2.57727
all	rms	W(joint)	6.70154	0.419118	0.646113	0.0372622	0.417462	0.0481511	20.769	14	8.8	0	6.70154e-07	0.646113
all	share	U(joint)	8.01294	0.326293	1.55012	0.0249765	2.40288	0.0774334	8.7824	14	8.8	0	8.01294e-07	1.55012
all	share	V(joint)	8.01294	0.326293	1.6032	0.0257672	2.57024	0.0826199	8.7824	14	8.8	0	8.01294e-07	1.6032
all	share	W(joint)	8.01294	0.326293	0.500393	0.0309614	0.250393	0.0309857	8.7824	14	8.8	0	8.01294e-07	0.500393
all	truth	U(joint)	6.59338	0.428887	2.40299	0.0375711	5.77437	0.180566	19.2775	14	8.8	0	6.59338e-07	2.40299
all	truth	V(joint)	6.59338	0.428887	2.61931	0.0397949	6.86077	0.20847	19.2775	14	8.8	0	6.59338e-07	2.61931
all	truth	W(joint)	6.59338	0.428887	0.660856	0.0379118	0.43673	0.0501084	19.2775	14	8.8	0	6.59338e-07	0.660856
