plane	rms_sr_pitch	rms_sr_mm	rms_boxcar	sig_diff_pitch	rms_boxcar_diff	excess_over_boxcar_diff_pitch	excess_mm	t_mean_us	n_prof
U	0.927908	4.33249	0.288675	0.293338	0.411559	0.831644	3.88303	1143.59	10620
V	1.05336	4.91825	0.288675	0.292899	0.411246	0.969767	4.52793	1140.16	10620
W	0.367615	1.76143	0.288675	0.285299	0.405868	0	0	1139.23	10620
