plane	rms_sr_pitch	rms_sr_mm	rms_boxcar	sig_diff_pitch	rms_boxcar_diff	excess_over_boxcar_diff_pitch	excess_mm	t_mean_us	n_prof
U	0.416776	1.94597	0.288675	0.295451	0.413067	0.055476	0.259023	1160.12	10391
V	0.416753	1.94586	0.288675	0.295507	0.413107	0.0550028	0.256813	1160.55	10387
W	0.412365	1.97585	0.288675	0.287449	0.407382	0.0639134	0.306241	1156.46	10429
