spot	cl	arm	stm_nearest_cm	n_win	ridge_med	ridge_max	steiner_med	reg_any	reg_v	lattice_lock	bee_q_le0	dqdx_med_ke	max_step_cm	pr_nearest_cm	pr_rows_win	pr_segments_win	pr_bee_zero_win	angle_to_drift_deg	img_inslice_nn_med	steiner_inslice_nn_med	stm_onq_pu	pr_onq_pu	steiner_onq_pu	steiner_proj_ok_pu	stm_onq_pv	pr_onq_pv	steiner_onq_pv	steiner_proj_ok_pv	stm_onq_pw	pr_onq_pw	steiner_onq_pw	steiner_proj_ok_pw	frame_from
pdvd_iso_off	57	039253_8_d101vnew	0.42	39	nan	nan	nan	1.0	0.74	0.0	39	-0.7	0.88	nan	0	0	0	89.4	nan	nan	1.0	nan	nan	0/0	0.11	nan	nan	0/0	0.0	nan	nan	0/0	stm_fit
pdvd_iso_off	57	039253_8_d101vkf	0.05	37	nan	nan	nan	1.0	0.78	0.0	37	0.8	0.93	nan	0	0	0	89.4	nan	nan	1.0	nan	nan	0/0	0.09	nan	nan	0/0	0.0	nan	nan	0/0	stm_fit
