label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	rms	U	0	337.79	1164	2.14402e+07	2.94935	1.93986	0.731178	3.72842	0.210338	5.47022	0.0614913	0	0.814408	3.10202
all	rms	U	1	689.109	1158	2.14427e+07	3.03574	2.24504	1.04434	4.20543	0.210272	5.26613	0.0614913	0	0.805766	3.14999
all	rms	U	2	1012.81	1148	2.14518e+07	3.12922	2.43842	1.26609	4.75567	0.244359	5.44913	0.0614913	0	0.794993	3.23406
all	rms	U	3	1337.54	1158	2.14401e+07	3.14132	2.59207	1.45497	4.82931	0.241466	5.26601	0.0614913	0	0.786935	3.22823
all	rms	U	4	1649.19	1153	2.14354e+07	3.26001	2.71646	1.6156	5.57788	0.278894	5.85866	0.0614913	0	0.777959	3.34111
all	rms	U	5	1958.64	1181	2.14644e+07	3.31338	2.82502	1.76066	5.92888	0.604835	6.0977	0.0614913	0	0.77368	3.38658
all	share	U	0	337.79	1164	2.14402e+07	2.94935	1.93986	0.731178	2.71475	0.135737	5.47022	0.0614913	0	0.814408	3.10202
all	share	U	1	689.109	1158	2.14427e+07	3.03574	2.24504	1.04434	3.00583	0.150292	5.26613	0.0614913	0	0.805766	3.14999
all	share	U	2	1012.81	1148	2.14518e+07	3.12922	2.43842	1.26609	3.38991	0.169496	5.44913	0.0614913	0	0.794993	3.23406
all	share	U	3	1337.54	1158	2.14401e+07	3.14132	2.59207	1.45497	3.69255	0.184627	5.26601	0.0614913	0	0.786935	3.22823
all	share	U	4	1649.19	1153	2.14354e+07	3.26001	2.71646	1.6156	4.04524	0.202262	5.85866	0.0614913	0	0.777959	3.34111
all	share	U	5	1958.64	1181	2.14644e+07	3.31338	2.82502	1.76066	4.21914	0.210957	6.0977	0.0614913	0	0.77368	3.38658
all	truth	U	0	337.79	1164	2.14402e+07	2.94935	1.93986	0.731178	4.46163	0.242243	5.47022	0.0614913	0	0.814408	3.10202
all	truth	U	1	689.109	1158	2.14427e+07	3.03574	2.24504	1.04434	4.77516	0.238758	5.26613	0.0614913	0	0.805766	3.14999
all	truth	U	2	1012.81	1148	2.14518e+07	3.12922	2.43842	1.26609	5.33542	0.302304	5.44913	0.0614913	0	0.794993	3.23406
all	truth	U	3	1337.54	1158	2.14401e+07	3.14132	2.59207	1.45497	5.2961	0.264805	5.26601	0.0614913	0	0.786935	3.22823
all	truth	U	4	1649.19	1153	2.14354e+07	3.26001	2.71646	1.6156	6.068	0.3034	5.85866	0.0614913	0	0.777959	3.34111
all	truth	U	5	1958.64	1181	2.14644e+07	3.31338	2.82502	1.76066	6.3856	0.649964	6.0977	0.0614913	0	0.77368	3.38658
all	rms	V	0	334.484	1136	2.09729e+07	3.028	1.93609	0.727591	4.16147	0.248405	5.94977	0.0614914	0	0.811924	3.17908
all	rms	V	1	668.335	1136	2.09947e+07	3.07283	2.23058	1.02848	4.41975	0.220987	5.5246	0.0614914	0	0.801004	3.20823
all	rms	V	2	1002.84	1125	2.09843e+07	3.20009	2.43317	1.25984	5.19418	0.447597	5.90747	0.0614913	0	0.787759	3.30547
all	rms	V	3	1326.16	1182	2.0973e+07	3.13738	2.58716	1.44876	4.80528	0.287561	5.24868	0.0614913	0	0.793408	3.24376
all	rms	V	4	1655.15	1143	2.09895e+07	3.22054	2.71868	1.61852	5.32384	0.266192	5.6003	0.0614913	0	0.77957	3.30633
all	rms	V	5	1965	1154	2.09944e+07	3.188	2.82713	1.76352	5.11811	0.255905	5.28067	0.0614914	0	0.775461	3.26058
all	share	V	0	334.484	1136	2.09729e+07	3.028	1.93609	0.727591	2.79689	0.139844	5.94977	0.0614914	0	0.811924	3.17908
all	share	V	1	668.335	1136	2.09947e+07	3.07283	2.23058	1.02848	3.17271	0.158635	5.5246	0.0614914	0	0.801004	3.20823
all	share	V	2	1002.84	1125	2.09843e+07	3.20009	2.43317	1.25984	3.661	0.18305	5.90747	0.0614913	0	0.787759	3.30547
all	share	V	3	1326.16	1182	2.0973e+07	3.13738	2.58716	1.44876	3.44838	0.172419	5.24868	0.0614913	0	0.793408	3.24376
all	share	V	4	1655.15	1143	2.09895e+07	3.22054	2.71868	1.61852	3.98073	0.199037	5.6003	0.0614913	0	0.77957	3.30633
all	share	V	5	1965	1154	2.09944e+07	3.188	2.82713	1.76352	4.14628	0.207314	5.28067	0.0614914	0	0.775461	3.26058
all	truth	V	0	334.484	1136	2.09729e+07	3.028	1.93609	0.727591	4.96751	0.275022	5.94977	0.0614914	0	0.811924	3.17908
all	truth	V	1	668.335	1136	2.09947e+07	3.07283	2.23058	1.02848	5.16182	0.258091	5.5246	0.0614914	0	0.801004	3.20823
all	truth	V	2	1002.84	1125	2.09843e+07	3.20009	2.43317	1.25984	5.82173	0.48754	5.90747	0.0614913	0	0.787759	3.30547
all	truth	V	3	1326.16	1182	2.0973e+07	3.13738	2.58716	1.44876	5.40091	0.36778	5.24868	0.0614913	0	0.793408	3.24376
all	truth	V	4	1655.15	1143	2.09895e+07	3.22054	2.71868	1.61852	5.82769	0.291384	5.6003	0.0614913	0	0.77957	3.30633
all	truth	V	5	1965	1154	2.09944e+07	3.188	2.82713	1.76352	5.51491	0.275746	5.28067	0.0614914	0	0.775461	3.26058
all	rms	W	0	322.68	1274	2.19023e+07	1.8238	1.55234	0.714637	1.12548	0.0562739	1.4272	0.184474	0	0.853699	1.94707
all	rms	W	1	651.408	1289	2.19261e+07	1.99455	1.78997	1.01537	1.68392	0.0841961	1.80522	0.184474	0	0.818847	2.05177
all	rms	W	2	977.497	1295	2.1916e+07	2.12427	1.95624	1.24382	2.19112	0.109556	2.23272	0.184474	0	0.788228	2.1519
all	rms	W	3	1302.27	1299	2.19126e+07	2.23839	2.0925	1.43565	2.68473	0.134237	2.69291	0.184474	0	0.763688	2.25347
all	rms	W	4	1628.32	1309	2.19084e+07	2.32966	2.21425	1.60535	3.10518	0.155259	3.10157	0.184474	0	0.742452	2.34128
all	rms	W	5	1956.46	1315	2.19265e+07	2.42913	2.32782	1.75968	3.58528	0.179264	3.57843	0.184474	0	0.718534	2.43926
all	share	W	0	322.68	1274	2.19023e+07	1.8238	1.55234	0.714637	0.671356	0.0335678	1.4272	0.184474	0	0.853699	1.94707
all	share	W	1	651.408	1289	2.19261e+07	1.99455	1.78997	1.01537	1.11474	0.0557372	1.80522	0.184474	0	0.818847	2.05177
all	share	W	2	977.497	1295	2.1916e+07	2.12427	1.95624	1.24382	1.593	0.0796499	2.23272	0.184474	0	0.788228	2.1519
all	share	W	3	1302.27	1299	2.19126e+07	2.23839	2.0925	1.43565	2.03677	0.101838	2.69291	0.184474	0	0.763688	2.25347
all	share	W	4	1628.32	1309	2.19084e+07	2.32966	2.21425	1.60535	2.46495	0.123248	3.10157	0.184474	0	0.742452	2.34128
all	share	W	5	1956.46	1315	2.19265e+07	2.42913	2.32782	1.75968	2.99811	0.149906	3.57843	0.184474	0	0.718534	2.43926
all	truth	W	0	322.68	1274	2.19023e+07	1.8238	1.55234	0.714637	1.40181	0.0700906	1.4272	0.184474	0	0.853699	1.94707
all	truth	W	1	651.408	1289	2.19261e+07	1.99455	1.78997	1.01537	1.83642	0.0918211	1.80522	0.184474	0	0.818847	2.05177
all	truth	W	2	977.497	1295	2.1916e+07	2.12427	1.95624	1.24382	2.27299	0.11365	2.23272	0.184474	0	0.788228	2.1519
all	truth	W	3	1302.27	1299	2.19126e+07	2.23839	2.0925	1.43565	2.73555	0.136778	2.69291	0.184474	0	0.763688	2.25347
all	truth	W	4	1628.32	1309	2.19084e+07	2.32966	2.21425	1.60535	3.15088	0.157544	3.10157	0.184474	0	0.742452	2.34128
all	truth	W	5	1956.46	1315	2.19265e+07	2.42913	2.32782	1.75968	3.63087	0.181544	3.57843	0.184474	0	0.718534	2.43926
