plane	n_prof	rms_ctpc_mm	rms_sp_mm	rms_pred_mm	ratio_sp_ctpc	frames
U	1284	4.028	4.165	2.115	1.034	039252_2:a4 039252_16:a4,a6 039253_17:a6,a2 039349_23:a6
V	1083	3.920	4.262	2.490	1.087	039252_2:a4 039252_16:a4,a6 039253_17:a6,a2 039349_23:a6
W	674	2.967	3.001	1.590	1.012	039252_2:a4 039252_16:a4,a6 039253_17:a6,a2 039349_23:a6
