det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039252_0	34	0	277	278	2	1.10	1.73	-309.9	11.8	134.7	1.41	0.65	1	GAP-dead	0	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	76	0	2110	2111	2	1.05	1.54	181.8	-209.5	107.2	1.04	1.27	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1dead:t/2blank+:i/2blank+:i	0	3.15		
pdvd	039252_0	76	0	2113	2115	3	1.73	1.93	180.4	-210.4	107.6	1.55	1.73	2	D-blank-term	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/1blank:i/1blank:i/1blank:t	0	2.08		
pdvd	039252_0	83	0	3556	3560	5	3.17	3.64	274.3	-310.1	297.7	2.35	1.10	3	GAP-live	0	0.43	0.00	0.43	0.00	0.00	0.00	0.00	0.00	1blank:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3894	3895	2	0.97	0.97	338.7	-66.3	184.1	2.25	2.65	1	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1dead:i/2blank+:i/2blank+:i	1			
pdvd	039252_0	98	0	3898	3899	2	1.30	1.81	336.4	-66.7	183.8	4.63	nan	2	GAP-live	0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3905	3908	4	2.58	2.70	331.8	-66.6	183.6	1.97	2.38	2	GAP-short	0	0.60	0.00	0.60	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/1dead:t	0			
pdvd	039252_0	98	0	3914	3917	4	2.23	1.90	328.4	-68.7	183.1	1.46	2.56	1	D-crawl	1	1.00	0.00	1.00	0.00	0.75	0.00	0.00	0.00	3live:t/2blank+:i/2blank+:i/1dead:i	0	3.26		
pdvd	039252_0	98	0	3919	3920	2	1.05	1.45	326.7	-68.0	183.1	1.35	1.37	1	D-blank-int	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	1blank:i/3live:t	0	3.14	3.14	1.000
pdvd	039252_0	98	0	3939	3944	6	4.06	4.20	316.0	-66.2	182.5	2.23	3.64	2	GAP-short	0	0.62	0.00	0.62	0.33	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	3992	3993	2	1.19	1.80	285.5	-67.8	180.5	1.62	1.12	1	GAP-dead	0	0.75	0.00	0.75	0.50	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/2blank+:i	0			
pdvd	039252_0	98	0	4053	4054	2	1.43	2.30	248.2	-70.6	177.5	1.80	0.86	1	GAP-short	0	0.60	0.00	0.60	0.00	0.00	0.00	0.00	0.00	2blank+:i/2blank+:i/1blank:i	0			
