det	event	cluster	pass	row_a	row_b	nrows	length_cm	chord_cm	mx	my	mz	max_d_img	max_d_ridge	max_noff	class	chain	cov_own	cov_other	cov_any	dead_share	crawl_share	bridge_share	sbt_share	fit_share	seed_vertices	open_ended	seed_route_cm	onimage_route_cm	onimage_cost_ratio
pdvd	039253_9	120	0	5756	5757	2	11.60	12.21	-1.5	134.1	150.1	1.01	2.21	2	FIT	0	0.21	0.00	0.21	0.50	0.00	0.00	0.00	1.00	1dead:t/1dead:t/3live:t/3live:i	0			
pdvd	039349_26	62	0	4477	4478	2	7.61	8.19	3.8	-257.1	232.1	1.16	2.76	3	FIT	0	0.44	0.00	0.44	0.00	0.00	0.00	0.00	1.00	3live:t/3live:t	0			
pdvd	039252_14	117	0	6975	6976	2	11.36	11.96	0.5	-318.8	59.2	0.83	1.57	3	FIT	0	0.25	0.00	0.25	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i/3live:t/3live:i	0			
pdvd	039253_5	94	0	4250	4257	8	5.41	5.85	110.6	137.6	25.9	0.85	1.61	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i/3live:t/3live:i/3live:i/3live:t	0			
pdvd	039253_5	94	0	4260	4264	5	3.26	3.73	110.6	132.2	25.9	0.78	1.78	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i/3live:t	0			
pdvd	039349_70	51	0	1932	1935	4	2.48	2.51	113.4	145.6	17.3	1.45	1.46	1	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	3live:i/3live:i/3live:t/3live:i/3live:t/3live:i	0			
pdvd	039253_17	84	0	2613	2614	2	1.54	2.00	98.7	59.8	90.0	1.02	2.04	1	FIT	1	1.00	0.00	1.00	0.00	1.00	0.00	0.00	1.00	3live:t/3live:i/3live:i/3live:t	0			
pdvd	039349_60	49	0	1547	1548	2	1.56	1.94	122.3	136.5	16.9	1.23	1.96	1	FIT	1	1.00	0.00	1.00	0.00	0.00	0.00	0.50	1.00	3live:t/1dead:i/3live:t	0			
pdvd	039349_58	74	0	706	708	3	1.89	2.76	314.8	116.4	293.4	0.87	1.49	2	FIT	1	1.00	0.00	1.00	0.67	0.00	0.00	0.33	1.00	3live:t/1dead:i/3live:t	0			
pdvd	039349_58	74	0	856	857	2	1.49	2.20	249.2	132.4	269.4	0.72	1.81	1	FIT	1	0.75	1.00	1.00	0.00	0.00	0.00	0.00	1.00	3live:i/3live:i/3live:i	0			
