label	est	plane	DT_eff_cm2s	DT_err	c_eff_mm	c_err	c2_mm2	c2_err	chi2	ndf	DT_model_cm2s	c_model_mm	DT_json	c_json
phase:q2	rms	V	-4.47411	1.57147	3.20268	0.0617269	10.2572	0.395383	0.124771	4	8.2017	0	-4.47411e-07	3.20268
phase:q2	share	V	-0.54292	1.34214	2.84116	0.057011	8.07219	0.323955	0.916073	4	8.2017	0	-5.4292e-08	2.84116
phase:q2	truth	V	-0.671308	1.76122	3.23364	0.0654988	10.4564	0.423598	0.0319164	4	8.2017	0	-6.71308e-08	3.23364
phase:q2	rms	W	3.3603	0.0865752	-0.398769	0.00548956	-0.159016	0.00437813	419.182	4	8.2017	0	3.3603e-07	0.398769
phase:q2	share	W	0.555824	0.0297713	-0.139564	0.00586929	-0.0194782	0.00163829	1192.82	4	8.2017	0	5.55824e-08	0.139564
phase:q2	truth	W	0.0181213	0.00925339	0.0881377	0.00482918	0.00776826	0.000851266	1271.42	4	8.2017	0	1.81213e-09	0.0881377
phase:q2	rms	U(joint)	3.31903	0.0854374	2.83692	1.83577e-06	8.04809	1.04159e-05	458.162	14	8.2017	0	3.31903e-07	2.83692
phase:q2	rms	V(joint)	3.31903	0.0854374	2.92171	1.6696e-06	8.5364	9.75618e-06	458.162	14	8.2017	0	3.31903e-07	2.92171
phase:q2	rms	W(joint)	3.31903	0.0854374	-0.396157	0.00545393	-0.156941	0.00432123	458.162	14	8.2017	0	3.31903e-07	0.396157
phase:q2	share	U(joint)	0.555621	0.0297118	2.70854	1.20916e-07	7.33619	6.5501e-07	1195.41	14	8.2017	0	5.55621e-08	2.70854
phase:q2	share	V(joint)	0.555621	0.0297118	2.8005	1.07856e-07	7.8428	6.04101e-07	1195.41	14	8.2017	0	5.55621e-08	2.8005
phase:q2	share	W(joint)	0.555621	0.0297118	-0.139526	0.00586006	-0.0194675	0.00163526	1195.41	14	8.2017	0	5.55621e-08	0.139526
phase:q2	truth	U(joint)	0.018118	0.00925235	3.14759	4.83532e-09	9.9073	3.04392e-08	1272.52	14	8.2017	0	1.8118e-09	3.14759
phase:q2	truth	V(joint)	0.018118	0.00925235	3.21131	4.54033e-09	10.3125	2.91608e-08	1272.52	14	8.2017	0	1.8118e-09	3.21131
phase:q2	truth	W(joint)	0.018118	0.00925235	0.0881393	0.00482863	0.00776854	0.000851184	1272.52	14	8.2017	0	1.8118e-09	0.0881393
phase:q3	rms	U	-1.21493	1.46335	2.96781	0.0597384	8.80792	0.354585	0.392178	4	8.2017	0	-1.21493e-07	2.96781
phase:q3	share	U	0.210686	1.32682	2.77725	0.0568812	7.71314	0.315947	0.35217	4	8.2017	0	2.10686e-08	2.77725
phase:q3	truth	U	1.54959	1.67251	3.06817	0.0639439	9.41366	0.392382	0.438345	4	8.2017	0	1.54959e-07	3.06817
phase:q3	rms	V	-3.88079	1.69575	3.16017	0.0629724	9.98664	0.398006	0.998078	4	8.2017	0	-3.88079e-07	3.16017
phase:q3	share	V	-1.95964	1.59138	2.97639	0.0604816	8.85888	0.360033	0.880963	4	8.2017	0	-1.95964e-07	2.97639
phase:q3	truth	V	-0.55949	1.76424	3.21547	0.0652519	10.3393	0.419632	0.673734	4	8.2017	0	-5.5949e-08	3.21547
phase:q3	rms	W	4.07132	0.113664	-0.434743	0.00639951	-0.189002	0.00556429	388.056	4	8.2017	0	4.07132e-07	0.434743
phase:q3	share	W	0.0431698	0.00935089	0.0769989	0.00547526	0.00592883	0.000843177	1517.61	4	8.2017	0	4.31698e-09	0.0769989
phase:q3	truth	W	0.0175648	0.00941167	0.0885662	0.00478107	0.00784397	0.000846883	1330.9	4	8.2017	0	1.75648e-09	0.0885662
phase:q3	rms	U(joint)	4.00441	0.111241	2.77618	4.10099e-06	7.70717	2.27701e-05	424.136	14	8.2017	0	4.00441e-07	2.77618
phase:q3	rms	V(joint)	4.00441	0.111241	2.89277	3.13429e-06	8.36809	1.81335e-05	424.136	14	8.2017	0	4.00441e-07	2.89277
phase:q3	rms	W(joint)	4.00441	0.111241	-0.430972	0.00631881	-0.185737	0.00544646	424.136	14	8.2017	0	4.00441e-07	0.430972
phase:q3	share	U(joint)	0.043109	0.00934932	2.78346	9.05472e-09	7.74767	5.04069e-08	1520.45	14	8.2017	0	4.3109e-09	2.78346
phase:q3	share	V(joint)	0.043109	0.00934932	2.90968	6.40367e-09	8.46621	3.72652e-08	1520.45	14	8.2017	0	4.3109e-09	2.90968
phase:q3	share	W(joint)	0.043109	0.00934932	0.0770317	0.00547214	0.00593389	0.000843056	1520.45	14	8.2017	0	4.3109e-09	0.0770317
phase:q3	truth	U(joint)	0.0175969	0.00941054	3.11827	5.12607e-09	9.72364	3.1969e-08	1332.95	14	8.2017	0	1.75969e-09	3.11827
phase:q3	truth	V(joint)	0.0175969	0.00941054	3.1969	4.61672e-09	10.2202	2.95184e-08	1332.95	14	8.2017	0	1.75969e-09	3.1969
phase:q3	truth	W(joint)	0.0175969	0.00941054	0.0885512	0.0047814	0.00784131	0.000846797	1332.95	14	8.2017	0	1.75969e-09	0.0885512
phase:q4	rms	U	-2.8737	1.50196	3.05249	0.0604572	9.31771	0.36909	1.6035	4	8.2017	0	-2.8737e-07	3.05249
phase:q4	share	U	-5.48156	1.73277	3.35619	0.0651141	11.264	0.437071	2.02665	4	8.2017	0	-5.48156e-07	3.35619
phase:q4	truth	U	0.180008	1.72452	3.15014	0.0648683	9.92339	0.408689	1.07536	4	8.2017	0	1.80008e-08	3.15014
phase:q4	rms	V	-3.57554	1.5513	3.1307	0.061658	9.80129	0.386066	0.502012	4	8.2017	0	-3.57554e-07	3.1307
phase:q4	share	V	-7.8231	1.85469	3.53827	0.0673696	12.5194	0.476744	1.47018	4	8.2017	0	-7.8231e-07	3.53827
phase:q4	truth	V	0.1383	1.74444	3.17564	0.0654964	10.0847	0.415986	0.157763	4	8.2017	0	1.383e-08	3.17564
phase:q4	rms	W	4.49306	0.521329	1.48089	0.0387703	2.19305	0.11483	2.80796	4	8.2017	0	4.49306e-07	1.48089
phase:q4	share	W	9.88142	0.635189	1.34632	0.0444105	1.81258	0.119582	2.76477	4	8.2017	0	9.88142e-07	1.34632
phase:q4	truth	W	3.32199	0.554593	1.60299	0.0399121	2.56959	0.127958	0.268443	4	8.2017	0	3.32199e-07	1.60299
phase:q4	rms	U(joint)	3.03469	0.469415	2.83642	0.0360482	8.04527	0.204495	46.3705	14	8.2017	0	3.03469e-07	2.83642
phase:q4	rms	V(joint)	3.03469	0.469415	2.89065	0.0364943	8.35586	0.210984	46.3705	14	8.2017	0	3.03469e-07	2.89065
phase:q4	rms	W(joint)	3.03469	0.469415	1.56912	0.034074	2.46215	0.106933	46.3705	14	8.2017	0	3.03469e-07	1.56912
phase:q4	share	U(joint)	6.57304	0.567752	2.93261	0.041816	8.60018	0.24526	142.037	14	8.2017	0	6.57304e-07	2.93261
phase:q4	share	V(joint)	6.57304	0.567752	3.0392	0.0420059	9.23673	0.255328	142.037	14	8.2017	0	6.57304e-07	3.0392
phase:q4	share	W(joint)	6.57304	0.567752	1.52081	0.0366765	2.31287	0.111556	142.037	14	8.2017	0	6.57304e-07	1.52081
phase:q4	truth	U(joint)	2.78506	0.505327	3.06396	0.0372648	9.38788	0.228356	7.02285	14	8.2017	0	2.78506e-07	3.06396
phase:q4	truth	V(joint)	2.78506	0.505327	3.08816	0.0374719	9.53674	0.231438	7.02285	14	8.2017	0	2.78506e-07	3.08816
phase:q4	truth	W(joint)	2.78506	0.505327	1.63571	0.0366055	2.67553	0.119751	7.02285	14	8.2017	0	2.78506e-07	1.63571
