plane	sig_fit_pitch	sig_share_pitch	sig_model_pitch	extent	meas_centre	meas_pm1	meas_pm2	meas_beyond	gaus_fit_centre	gaus_fit_pm1	gaus_fit_pm2	gaus_fit_beyond	gaus_model_centre	gaus_model_pm1	gaus_model_pm2	gaus_model_beyond	gaus_share_centre	gaus_share_pm1	gaus_share_pm2	gaus_share_beyond	U_stack_rms	U_stack_share	U_stack_model	tail_excess_share	tail_excess_over_pm1	truth_centre	truth_pm1	truth_pm2	truth_beyond
U	0.869552	0.720025	0.293338	0.164433	0.476776	0.439194	0.0525612	0.0314687	0.412434	0.484381	0.0967206	0.00646389	0.7559	0.2441	0	0	0.476841	0.468751	0.0531568	0.00125119	0.178693	0.0604351	0.558248	-0.0191545	-0.0395442	0.477674	0.438079	0.0519996	0.0322475
V	0.984356	0.783895	0.292899	0.164433	0.447342	0.434237	0.0735076	0.0449132	0.372431	0.482336	0.130177	0.0150554	0.756307	0.243693	0	0	0.447417	0.478566	0.0712343	0.00278327	0.209538	0.0888065	0.617929	-0.0268119	-0.0555877	0.454554	0.426236	0.064563	0.0546469
W	0.157673	0.10475	0.285299	0.197328	0.892221	0.102285	0.00445399	0.00103993	0.854453	0.145547	7.94227e-11	0	0.760998	0.239002	0	0	0.892245	0.107755	0	0	0.0865238	0.0109878	0.273435	0.00549392	0.0377468	0.891484	0.10284	0.00461092	0.00106549
