bid	plane	slice	t_ns	extent	thresh	q-3	q-2	q-1	q+0	q+1	q+2	q+3
0	0	193	158042	0.0614922	62.2356	0	161	0	18544	0	0	0
0	0	194	160042	0.0614922	62.2356	0	344	0	19332	0	0	0
0	0	195	162042	0.0614922	62.2356	0	851	0	18876	0	0	0
0	0	196	164042	0.0614922	62.2356	0	923	225	17620	0	0	0
0	0	197	166042	0.0614922	62.2356	0	1605	994	16383	0	0	0
0	0	198	168042	0.0614922	62.2356	0	1123	2741	15393	0	0	0
0	0	199	170042	0.0614922	62.2356	0	681	5426	13925	0	0	0
0	0	200	172042	0.0614922	62.2356	0	654	8094	11697	0	0	0
0	0	201	174042	0.0614922	62.8604	0	0	125	10302	9055	0	0
0	0	202	176042	0.0614922	62.8604	0	0	0	12217	6724	0	0
0	0	203	178042	0.0614922	62.8604	0	0	18	14714	4378	0	0
0	0	204	180042	0.0614922	62.8604	0	0	10	16876	2465	0	0
0	0	205	182042	0.0614922	62.8604	0	0	126	18162	1619	0	0
0	0	206	184042	0.0614922	62.8604	0	0	224	18518	751	0	0
0	0	207	186042	0.0614922	62.8604	0	0	235	18282	69	0	0
0	0	208	188043	0.0614922	62.8604	0	0	156	18607	0	28	0
0	0	209	190043	0.0614922	62.8604	0	8	520	19221	0	0	0
0	0	210	192043	0.0614922	62.8604	0	212	822	19904	0	0	0
0	0	211	194043	0.0614922	62.8604	0	262	1505	19678	0	0	0
0	0	212	196043	0.0614922	62.8604	0	36	2034	18775	0	0	0
0	0	213	198043	0.0614922	62.8604	0	0	2680	17602	0	0	0
0	0	214	200043	0.0614922	62.8604	0	0	4442	16599	0	0	0
0	0	215	202043	0.0614922	62.8604	0	0	6484	15321	0	0	0
0	0	216	204043	0.0614922	62.8604	0	0	8812	13418	0	0	0
0	0	217	206043	0.0614922	62.8604	0	0	11183	10952	0	0	0
0	0	218	208043	0.0614922	62.1197	0	0	0	13115	8112	0	0
0	0	219	210043	0.0614922	62.1197	0	0	0	15521	5572	0	0
0	0	220	212043	0.0614922	62.1197	0	0	0	17809	3893	0	0
0	0	221	214043	0.0614922	62.1197	0	0	0	19260	2851	0	0
0	0	222	216043	0.0614922	62.1197	0	0	0	19965	2024	0	0
0	0	223	218044	0.0614922	62.1197	0	0	0	20135	1573	0	0
0	0	224	220044	0.0614922	62.1197	0	0	0	19973	1175	0	0
0	0	225	222044	0.0614922	62.1197	0	0	0	20141	764	0	0
0	0	226	224044	0.0614922	62.1197	0	6	0	20619	268	0	0
0	0	228	228044	0.0614922	62.1197	0	1	54	19747	110	0	0
0	0	229	230044	0.0614922	62.1197	0	51	730	18661	208	0	0
0	0	230	232044	0.0614922	62.1197	0	0	1615	17750	0	0	0
0	0	231	234044	0.0614922	62.1197	0	0	3546	16450	0	0	0
0	0	232	236044	0.0614922	62.1197	0	0	5718	14582	117	0	0
0	0	233	238044	0.0614922	62.1197	0	0	8196	11912	232	0	0
0	0	234	240044	0.0614922	66.0287	0	0	0	10412	9535	768	0
0	0	235	242044	0.0614922	66.0287	0	0	0	12526	7262	980	0
0	0	236	244044	0.0614922	66.0287	0	0	0	14603	5050	1498	0
0	0	237	246044	0.0614922	66.0287	0	0	0	17082	3609	1536	47
0	0	238	248044	0.0614922	66.0287	0	0	0	18134	2576	1088	14
0	0	239	250045	0.0614922	66.0287	0	0	0	17844	2021	1508	0
0	0	240	252045	0.0614922	66.0287	0	0	0	17854	1532	1881	0
0	0	241	254045	0.0614922	66.0287	0	32	0	18006	655	2025	0
0	0	242	256045	0.0614922	66.0287	0	0	0	18751	111	1888	0
0	0	243	258045	0.0614922	66.0287	4	63	0	18925	0	2027	0
0	0	244	260045	0.0614922	66.0287	0	336	0	18054	0	1997	0
0	0	245	262045	0.0614922	66.0287	0	190	703	17063	0	2184	0
0	0	246	264045	0.0614922	66.0287	122	52	1715	16212	0	2105	0
0	0	247	266045	0.0614922	66.0287	317	0	3433	15005	0	1987	0
0	0	248	268045	0.0614922	66.0287	49	0	5726	13129	0	2029	0
0	0	249	270045	0.0614922	66.0287	196	0	8126	11037	0	1991	0
0	0	250	272045	0.0614922	65.1561	0	179	0	10744	8466	0	1974
0	0	251	274045	0.0614922	65.1561	0	28	0	13265	5843	162	2363
0	0	252	276045	0.0614922	65.1561	0	396	0	15380	4219	585	2555
0	0	253	278045	0.0614922	65.1561	0	887	0	17364	2530	758	2239
0	0	254	280046	0.0614922	65.1561	0	703	0	18498	1474	1058	1932
0	0	255	282046	0.0614922	65.1561	0	886	0	18887	656	864	2408
0	0	256	284046	0.0614922	65.1561	0	279	0	18620	108	1021	2747
0	0	257	286046	0.0614922	65.1561	0	0	135	19130	0	1320	2409
0	0	258	288046	0.0614922	65.1561	0	0	274	19713	0	1391	2382
0	0	259	290046	0.0614922	65.1561	0	0	622	19860	0	1267	2329
0	0	260	292046	0.0614922	65.1561	0	189	1531	19609	0	1416	2279
0	0	261	294046	0.0614922	65.1561	0	166	2128	18624	0	1311	2594
0	0	262	296046	0.0614922	65.1561	0	59	3230	17651	0	957	2389
0	0	263	298046	0.0614922	65.1561	0	123	4559	16072	0	1500	2215
0	0	264	300046	0.0614922	65.1561	0	0	6822	14549	0	1815	2387
0	0	265	302046	0.0614922	65.1561	0	0	9331	12841	0	1486	2141
