det	event	block	status	plane	rr_bin	N	abs	sum_y	sum_yhat	uncov_y
pdvd	039252_0_d42fit	270	7	U	0-2	11	103470	79707	41005	32087
pdvd	039252_0_d42fit	270	7	U	2-5	12	73368	176929	182985	0
pdvd	039252_0_d42fit	270	7	U	5-10	21	139247	227014	116977	54336
pdvd	039252_0_d42fit	270	7	U	10-20	54	268173	594994	392005	24067
pdvd	039252_0_d42fit	270	7	U	20-40	82	266864	877636	724628	6780
pdvd	039252_0_d42fit	270	7	U	40+	507	1762259	6301636	4823395	61846
pdvd	039252_0_d42fit	270	7	V	0-2	9	71440	134101	126899	31401
pdvd	039252_0_d42fit	270	7	V	2-5	12	74080	184868	206780	46
pdvd	039252_0_d42fit	270	7	V	5-10	20	133565	287789	228328	7681
pdvd	039252_0_d42fit	270	7	V	10-20	45	341662	686644	612192	33254
pdvd	039252_0_d42fit	270	7	V	20-40	95	369774	1361309	1076367	17857
pdvd	039252_0_d42fit	270	7	V	40+	433	2134072	7029159	5076309	157388
pdvd	039252_0_d42fit	270	7	W	0-2	18	41966	175841	142129	8023
pdvd	039252_0_d42fit	270	7	W	2-5	20	24251	161346	137231	0
pdvd	039252_0_d42fit	270	7	W	5-10	35	21461	248340	243925	538
pdvd	039252_0_d42fit	270	7	W	10-20	80	87761	579118	541009	366
pdvd	039252_0_d42fit	270	7	W	20-40	160	81702	1057795	1070211	567
pdvd	039252_0_d42fit	270	7	W	40+	854	1004394	6734832	6622756	11495
pdvd	039252_0_d42fit	280	7	U	0-2	15	18024	33476	45676	0
pdvd	039252_0_d42fit	280	7	U	2-5	22	34008	179113	182087	0
pdvd	039252_0_d42fit	280	7	U	5-10	33	75439	378709	349086	852
pdvd	039252_0_d42fit	280	7	U	10-20	59	167056	573320	498484	590
pdvd	039252_0_d42fit	280	7	U	20-40	92	177715	895539	875970	1571
pdvd	039252_0_d42fit	280	7	U	40+	2293	7588536	31836024	27344872	695733
pdvd	039252_0_d42fit	280	7	V	0-2	13	12356	25796	33654	106
pdvd	039252_0_d42fit	280	7	V	2-5	20	28064	204348	179730	0
pdvd	039252_0_d42fit	280	7	V	5-10	28	62660	413050	364434	0
pdvd	039252_0_d42fit	280	7	V	10-20	55	236453	757879	553892	2083
pdvd	039252_0_d42fit	280	7	V	20-40	122	460334	1636581	1330237	1359
pdvd	039252_0_d42fit	280	7	V	40+	2417	14937948	48340413	38007191	1268031
pdvd	039252_0_d42fit	280	7	W	0-2	14	8417	43707	35290	0
pdvd	039252_0_d42fit	280	7	W	2-5	24	15518	180934	176700	0
pdvd	039252_0_d42fit	280	7	W	5-10	40	62423	387530	370957	0
pdvd	039252_0_d42fit	280	7	W	10-20	76	173834	649596	555006	0
pdvd	039252_0_d42fit	280	7	W	20-40	152	349129	1517294	1339625	0
pdvd	039252_0_d42fit	280	7	W	40+	2805	6149541	27250893	25043772	253921
pdvd	039252_0_d42fit	350	0	U	0-2	20	30446	179805	153099	6694
pdvd	039252_0_d42fit	350	0	U	2-5	14	30238	98671	68433	0
pdvd	039252_0_d42fit	350	0	U	5-10	25	67541	200532	145027	1838
pdvd	039252_0_d42fit	350	0	U	10-20	62	98024	506534	416686	3896
pdvd	039252_0_d42fit	350	0	U	20-40	81	193687	867514	684999	4816
pdvd	039252_0_d42fit	350	0	U	40+	1114	3463902	11047146	8288298	266501
pdvd	039252_0_d42fit	350	0	V	0-2	11	119054	15680	133198	0
pdvd	039252_0_d42fit	350	0	V	2-5	18	147389	29683	165820	999
pdvd	039252_0_d42fit	350	0	V	5-10	26	201103	69698	247179	10835
pdvd	039252_0_d42fit	350	0	V	10-20	66	391580	268659	629897	8551
pdvd	039252_0_d42fit	350	0	V	20-40	125	679522	824285	1305365	17682
pdvd	039252_0_d42fit	350	0	V	40+	1428	6552467	14769611	13388846	1440781
pdvd	039252_0_d42fit	350	0	W	0-2	22	19566	139470	135826	0
pdvd	039252_0_d42fit	350	0	W	2-5	25	19822	177430	169776	660
pdvd	039252_0_d42fit	350	0	W	5-10	39	22379	257377	256086	0
pdvd	039252_0_d42fit	350	0	W	10-20	91	54686	652636	645976	0
pdvd	039252_0_d42fit	350	0	W	20-40	167	177707	1366687	1322510	149
pdvd	039252_0_d42fit	350	0	W	40+	1964	2751608	14676430	13759088	61700
pdvd	039252_0_d42fit	410	7	U	0-2	11	123818	151630	35714	3355
pdvd	039252_0_d42fit	410	7	U	2-5	16	104687	483873	435550	0
pdvd	039252_0_d42fit	410	7	U	5-10	26	184098	741878	570354	0
pdvd	039252_0_d42fit	410	7	U	10-20	56	394587	1789338	1483749	0
pdvd	039252_0_d42fit	410	7	U	20-40	120	1102325	3416860	2621843	4634
