label	est	plane	tbin	t_us	n_prof	q	rms_meas_mm	rms_pred_mm	sig_model_mm	sig2_eff_mm2	sig2_err	sig2_naive_mm2	extent	ceiling	centre_share	rms_truth_mm
all	share	W	0	330.797	1272	2.16851e+07	1.70962	1.55981	0.723569	0.608887	0.0304443	1.01332	0.184474	0	0.859406	1.84651
all	share	W	1	660.921	1284	2.16917e+07	1.8572	1.7955	1.02276	0.972554	0.0486277	1.27141	0.184474	0	0.829149	1.91592
all	share	W	2	983.332	1290	2.16968e+07	1.99755	1.95888	1.24753	1.41638	0.0708191	1.70932	0.184474	0	0.798928	2.02289
all	share	W	3	1306.51	1295	2.17025e+07	2.12426	2.09416	1.43799	1.85777	0.0928884	2.19476	0.184474	0	0.77323	2.13516
all	share	W	4	1631.11	1302	2.16836e+07	2.2218	2.21525	1.60672	2.29914	0.114957	2.61062	0.184474	0	0.750434	2.2273
all	share	W	5	1957.37	1308	2.17047e+07	2.32453	2.32813	1.76009	2.79093	0.139546	3.08121	0.184474	0	0.727536	2.3279
all	truth	W	0	330.797	1272	2.16851e+07	1.70962	1.55981	0.723569	1.00688	0.0503441	1.01332	0.184474	0	0.859406	1.84651
all	truth	W	1	660.921	1284	2.16917e+07	1.8572	1.7955	1.02276	1.27704	0.0638518	1.27141	0.184474	0	0.829149	1.91592
all	truth	W	2	983.332	1290	2.16968e+07	1.99755	1.95888	1.24753	1.71426	0.0857132	1.70932	0.184474	0	0.798928	2.02289
all	truth	W	3	1306.51	1295	2.17025e+07	2.12426	2.09416	1.43799	2.19863	0.109932	2.19476	0.184474	0	0.77323	2.13516
all	truth	W	4	1631.11	1302	2.16836e+07	2.2218	2.21525	1.60672	2.61451	0.130726	2.61062	0.184474	0	0.750434	2.2273
all	truth	W	5	1957.37	1308	2.17047e+07	2.32453	2.32813	1.76009	3.08667	0.154334	3.08121	0.184474	0	0.727536	2.3279
