plane	rms_sr_pitch	rms_sr_mm	rms_boxcar	sig_diff_pitch	rms_boxcar_diff	excess_over_boxcar_diff_pitch	excess_mm	t_mean_us	n_prof
U	0.469378	1.40811	0.288675	0.361867	0.462905	0.0776802	0.233037	669.601	5622
V	0.490485	1.47143	0.288675	0.349091	0.452987	0.188091	0.564264	623.152	4821
W	0.481515	1.44454	0.288675	0.360018	0.461461	0.137515	0.412544	662.793	5870
