det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
sbnd	share	U	centre	bin	4	818.324	1.45519e-11	1.6838	1.46178	1.6838	nan	nan	nan	nan	nan	nan
sbnd	share	U	centre	bin	5	1055.12	0.740986	1.77598	1.60866	1.77598	nan	nan	nan	nan	nan	nan
sbnd	share	U	centre	old	-1	nan	nan	nan	nan	nan	1.04838	6.47513	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	centre	corrected	-1	nan	nan	nan	nan	nan	1.31642	6.73461	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	edge	bin	0	77.0933	0.2309	1.35528	1.62148	1.35528	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	bin	1	246.145	0.655148	1.43683	1.69545	1.43683	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	bin	2	450.686	0.276905	1.5297	1.76064	1.5297	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	bin	3	614.169	0.338807	1.60006	1.82092	1.60006	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	bin	4	818.324	1.45519e-11	1.6838	1.87365	1.6838	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	bin	5	1055.12	0.740986	1.77598	1.97716	1.77598	nan	nan	nan	nan	nan	nan
sbnd	share	U	edge	old	-1	nan	nan	nan	nan	nan	1.5976	5.96148	1.31642	6.73461	0.451761	0.591994
sbnd	share	U	edge	corrected	-1	nan	nan	nan	nan	nan	1.31642	6.73461	1.31642	6.73461	0.451761	0.591994
sbnd	share	V	full	bin	0	64.7396	0.332073	1.35392	1.34787	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	bin	1	205.628	0.234008	1.42228	1.41023	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	bin	2	335.83	1.45519e-11	1.48265	1.45278	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	bin	3	634.313	0.659227	1.61254	1.62143	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	bin	4	960.853	1.45519e-11	1.74359	1.71901	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	bin	5	1184.39	1.45519e-11	1.82789	1.80466	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	full	old	-1	nan	nan	nan	nan	nan	1.30018	7.06256	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	full	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q1	bin	0	64.7396	0.332073	1.35392	1.6247	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	bin	1	205.628	0.234008	1.42228	1.67349	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	bin	2	335.83	1.45519e-11	1.48265	1.70705	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	bin	3	634.313	0.659227	1.61254	1.83808	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	bin	4	960.853	1.45519e-11	1.74359	1.92485	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	bin	5	1184.39	1.45519e-11	1.82789	1.99813	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	q1	old	-1	nan	nan	nan	nan	nan	1.58769	6.51245	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q1	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q2	bin	0	64.7396	0.332073	1.35392	1.09221	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	bin	1	205.628	0.234008	1.42228	1.1688	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	bin	2	335.83	1.45519e-11	1.48265	1.2201	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	bin	3	634.313	0.659227	1.61254	1.42163	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	bin	4	960.853	1.45519e-11	1.74359	1.53132	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	bin	5	1184.39	1.45519e-11	1.82789	1.62798	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	q2	old	-1	nan	nan	nan	nan	nan	1.03131	7.18675	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q2	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q3	bin	0	64.7396	0.332073	1.35392	1.09221	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	bin	1	205.628	0.234008	1.42228	1.1688	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	bin	2	335.83	1.45519e-11	1.48265	1.2201	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	bin	3	634.313	0.659227	1.61254	1.42163	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	bin	4	960.853	1.45519e-11	1.74359	1.53132	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	bin	5	1184.39	1.45519e-11	1.82789	1.62798	1.82789	nan	nan	nan	nan	nan	nan
sbnd	share	V	q3	old	-1	nan	nan	nan	nan	nan	1.03131	7.18675	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q3	corrected	-1	nan	nan	nan	nan	nan	1.32133	6.73461	1.32133	6.73461	0.451308	0.609297
sbnd	share	V	q4	bin	0	64.7396	0.332073	1.35392	1.6247	1.35392	nan	nan	nan	nan	nan	nan
sbnd	share	V	q4	bin	1	205.628	0.234008	1.42228	1.67349	1.42228	nan	nan	nan	nan	nan	nan
sbnd	share	V	q4	bin	2	335.83	1.45519e-11	1.48265	1.70705	1.48265	nan	nan	nan	nan	nan	nan
sbnd	share	V	q4	bin	3	634.313	0.659227	1.61254	1.83808	1.61254	nan	nan	nan	nan	nan	nan
sbnd	share	V	q4	bin	4	960.853	1.45519e-11	1.74359	1.92485	1.74359	nan	nan	nan	nan	nan	nan
sbnd	share	V	q4	bin	5	1184.39	1.45519e-11	1.82789	1.99813	1.82789	nan	nan	nan	nan	nan	nan
