sel	plane	n	q_frac	c_eff_mm	DT_eff	sig_mm	extent	t_us	meas_pm2	meas_beyond	gaus_pm2	gaus_beyond	exc_pm2	exc_beyond	exc_tail	sig_excess_mm
base	U	9575	1	2.28459	4.58712	2.50009	1.45519e-11	1123.93	0.00843522	0.00114222	0.000249423	7.12338e-11	0.0081858	0.00114222	0.00932802	1.58677
base	V	8229	1	2.32886	4.72955	2.54376	1.45519e-11	1107	0.00728312	0.0010436	0.00030373	1.39694e-10	0.00697939	0.0010436	0.00802299	1.47766
base	W	8000	1	1.09072	4.91663	1.52835	1.45519e-11	1165.6	0.0164379	0.00192975	8.5274e-05	1.72556e-12	0.0163527	0.00192975	0.0182824	1.46733
foff<0.15	U	2361	0.250158	2.27096	6.53971	2.59143	1.45519e-11	1191.4	0.00658474	0.000623605	0.000372944	2.80877e-10	0.0062118	0.000623604	0.0068354	1.33513
foff<0.15	V	3681	0.45791	2.12339	3.06598	2.27982	1.45519e-11	1123.32	0.00548726	0.000904027	7.91855e-05	1.33091e-12	0.00540807	0.000904027	0.0063121	1.3199
foff<0.15	W	2904	0.369858	0.8311	6.34051	1.51818	1.45519e-11	1272.89	0.0165816	0.00140403	7.80048e-05	1.26259e-12	0.0165036	0.00140403	0.0179077	1.43028
oth2<0.05	U	5295	0.554652	2.12844	5.13251	2.36968	1.45519e-11	1057.12	0.00398518	0.000266421	0.00013081	7.67895e-12	0.00385437	0.000266421	0.00412079	1.02107
oth2<0.05	V	4893	0.594065	2.339	1.46086	2.40367	1.45519e-11	1049.79	0.00462835	0.000619459	0.00015615	1.41917e-11	0.0044722	0.000619459	0.00509166	1.17182
oth2<0.05	W	4499	0.564571	0.960647	5.12228	1.44351	1.45519e-11	1133.18	0.013121	0.0011682	3.84956e-05	1.04366e-13	0.0130825	0.0011682	0.0142507	1.2785
oth4<0.05	U	6045	0.653219	2.28899	2.04886	2.38254	1.45519e-11	1066.42	0.00627678	0.000416174	0.000139977	9.71503e-12	0.00613681	0.000416174	0.00655298	1.28677
oth4<0.05	V	5318	0.657278	2.32927	2.73113	2.45	1.45519e-11	1056.33	0.00544821	0.000661792	0.000196733	3.15186e-11	0.00525147	0.000661792	0.00591326	1.25614
oth4<0.05	W	5135	0.649634	1.06946	4.52749	1.47288	1.45519e-11	1132.67	0.0142381	0.00177049	5.1404e-05	2.90678e-13	0.0141867	0.00177049	0.0159572	1.37493
adv<0.10	U	4636	0.438224	1.8263	5.87047	2.16332	1.45519e-11	1145.23	0.00874456	0.00142228	3.79926e-05	9.96029e-14	0.00870657	0.00142228	0.0101288	1.6695
adv<0.10	V	4159	0.496665	1.98279	3.98847	2.195	1.45519e-11	1111.41	0.00490622	0.000727991	4.68704e-05	2.09705e-13	0.00485935	0.000727991	0.00558734	1.23327
adv<0.10	W	3595	0.435295	0.604998	3.92994	1.14196	1.45519e-11	1193.47	0.0141809	0.00175438	5.71719e-07	0	0.0141804	0.00175438	0.0159347	1.37332
rr>30cm	U	8235	0.83373	2.29399	4.89291	2.52653	1.45519e-11	1145.5	0.008289	0.000913921	0.000281311	1.07521e-10	0.00800768	0.000913921	0.00892161	1.53489
rr>30cm	V	6965	0.82303	2.30369	5.20025	2.54297	1.45519e-11	1115.05	0.00746629	0.000935116	0.00030267	1.3804e-10	0.00716362	0.000935116	0.00809873	1.47291
rr>30cm	W	6793	0.818726	1.02503	5.63355	1.54267	1.45519e-11	1179.66	0.0155461	0.00159885	9.64285e-05	2.65308e-12	0.0154497	0.00159885	0.0170485	1.40771
iso+straight+rr	U	2497	0.240886	1.94962	2.07993	2.06411	1.45519e-11	1104.68	0.00710127	0.000317109	1.85984e-05	7.77685e-15	0.00708267	0.000317109	0.00739978	1.35093
iso+straight+rr	V	2299	0.288273	2.0651	1.38796	2.13644	1.45519e-11	1079.83	0.00450158	0.000537751	3.15832e-05	5.16307e-14	0.00447	0.000537751	0.00500775	1.15309
iso+straight+rr	W	1954	0.236741	0.574673	4.38023	1.16377	1.45519e-11	1169.03	0.0138517	0.00106091	8.59181e-07	0	0.0138508	0.00106091	0.0149117	1.29976
