det	est	plane	window	inversion	tbin	t_us	extent	sig_true_mm	sig_old_mm	sig_corr_mm	c_pred_mm	DT_pred_cm2s	c_input_mm	DT_input_cm2s	sig_true_lo_pitch	sig_true_hi_pitch
pdvd	share	U	full	bin	0	329.66	0.0614914	1.42477	1.29361	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	1	660.489	0.0614913	1.54789	1.41978	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	2	995.278	0.0614913	1.66323	1.5384	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	3	1327.06	0.0614913	1.77013	1.64863	1.77013	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	4	1645.96	0.0614913	1.86712	1.74885	1.86712	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	bin	5	1962.14	0.0614913	1.95855	1.84344	1.95855	nan	nan	nan	nan	nan	nan
pdvd	share	U	full	old	-1	nan	nan	nan	nan	nan	1.14963	5.27561	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	full	corrected	-1	nan	nan	nan	nan	nan	1.29046	5.53126	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q1	bin	0	329.66	0.0614914	1.42477	2.47015	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	1	660.489	0.0614913	1.54789	2.61367	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	2	995.278	0.0614913	1.66323	2.73622	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	3	1327.06	0.0614913	1.77013	2.84088	1.77013	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	4	1645.96	0.0614913	1.86712	2.92946	1.86712	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	bin	5	1962.14	0.0614913	1.95855	3.00825	1.95855	nan	nan	nan	nan	nan	nan
pdvd	share	U	q1	old	-1	nan	nan	nan	nan	nan	2.36002	9.15925	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q1	corrected	-1	nan	nan	nan	nan	nan	1.29046	5.53126	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q2	bin	0	329.66	0.0614914	1.42477	0.153	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	bin	1	660.489	0.0614913	1.54789	0.270168	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	bin	2	995.278	0.0614913	1.66323	0.380211	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	bin	3	1327.06	0.0614913	1.77013	0.490568	1.77013	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	bin	4	1645.96	0.0614913	1.86712	0.598594	1.86712	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	bin	5	1962.14	0.0614913	1.95855	0.706718	1.95855	nan	nan	nan	nan	nan	nan
pdvd	share	U	q2	old	-1	nan	nan	nan	nan	nan	-0.307931	1.38593	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q2	corrected	-1	nan	nan	nan	nan	nan	1.29046	5.53126	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q3	bin	0	329.66	0.0614914	1.42477	0.153	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	bin	1	660.489	0.0614913	1.54789	0.270168	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	bin	2	995.278	0.0614913	1.66323	0.380211	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	bin	3	1327.06	0.0614913	1.77013	0.490568	1.77013	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	bin	4	1645.96	0.0614913	1.86712	0.598594	1.86712	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	bin	5	1962.14	0.0614913	1.95855	0.706718	1.95855	nan	nan	nan	nan	nan	nan
pdvd	share	U	q3	old	-1	nan	nan	nan	nan	nan	-0.307931	1.38593	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q3	corrected	-1	nan	nan	nan	nan	nan	1.29046	5.53126	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q4	bin	0	329.66	0.0614914	1.42477	2.47015	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	bin	1	660.489	0.0614913	1.54789	2.61367	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	bin	2	995.278	0.0614913	1.66323	2.73622	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	bin	3	1327.06	0.0614913	1.77013	2.84088	1.77013	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	bin	4	1645.96	0.0614913	1.86712	2.92946	1.86712	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	bin	5	1962.14	0.0614913	1.95855	3.00825	1.95855	nan	nan	nan	nan	nan	nan
pdvd	share	U	q4	old	-1	nan	nan	nan	nan	nan	2.36002	9.15925	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	q4	corrected	-1	nan	nan	nan	nan	nan	1.29046	5.53126	1.29046	5.53126	0.186245	0.256019
pdvd	share	U	centre	bin	0	329.66	0.0614914	1.42477	0.153	1.42477	nan	nan	nan	nan	nan	nan
pdvd	share	U	centre	bin	1	660.489	0.0614913	1.54789	0.270168	1.54789	nan	nan	nan	nan	nan	nan
pdvd	share	U	centre	bin	2	995.278	0.0614913	1.66323	0.380211	1.66323	nan	nan	nan	nan	nan	nan
pdvd	share	U	centre	bin	3	1327.06	0.0614913	1.77013	0.490568	1.77013	nan	nan	nan	nan	nan	nan
